Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.0365,0.0322,0.0462,0.1841,0.2857,0.4111,0.5318,0.3605,0.5226,0.3763,0.0217,0.0155,0.3718,0.2167,0.0127,0.2513
1951-01-01,0.0353,0.0276,0.0455,0.184,0.2867,0.4111,0.5339,0.3606,0.5186,0.3765,0.0223,0.0155,0.3753,0.2185,0.013,0.2518
1952-01-01,0.0345,0.023,0.0448,0.1841,0.2876,0.4111,0.5366,0.3609,0.5141,0.3765,0.0227,0.0152,0.3787,0.2205,0.0135,0.2523
1953-01-01,0.0315,0.0216,0.0435,0.1826,0.2831,0.4091,0.5422,0.364,0.5138,0.3768,0.0232,0.0155,0.3817,0.2202,0.0128,0.2542
1954-01-01,0.0286,0.0204,0.0425,0.1811,0.2784,0.4073,0.5479,0.3673,0.513,0.3768,0.0237,0.0162,0.384,0.2202,0.012,0.256
1955-01-01,0.0258,0.0193,0.0412,0.1799,0.2741,0.4055,0.554,0.3701,0.5119,0.3774,0.0246,0.0165,0.3864,0.22,0.0111,0.2579
1956-01-01,0.0229,0.0179,0.0403,0.1782,0.2698,0.4035,0.5596,0.3736,0.5111,0.3778,0.025,0.017,0.3887,0.2198,0.0101,0.26
1957-01-01,0.02,0.0168,0.039,0.1767,0.2654,0.4012,0.5657,0.3769,0.5105,0.3782,0.0257,0.0174,0.3913,0.2197,0.0093,0.2617
1958-01-01,0.0173,0.0156,0.0379,0.1754,0.2609,0.3995,0.5713,0.3799,0.5097,0.3784,0.0262,0.0176,0.3939,0.2194,0.0085,0.2636
1959-01-01,0.0143,0.0142,0.0369,0.1737,0.2561,0.3971,0.5772,0.3832,0.509,0.3787,0.0268,0.0181,0.396,0.2194,0.0077,0.2656
1960-01-01,0.0115,0.0129,0.0355,0.1724,0.2521,0.3954,0.5829,0.3868,0.5082,0.3788,0.0273,0.0184,0.3987,0.2192,0.0069,0.2677
1961-01-01,0.0113,0.0127,0.035,0.1707,0.2502,0.3997,0.5809,0.3834,0.5029,0.3779,0.0271,0.0186,0.3924,0.2167,0.007,0.267
1962-01-01,0.0111,0.0125,0.0342,0.1688,0.2486,0.4038,0.5793,0.3799,0.4976,0.3771,0.0273,0.0186,0.3868,0.2143,0.0072,0.267
1963-01-01,0.0107,0.0121,0.0336,0.1671,0.2466,0.408,0.5774,0.3763,0.4926,0.3766,0.0273,0.0187,0.3808,0.212,0.0074,0.2667
1964-01-01,0.0106,0.0119,0.033,0.1653,0.245,0.4118,0.5754,0.3731,0.4873,0.3754,0.0274,0.0185,0.3749,0.2095,0.0078,0.2662
1965-01-01,0.0104,0.0115,0.0324,0.1635,0.2431,0.4162,0.5735,0.3693,0.482,0.3752,0.0273,0.0184,0.3689,0.2073,0.0079,0.266
1966-01-01,0.0102,0.0113,0.0317,0.1618,0.2412,0.42,0.572,0.3661,0.477,0.3741,0.0273,0.0183,0.3628,0.2047,0.0081,0.2657
1967-01-01,0.0099,0.011,0.0311,0.16,0.2396,0.4241,0.5697,0.3625,0.4715,0.3737,0.0274,0.0185,0.3565,0.2025,0.0083,0.2654
1968-01-01,0.0096,0.0106,0.0303,0.1583,0.2378,0.4281,0.568,0.3593,0.4662,0.3724,0.0273,0.0184,0.351,0.2,0.0085,0.2651
1969-01-01,0.0095,0.0103,0.0297,0.1565,0.2362,0.4324,0.5661,0.3554,0.4611,0.3721,0.0272,0.0185,0.3448,0.1975,0.0087,0.2647
1970-01-01,0.0093,0.0101,0.0291,0.1547,0.2343,0.4362,0.5643,0.352,0.4559,0.3712,0.0273,0.0186,0.3389,0.1952,0.0089,0.2645
1971-01-01,0.0091,0.0097,0.0282,0.1525,0.2316,0.4304,0.564,0.348,0.4556,0.3692,0.0268,0.0185,0.3347,0.1942,0.0093,0.2632
1972-01-01,0.0089,0.0093,0.0272,0.1503,0.2287,0.4244,0.563,0.3436,0.4555,0.3678,0.0266,0.0187,0.3307,0.1931,0.0096,0.2622
1973-01-01,0.0087,0.0088,0.0266,0.148,0.2265,0.419,0.5629,0.3393,0.4554,0.366,0.0263,0.0187,0.3264,0.1918,0.0099,0.2611
1974-01-01,0.0086,0.0085,0.0256,0.1457,0.2238,0.4128,0.5622,0.3349,0.455,0.3642,0.026,0.0188,0.3219,0.1908,0.0103,0.26
1975-01-01,0.0084,0.008,0.0247,0.1437,0.2211,0.4074,0.5615,0.3308,0.4547,0.3628,0.0255,0.019,0.3175,0.1897,0.0107,0.2587
1976-01-01,0.0082,0.0077,0.0239,0.1415,0.2185,0.4011,0.561,0.3265,0.4547,0.3611,0.0253,0.0187,0.3134,0.1885,0.011,0.2572
1977-01-01,0.0078,0.0073,0.023,0.1392,0.2162,0.3954,0.5605,0.3223,0.4543,0.3592,0.0248,0.019,0.3088,0.1872,0.0113,0.2563
1978-01-01,0.0076,0.0068,0.0221,0.137,0.2134,0.3896,0.5599,0.3178,0.454,0.3574,0.0244,0.019,0.3047,0.1863,0.0117,0.2551
