Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.0073,0.0066,0.0091,0.0368,0.057,0.0823,0.1062,0.072,0.1047,0.0752,0.0043,0.0032,0.0747,0.0434,0.0025,0.05
1951-01-01,0.0072,0.0056,0.009,0.0369,0.0575,0.0823,0.1066,0.0722,0.1036,0.0755,0.0045,0.0032,0.0748,0.0438,0.0026,0.0503
1952-01-01,0.007,0.0046,0.0089,0.0369,0.0575,0.0821,0.1074,0.072,0.103,0.0754,0.0045,0.0031,0.076,0.0441,0.0028,0.0503
1953-01-01,0.0064,0.0042,0.0087,0.0365,0.0568,0.082,0.1085,0.0726,0.1027,0.0753,0.0046,0.0031,0.0762,0.044,0.0025,0.0507
1954-01-01,0.0058,0.0042,0.0086,0.0362,0.0559,0.0816,0.1097,0.0734,0.1027,0.0752,0.0046,0.0032,0.0769,0.0439,0.0024,0.0511
1955-01-01,0.0053,0.0037,0.0083,0.036,0.0547,0.0811,0.111,0.0738,0.1024,0.0755,0.0047,0.0032,0.0772,0.044,0.0022,0.0516
1956-01-01,0.0046,0.0035,0.0081,0.0357,0.0537,0.081,0.1118,0.0748,0.1019,0.0756,0.0049,0.0034,0.0775,0.044,0.0021,0.0519
1957-01-01,0.004,0.0032,0.0077,0.0356,0.0531,0.0802,0.1134,0.0752,0.1019,0.0757,0.005,0.0035,0.0782,0.0439,0.0017,0.0522
1958-01-01,0.0033,0.0032,0.0076,0.035,0.0522,0.0799,0.1142,0.0757,0.1019,0.0757,0.0051,0.0036,0.0787,0.044,0.0017,0.0526
1959-01-01,0.0029,0.0028,0.0074,0.0346,0.0513,0.0796,0.1154,0.0765,0.1017,0.0757,0.0052,0.0037,0.0788,0.0438,0.0016,0.0531
1960-01-01,0.0023,0.0026,0.007,0.0346,0.0503,0.0789,0.1168,0.0775,0.1014,0.0761,0.0053,0.0038,0.0797,0.044,0.0014,0.0534
1961-01-01,0.0022,0.0026,0.0069,0.0343,0.0501,0.08,0.1162,0.0767,0.1008,0.0756,0.0052,0.0038,0.0783,0.0434,0.0014,0.0533
1962-01-01,0.0021,0.0026,0.0069,0.0339,0.0498,0.0806,0.1155,0.0758,0.0995,0.0753,0.0052,0.0038,0.0775,0.0427,0.0015,0.0533
1963-01-01,0.0021,0.0024,0.0068,0.0333,0.0494,0.0816,0.1154,0.0751,0.0986,0.0751,0.0054,0.0039,0.0763,0.0424,0.0015,0.0535
1964-01-01,0.002,0.0024,0.0067,0.0331,0.0491,0.0827,0.115,0.0747,0.0974,0.075,0.0056,0.0039,0.0749,0.0421,0.0016,0.0534
1965-01-01,0.002,0.0024,0.0066,0.0327,0.0487,0.0835,0.1149,0.074,0.0964,0.0749,0.0056,0.0038,0.0739,0.0416,0.0016,0.0531
1966-01-01,0.002,0.0023,0.0065,0.0324,0.0482,0.0843,0.1142,0.0733,0.0953,0.0748,0.0056,0.0038,0.0723,0.0411,0.0017,0.0532
1967-01-01,0.0019,0.0022,0.0063,0.0321,0.048,0.0846,0.1141,0.0724,0.094,0.0746,0.0056,0.0038,0.0711,0.0405,0.0017,0.0531
1968-01-01,0.002,0.0022,0.0061,0.0318,0.0477,0.0857,0.1135,0.0719,0.0931,0.0745,0.0056,0.0037,0.0702,0.04,0.0017,0.0529
1969-01-01,0.0019,0.0021,0.0059,0.0313,0.0476,0.0861,0.1132,0.0715,0.0923,0.0745,0.0055,0.0036,0.0686,0.0396,0.0018,0.0529
1970-01-01,0.0018,0.0021,0.0057,0.0309,0.0466,0.0872,0.1132,0.0705,0.0913,0.0744,0.0056,0.0037,0.0677,0.039,0.0018,0.0529
1971-01-01,0.0018,0.002,0.0056,0.0306,0.0463,0.0858,0.113,0.0697,0.091,0.0737,0.0054,0.0037,0.0668,0.0389,0.0018,0.0528
1972-01-01,0.0017,0.0019,0.0055,0.0302,0.0456,0.0848,0.1126,0.0687,0.091,0.0736,0.0054,0.0038,0.0659,0.0386,0.0019,0.0524
1973-01-01,0.0017,0.0018,0.0054,0.0297,0.0452,0.0839,0.1125,0.0678,0.0911,0.0732,0.0053,0.0038,0.0653,0.0382,0.0019,0.0523
1974-01-01,0.0017,0.0017,0.0051,0.0291,0.0446,0.0825,0.1123,0.067,0.0909,0.0727,0.0052,0.0038,0.0644,0.0382,0.0021,0.0521
1975-01-01,0.0017,0.0017,0.0049,0.0287,0.0439,0.0814,0.1122,0.0662,0.091,0.0727,0.0051,0.0038,0.0634,0.0381,0.0021,0.0518
1976-01-01,0.0017,0.0016,0.0047,0.0283,0.0438,0.0803,0.1124,0.0655,0.091,0.0723,0.0051,0.0036,0.0626,0.0378,0.0022,0.0517
1977-01-01,0.0016,0.0015,0.0045,0.0278,0.0434,0.079,0.1123,0.0645,0.0909,0.0716,0.0049,0.0038,0.0617,0.0376,0.0022,0.0513
1978-01-01,0.0017,0.0014,0.0044,0.0275,0.0428,0.0781,0.112,0.0637,0.091,0.0714,0.0049,0.0037,0.061,0.0372,0.0024,0.0511
1979-01-01,0.0016,0.0013,0.0041,0.0271,0.0424,0.0767,0.1119,0.0627,0.091,0.0713,0.0048,0.0037,0.0601,0.0371,0.0024,0.0508
1980-01-01,0.0016,0.0011,0.0042,0.0266,0.0415,0.0757,0.1117,0.0616,0.0905,0.071,0.0048,0.0037,0.059,0.0367,0.0024,0.0506
1981-01-01,0.0015,0.0011,0.004,0.0262,0.0409,0.0745,0.1117,0.061,0.0906,0.0703,0.0046,0.0038,0.0586,0.0364,0.0025,0.0504
1982-01-01,0.0014,0.001,0.0037,0.0254,0.0406,0.0735,0.1118,0.0604,0.0906,0.07,0.0046,0.0039,0.0577,0.0362,0.0027,0.0501
1983-01-01,0.0015,0.0012,0.0038,0.0266,0.041,0.0747,0.1121,0.0606,0.0908,0.0706,0.0048,0.0038,0.058,0.0366,0.0027,0.0503
1984-01-01,0.0016,0.0014,0.0038,0.0273,0.0419,0.0758,0.1127,0.061,0.0909,0.0708,0.0049,0.0039,0.0588,0.0369,0.0026,0.0508
1985-01-01,0.0017,0.0014,0.0042,0.0281,0.0423,0.0772,0.1131,0.0611,0.0905,0.0711,0.0053,0.0039,0.0593,0.0371,0.0026,0.0513
1986-01-01,0.0016,0.0017,0.0043,0.0292,0.0432,0.0786,0.1138,0.0615,0.0907,0.0713,0.0056,0.0038,0.0601,0.0371,0.0026,0.0518
1987-01-01,0.0017,0.0017,0.0044,0.0299,0.0437,0.0802,0.114,0.0615,0.0906,0.0716,0.0057,0.0038,0.0605,0.0374,0.0027,0.052
1988-01-01,0.0017,0.0021,0.0047,0.0309,0.0443,0.0818,0.1148,0.0621,0.0909,0.072,0.006,0.0039,0.0612,0.0376,0.0026,0.0523
1989-01-01,0.0017,0.0021,0.0049,0.0319,0.0447,0.0829,0.1153,0.0624,0.0907,0.0719,0.0063,0.0039,0.0618,0.0378,0.0026,0.0531
1990-01-01,0.0019,0.0023,0.0049,0.0325,0.0456,0.0845,0.1158,0.0631,0.091,0.0721,0.0063,0.0039,0.0624,0.0379,0.0026,0.0534
1991-01-01,0.002,0.0025,0.0049,0.0335,0.0465,0.0858,0.1162,0.0632,0.0909,0.0725,0.0066,0.004,0.0632,0.0382,0.0027,0.0537
1992-01-01,0.0021,0.0027,0.0051,0.0346,0.0473,0.0873,0.1165,0.0635,0.0908,0.073,0.0068,0.0041,0.0635,0.0383,0.0027,0.0543
1993-01-01,0.0022,0.0028,0.005,0.0342,0.0469,0.0869,0.1155,0.0624,0.0904,0.0724,0.0066,0.0041,0.0638,0.0377,0.0027,0.0532
1994-01-01,0.0023,0.0027,0.005,0.0339,0.0464,0.086,0.1144,0.0614,0.0898,0.0718,0.0065,0.004,0.0639,0.0372,0.0027,0.0525
1995-01-01,0.0023,0.0026,0.005,0.0334,0.0464,0.0855,0.1135,0.0606,0.0892,0.0715,0.0062,0.0039,0.0639,0.037,0.0027,0.0518
1996-01-01,0.0024,0.0026,0.005,0.0329,0.0459,0.0849,0.1123,0.0599,0.0886,0.0707,0.006,0.0036,0.0641,0.0367,0.0027,0.0509
1997-01-01,0.0025,0.0025,0.005,0.0326,0.0455,0.084,0.1113,0.0588,0.0874,0.0705,0.0059,0.0035,0.064,0.0361,0.0029,0.0501
1998-01-01,0.0025,0.0025,0.0051,0.0321,0.0454,0.0832,0.1102,0.0577,0.0873,0.0697,0.0059,0.0035,0.064,0.0358,0.0029,0.0492
1999-01-01,0.0028,0.0025,0.0051,0.0317,0.0455,0.0828,0.1093,0.0569,0.0865,0.0696,0.0056,0.0034,0.0643,0.0354,0.003,0.0485
2000-01-01,0.0028,0.0026,0.005,0.0313,0.0453,0.082,0.108,0.056,0.086,0.0688,0.0056,0.0033,0.0646,0.0349,0.003,0.0478
2001-01-01,0.0028,0.0026,0.0049,0.031,0.0453,0.0811,0.1066,0.0553,0.0851,0.0685,0.0056,0.0033,0.0646,0.0344,0.003,0.0468
2002-01-01,0.0028,0.0026,0.0049,0.0307,0.0448,0.0806,0.106,0.0542,0.0847,0.068,0.0053,0.0032,0.0646,0.034,0.0031,0.046
2003-01-01,0.003,0.003,0.005,0.0309,0.0458,0.0805,0.1055,0.0542,0.0846,0.0678,0.0054,0.0032,0.0665,0.0339,0.0032,0.0458
2004-01-01,0.0032,0.0035,0.005,0.0312,0.0465,0.0806,0.1049,0.054,0.0845,0.0678,0.0055,0.0032,0.068,0.0339,0.0033,0.046
2005-01-01,0.0032,0.0038,0.0051,0.0309,0.0474,0.081,0.1044,0.0542,0.0846,0.0674,0.0055,0.0035,0.0701,0.0337,0.0034,0.046
2006-01-01,0.0035,0.0042,0.0051,0.0312,0.0477,0.0807,0.1036,0.0542,0.0844,0.0676,0.0057,0.0035,0.0716,0.0339,0.0034,0.0453
2007-01-01,0.0035,0.0044,0.0053,0.0314,0.0489,0.0807,0.1029,0.054,0.0845,0.0673,0.0058,0.0036,0.0734,0.0336,0.0035,0.0454
2008-01-01,0.0036,0.0049,0.0054,0.0315,0.0493,0.0807,0.1023,0.0541,0.0843,0.0671,0.0059,0.0036,0.0753,0.0336,0.0036,0.0453
2009-01-01,0.0039,0.0053,0.0055,0.0317,0.0505,0.0807,0.1017,0.0539,0.0838,0.0669,0.006,0.0036,0.0773,0.0334,0.0037,0.0453
2010-01-01,0.0039,0.0056,0.0056,0.0318,0.0513,0.0808,0.1018,0.054,0.084,0.0666,0.006,0.0036,0.0791,0.0333,0.0038,0.0451
2011-01-01,0.004,0.0059,0.0056,0.032,0.0516,0.0808,0.1009,0.0539,0.0841,0.0669,0.006,0.0037,0.0806,0.0333,0.0039,0.0449
2012-01-01,0.0041,0.0065,0.0056,0.032,0.0524,0.0812,0.1001,0.0538,0.084,0.0664,0.0061,0.0038,0.0825,0.0331,0.004,0.0447
2013-01-01,0.0042,0.0068,0.0058,0.0323,0.0531,0.0811,0.0995,0.0537,0.0842,0.0663,0.0061,0.0038,0.0842,0.0331,0.004,0.0446
2014-01-01,0.0044,0.0072,0.0059,0.0324,0.0538,0.0811,0.0989,0.0537,0.0842,0.0661,0.0062,0.0039,0.0859,0.0331,0.0041,0.0446
2015-01-01,0.0044,0.0075,0.0059,0.0326,0.0546,0.0811,0.0983,0.0535,0.0839,0.0661,0.0064,0.0039,0.0882,0.0329,0.0042,0.0443
2016-01-01,0.0046,0.0078,0.0059,0.0328,0.0556,0.0813,0.0976,0.0532,0.084,0.0657,0.0063,0.004,0.0898,0.033,0.0043,0.0442
2017-01-01,0.0048,0.0084,0.006,0.0331,0.0562,0.0813,0.0973,0.0533,0.084,0.0657,0.0064,0.004,0.0914,0.0328,0.0044,0.0442
2018-01-01,0.0049,0.0087,0.0061,0.0331,0.0569,0.0814,0.0967,0.0531,0.0836,0.0657,0.0064,0.0041,0.0931,0.0325,0.0045,0.0442
2019-01-01,0.0051,0.0089,0.006,0.0334,0.0577,0.0813,0.0959,0.0532,0.0839,0.0654,0.0064,0.0042,0.0953,0.0326,0.0045,0.0439
2020-01-01,0.0051,0.0093,0.006,0.0335,0.0586,0.0815,0.0955,0.0533,0.0838,0.0655,0.0065,0.0041,0.0968,0.0325,0.0046,0.0439
