Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.0438,0.0388,0.0553,0.2209,0.3427,0.4934,0.638,0.4325,0.6273,0.4515,0.026,0.0187,0.4465,0.2601,0.0152,0.3013
1951-01-01,0.0425,0.0332,0.0545,0.2209,0.3442,0.4934,0.6405,0.4328,0.6222,0.452,0.0268,0.0187,0.4501,0.2623,0.0156,0.3021
1952-01-01,0.0415,0.0276,0.0537,0.221,0.3451,0.4932,0.644,0.4329,0.6171,0.4519,0.0272,0.0183,0.4547,0.2646,0.0163,0.3026
1953-01-01,0.0379,0.0258,0.0522,0.2191,0.3399,0.4911,0.6507,0.4366,0.6165,0.4521,0.0278,0.0186,0.4579,0.2642,0.0153,0.3049
1954-01-01,0.0344,0.0246,0.0511,0.2173,0.3343,0.4889,0.6576,0.4407,0.6157,0.452,0.0283,0.0194,0.4609,0.2641,0.0144,0.3071
1955-01-01,0.0311,0.023,0.0495,0.2159,0.3288,0.4866,0.665,0.4439,0.6143,0.4529,0.0293,0.0197,0.4636,0.264,0.0133,0.3095
1956-01-01,0.0275,0.0214,0.0484,0.2139,0.3235,0.4845,0.6714,0.4484,0.613,0.4534,0.0299,0.0204,0.4662,0.2638,0.0122,0.3119
1957-01-01,0.024,0.02,0.0467,0.2123,0.3185,0.4814,0.6791,0.4521,0.6124,0.4539,0.0307,0.0209,0.4695,0.2636,0.011,0.3139
1958-01-01,0.0206,0.0188,0.0455,0.2104,0.3131,0.4794,0.6855,0.4556,0.6116,0.4541,0.0313,0.0212,0.4726,0.2634,0.0102,0.3162
1959-01-01,0.0172,0.017,0.0443,0.2083,0.3074,0.4767,0.6926,0.4597,0.6107,0.4544,0.032,0.0218,0.4748,0.2632,0.0093,0.3187
1960-01-01,0.0138,0.0155,0.0425,0.207,0.3024,0.4743,0.6997,0.4643,0.6096,0.4549,0.0326,0.0222,0.4784,0.2632,0.0083,0.3211
1961-01-01,0.0135,0.0153,0.0419,0.205,0.3003,0.4797,0.6971,0.4601,0.6037,0.4535,0.0323,0.0224,0.4707,0.2601,0.0084,0.3203
1962-01-01,0.0132,0.0151,0.0411,0.2027,0.2984,0.4844,0.6948,0.4557,0.5971,0.4524,0.0325,0.0224,0.4643,0.257,0.0087,0.3203
1963-01-01,0.0128,0.0145,0.0404,0.2004,0.296,0.4896,0.6928,0.4514,0.5912,0.4517,0.0327,0.0226,0.4571,0.2544,0.0089,0.3202
1964-01-01,0.0126,0.0143,0.0397,0.1984,0.2941,0.4945,0.6904,0.4478,0.5847,0.4504,0.033,0.0224,0.4498,0.2516,0.0094,0.3196
1965-01-01,0.0124,0.0139,0.039,0.1962,0.2918,0.4997,0.6884,0.4433,0.5784,0.4501,0.0329,0.0222,0.4428,0.2489,0.0095,0.3191
1966-01-01,0.0122,0.0136,0.0382,0.1942,0.2894,0.5043,0.6862,0.4394,0.5723,0.4489,0.0329,0.0221,0.4351,0.2458,0.0098,0.3189
1967-01-01,0.0118,0.0132,0.0374,0.1921,0.2876,0.5087,0.6838,0.4349,0.5655,0.4483,0.033,0.0223,0.4276,0.243,0.01,0.3185
1968-01-01,0.0116,0.0128,0.0364,0.1901,0.2855,0.5138,0.6815,0.4312,0.5593,0.4469,0.0329,0.0221,0.4212,0.24,0.0102,0.318
