Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0.002096,0.0037803,0.0011898,0.0039335,0.0107154,0.0034455,0.003145,0.0082166,0.0044438,0.0038573,0.0005151,0.0013415,0.0934475,0.0018668,0.0012816,0.0017198
1961-01-01,0.0023664,0.0042677,0.0013432,0.0044405,0.0120969,0.0038892,0.0035505,0.0092755,0.0050164,0.0043547,0.0005814,0.0015145,0.1054952,0.0021075,0.0014468,0.0019413
1962-01-01,0.002682,0.0048367,0.0015223,0.0050328,0.0137102,0.0044083,0.0040239,0.0105125,0.0056854,0.0049352,0.000659,0.0017164,0.1195622,0.0023885,0.0016397,0.0022002
1963-01-01,0.0028311,0.005106,0.0016069,0.0053128,0.014473,0.0046534,0.0042481,0.0110974,0.0060016,0.0052098,0.0006956,0.001812,0.1262144,0.0025214,0.001731,0.0023226
1964-01-01,0.0028381,0.0051183,0.001611,0.005326,0.0145084,0.0046647,0.0042579,0.011125,0.006016,0.0052225,0.0006975,0.0018164,0.1265251,0.0025277,0.0017352,0.0023282
1965-01-01,0.0026604,0.0047978,0.0015101,0.0049922,0.0135998,0.0043724,0.0039916,0.0104279,0.0056396,0.0048952,0.0006537,0.0017026,0.1186,0.0023691,0.0016265,0.0021825
1966-01-01,0.0031413,0.0056653,0.0017831,0.005895,0.0160589,0.0051632,0.0047131,0.0123133,0.0066595,0.0057807,0.0007718,0.0020105,0.1400425,0.0027977,0.0019206,0.0025769
1967-01-01,0.0030025,0.0054148,0.0017042,0.0056345,0.0153489,0.004935,0.0045048,0.0117691,0.0063648,0.0055253,0.0007377,0.0019216,0.1338536,0.0026741,0.0018357,0.0024632
1968-01-01,0.0030907,0.0055741,0.0017544,0.0058,0.0158005,0.0050801,0.0046375,0.0121153,0.006552,0.0056875,0.0007594,0.0019781,0.1377898,0.0027525,0.0018897,0.0025357
