Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.0816,0.2649,0.0741,0.1792,0.9003,0.2333,0.2817,0.6119,0.2975,0.1695,0.0185,0.0839,3.0188,0.1423,0.0375,0.1409
1951-01-01,0.0809,0.278,0.0745,0.1822,0.9146,0.2377,0.2845,0.6284,0.302,0.1741,0.0194,0.085,3.1046,0.1459,0.0387,0.142
1952-01-01,0.0803,0.2913,0.075,0.1847,0.929,0.2419,0.2878,0.6454,0.306,0.1791,0.0201,0.0861,3.1909,0.1496,0.0399,0.143
1953-01-01,0.0855,0.3002,0.085,0.1975,0.9681,0.258,0.2994,0.6788,0.3164,0.1881,0.0219,0.09,3.3753,0.1556,0.0454,0.1477
1954-01-01,0.0908,0.3093,0.0949,0.2105,1.0075,0.2734,0.3104,0.7125,0.3267,0.1972,0.0236,0.0938,3.5588,0.1618,0.0509,0.1529
1955-01-01,0.0961,0.3184,0.1049,0.2231,1.0469,0.2885,0.3217,0.7464,0.3373,0.206,0.0255,0.0975,3.7436,0.1678,0.0563,0.1578
1956-01-01,0.1012,0.3275,0.1149,0.236,1.086,0.3044,0.3334,0.7795,0.3477,0.2153,0.0272,0.1014,3.9272,0.174,0.0619,0.163
1957-01-01,0.1065,0.3365,0.1248,0.2488,1.1257,0.3194,0.3446,0.8136,0.3584,0.224,0.0291,0.1052,4.1114,0.18,0.0673,0.1679
1958-01-01,0.1116,0.3457,0.1348,0.2614,1.1647,0.3351,0.3561,0.847,0.3688,0.2329,0.031,0.109,4.295,0.1862,0.0728,0.173
1959-01-01,0.1168,0.3548,0.1448,0.2742,1.2042,0.3507,0.3675,0.8812,0.379,0.2419,0.0326,0.1129,4.4794,0.1922,0.0783,0.1779
1960-01-01,0.122,0.364,0.1548,0.2869,1.2435,0.3661,0.3791,0.9144,0.3892,0.2508,0.0346,0.1168,4.6633,0.1985,0.0838,0.1831
1961-01-01,0.1247,0.3715,0.1626,0.2952,1.2759,0.3755,0.3898,0.9423,0.4012,0.261,0.0364,0.1198,4.8489,0.2037,0.0904,0.188
1962-01-01,0.1272,0.3791,0.1705,0.3034,1.3077,0.3851,0.4005,0.9697,0.4129,0.2713,0.0386,0.123,5.0344,0.2092,0.0971,0.1932
1963-01-01,0.1297,0.3868,0.1783,0.3116,1.3399,0.3942,0.4112,0.9979,0.4249,0.2816,0.0406,0.1259,5.2198,0.2146,0.1039,0.198
1964-01-01,0.1322,0.3944,0.1861,0.3198,1.3727,0.4035,0.4225,1.0258,0.4365,0.2913,0.0424,0.1291,5.405,0.2203,0.1105,0.2029
1965-01-01,0.1349,0.4021,0.1939,0.3279,1.4046,0.4132,0.433,1.0538,0.4484,0.3019,0.0444,0.1322,5.5909,0.2257,0.1173,0.2082
1966-01-01,0.1375,0.4097,0.202,0.336,1.437,0.4223,0.4444,1.0815,0.4598,0.3118,0.0465,0.1354,5.7767,0.2313,0.1239,0.213
1967-01-01,0.14,0.4171,0.2099,0.3444,1.4689,0.4324,0.4552,1.11,0.4723,0.3222,0.0485,0.1385,5.962,0.2368,0.1306,0.2181
1968-01-01,0.1425,0.4248,0.2177,0.3522,1.5017,0.4415,0.4661,1.1373,0.4842,0.3323,0.0506,0.1415,6.1473,0.2421,0.1374,0.223
1969-01-01,0.1451,0.4323,0.2254,0.3605,1.5336,0.451,0.4769,1.1653,0.4957,0.3425,0.0524,0.1445,6.3328,0.2476,0.144,0.228
1970-01-01,0.1477,0.4401,0.2333,0.3686,1.5658,0.4603,0.4877,1.1931,0.5074,0.3523,0.0544,0.1477,6.5186,0.2531,0.1507,0.233
1971-01-01,0.1552,0.4542,0.239,0.3845,1.6097,0.4819,0.5042,1.2277,0.5218,0.3637,0.0571,0.1545,6.7481,0.2591,0.1582,0.242
1972-01-01,0.1631,0.4685,0.245,0.4001,1.653,0.5029,0.5201,1.262,0.5361,0.3751,0.0598,0.1611,6.9774,0.265,0.1657,0.2513
1973-01-01,0.1708,0.4827,0.2509,0.4159,1.6966,0.5242,0.5361,1.2966,0.5503,0.3863,0.0624,0.1678,7.2073,0.2711,0.1731,0.2606
1974-01-01,0.1784,0.4969,0.2568,0.4319,1.7403,0.5454,0.5525,1.3311,0.5646,0.3974,0.0649,0.1746,7.4365,0.277,0.1806,0.2694
1975-01-01,0.1863,0.5114,0.2627,0.4475,1.7841,0.5663,0.5685,1.3654,0.579,0.4088,0.0674,0.1813,7.6663,0.2829,0.188,0.2783
1976-01-01,0.1939,0.5255,0.2685,0.4632,1.8279,0.5876,0.5849,1.3999,0.5934,0.4201,0.0702,0.1882,7.8957,0.2887,0.1955,0.2875
1977-01-01,0.2016,0.5397,0.2744,0.479,1.8715,0.6086,0.601,1.4343,0.6074,0.4315,0.0728,0.1948,8.1253,0.2948,0.2029,0.2965
1978-01-01,0.2093,0.5541,0.2802,0.4948,1.9152,0.63,0.6174,1.4686,0.6216,0.4428,0.0755,0.2016,8.355,0.3007,0.2104,0.3055
1979-01-01,0.2171,0.5682,0.2862,0.5107,1.9587,0.651,0.6332,1.5031,0.6361,0.454,0.0781,0.2083,8.5846,0.3066,0.2179,0.3147
1980-01-01,0.2247,0.5825,0.292,0.5263,2.0024,0.6726,0.6494,1.5374,0.6505,0.465,0.0807,0.2151,8.8138,0.3126,0.2254,0.3235
