Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.0051371,0.0011652,0.0091096,0.0055371,0.0023447,0,7.64e-05,0.0015342,0.007297,0,0.0003282,0.0004901,0.1449855,0.0012178,0.003705,5.58e-05
1951-01-01,0.0051868,0.0012686,0.0091801,0.0056448,0.0023919,0,7.73e-05,0.0016101,0.007331,0,0.0003448,0.0005093,0.1474684,0.0012447,0.0038723,5.67e-05
1952-01-01,0.005236,0.0013719,0.0092505,0.0057521,0.0024389,0,7.82e-05,0.0016858,0.0073644,0,0.0003616,0.0005284,0.1499659,0.0012714,0.0040396,5.76e-05
1953-01-01,0.0055825,0.0016351,0.0094442,0.0060192,0.0025844,0,8.21e-05,0.0018463,0.0076868,0,0.0003801,0.0005727,0.1570708,0.0013316,0.0041246,6.16e-05
1954-01-01,0.0059292,0.001904,0.0096382,0.0062854,0.0027294,0,8.59e-05,0.0020068,0.0080115,0,0.0003986,0.000617,0.1641677,0.0013918,0.0042097,6.57e-05
1955-01-01,0.0062756,0.0021672,0.0098321,0.0065521,0.0028742,0,8.97e-05,0.0021673,0.0083353,0,0.000417,0.0006611,0.1712705,0.0014521,0.0042947,6.98e-05
1956-01-01,0.0066222,0.0024302,0.0100259,0.0068191,0.0030193,0,9.36e-05,0.0023278,0.0086578,0,0.0004356,0.0007053,0.1783779,0.0015122,0.0043798,7.39e-05
1957-01-01,0.0069688,0.0026934,0.0102195,0.0070856,0.0031644,0,9.75e-05,0.0024883,0.0089807,0,0.0004542,0.0007495,0.1854716,0.0015724,0.0044648,7.8e-05
1958-01-01,0.0073152,0.0029567,0.0104135,0.0073524,0.0033096,0,0.0001013,0.0026487,0.0093049,0,0.0004727,0.0007937,0.1925739,0.0016326,0.0045499,8.2e-05
1959-01-01,0.007662,0.0032255,0.0106075,0.0076186,0.0034549,0,0.0001052,0.0028092,0.0096294,0,0.0004913,0.000838,0.1996715,0.0016928,0.0046349,8.61e-05
1960-01-01,0.0080085,0.0034885,0.0108014,0.0078855,0.0035995,0,0.000109,0.0029697,0.0099516,0,0.0005099,0.0008822,0.2067759,0.0017531,0.00472,9.02e-05
1961-01-01,0.0082481,0.0038781,0.0108629,0.0081263,0.0037352,0,0.0001123,0.0031755,0.0101038,0,0.0005277,0.0009364,0.2129845,0.0018087,0.00477,9.29e-05
1962-01-01,0.0084881,0.0042621,0.0109244,0.0083674,0.0038707,0,0.0001157,0.0033812,0.0102564,0,0.0005456,0.0009905,0.2192198,0.0018641,0.0048201,9.56e-05
1963-01-01,0.0087276,0.0046458,0.0109859,0.008609,0.0040061,0,0.000119,0.0035871,0.0104077,0,0.0005633,0.0010447,0.2254389,0.0019195,0.0048701,9.82e-05
1964-01-01,0.0089677,0.0050353,0.0110477,0.0088502,0.0041416,0,0.0001224,0.0037929,0.0105594,0,0.0005813,0.0010989,0.2316531,0.0019751,0.0049202,0.0001009
1965-01-01,0.0092073,0.0054249,0.0111091,0.0090911,0.0042773,0,0.0001258,0.0039986,0.0107116,0,0.0005992,0.001153,0.2378737,0.0020307,0.0049702,0.0001036
1966-01-01,0.0094468,0.0058087,0.0111707,0.0093318,0.0044125,0,0.0001291,0.0042044,0.0108635,0,0.000617,0.0012073,0.2440838,0.0020861,0.0050202,0.0001063
1967-01-01,0.0096869,0.0061925,0.0112324,0.0095731,0.0045481,0,0.0001324,0.0044102,0.0110157,0,0.0006347,0.0012614,0.2503074,0.0021416,0.0050703,0.0001089
1968-01-01,0.0099263,0.0065821,0.0112938,0.0098146,0.0046836,0,0.0001357,0.004616,0.0111667,0,0.0006527,0.0013157,0.2565165,0.0021972,0.0051203,0.0001116
1969-01-01,0.0101664,0.0069717,0.0113553,0.0100558,0.0048191,0,0.0001391,0.0048218,0.011319,0,0.0006706,0.0013697,0.2627432,0.0022528,0.0051704,0.0001143
1970-01-01,0.0104061,0.0073555,0.011417,0.0102965,0.0049548,0,0.0001424,0.0050275,0.0114713,0,0.0006884,0.0014241,0.2689608,0.0023083,0.0052204,0.0001169
1971-01-01,0.0107836,0.0075641,0.011547,0.0105888,0.0051833,0,0.0001469,0.0050821,0.0118492,0,0.0007208,0.0015829,0.2805953,0.0024177,0.005425,0.0001224
1972-01-01,0.0111611,0.0077784,0.011677,0.0108811,0.0054122,0,0.0001514,0.0051367,0.0122254,0,0.0007532,0.0017416,0.292233,0.0025274,0.0056295,0.0001278
1973-01-01,0.0115389,0.007987,0.011807,0.011173,0.0056415,0,0.0001559,0.0051914,0.0126032,0,0.0007857,0.0019004,0.3038813,0.0026369,0.0058341,0.0001333
1974-01-01,0.0119164,0.0082016,0.0119371,0.0114654,0.0058702,0,0.0001603,0.005246,0.0129792,0,0.0008183,0.0020593,0.3155123,0.0027464,0.0060387,0.0001387
1975-01-01,0.0122939,0.0084102,0.0120671,0.0117578,0.0060989,0,0.0001648,0.0053006,0.0133571,0,0.0008507,0.0022181,0.3271438,0.0028561,0.0062432,0.0001442
1976-01-01,0.0126716,0.0086189,0.0121971,0.0120493,0.0063279,0,0.0001694,0.0053553,0.0137334,0,0.0008832,0.0023768,0.3387778,0.0029655,0.0064478,0.0001496
1977-01-01,0.0130492,0.0088334,0.0123271,0.0123415,0.0065572,0,0.0001738,0.0054099,0.014111,0,0.0009156,0.0025356,0.3504183,0.0030751,0.0066524,0.0001551
1978-01-01,0.0134268,0.009042,0.0124572,0.012634,0.0067859,0,0.0001783,0.0054645,0.014489,0,0.000948,0.0026944,0.3620497,0.0031847,0.0068569,0.0001605
1979-01-01,0.0138042,0.0092564,0.0125873,0.0129261,0.0070148,0,0.0001828,0.0055192,0.014865,0,0.0009805,0.0028533,0.3736814,0.0032942,0.0070615,0.000166
1980-01-01,0.0141817,0.009465,0.0127172,0.013218,0.0072439,0,0.0001873,0.0055738,0.015243,0,0.0010131,0.0030121,0.3853354,0.0034038,0.0072661,0.0001714
1981-01-01,0.0145596,0.0096795,0.0128472,0.0135105,0.0074729,0,0.0001917,0.0056283,0.0156188,0,0.0010455,0.0031708,0.3969671,0.0035134,0.0074706,0.0001769
1982-01-01,0.0149371,0.0098881,0.0129772,0.0138028,0.0077016,0,0.0001962,0.005683,0.0159967,0,0.001078,0.0033296,0.4086016,0.003623,0.0076752,0.0001823
1983-01-01,0.015121,0.0101277,0.0130709,0.0139991,0.0080866,0,0.0002028,0.0056068,0.0161802,0,0.0011139,0.0033507,0.4152228,0.0037096,0.0078463,0.0001747
1984-01-01,0.0153046,0.0103675,0.0131645,0.0141947,0.0084712,0,0.0002093,0.0055306,0.0163631,0,0.0011497,0.003372,0.4218404,0.0037961,0.0080175,0.000167
1985-01-01,0.0154883,0.0106014,0.0132581,0.0143914,0.0088568,0,0.0002159,0.0054544,0.0165461,0,0.0011856,0.003393,0.4284533,0.0038827,0.0081886,0.0001594
1986-01-01,0.0156721,0.010841,0.0133517,0.0145882,0.0092416,0,0.0002225,0.0053782,0.0167296,0,0.0012215,0.003414,0.4350751,0.0039693,0.0083598,0.0001518
1987-01-01,0.0158557,0.0110806,0.0134452,0.014784,0.0096266,0,0.0002291,0.0053019,0.0169131,0,0.0012575,0.0034353,0.4416748,0.0040561,0.008531,0.0001441
1988-01-01,0.0160398,0.0113204,0.0135389,0.0149803,0.0100112,0,0.0002356,0.0052257,0.0170954,0,0.0012934,0.0034564,0.4482956,0.0041428,0.0087021,0.0001365
1989-01-01,0.0162236,0.01156,0.0136325,0.0151768,0.0103965,0,0.0002422,0.0051496,0.0172789,0,0.0013293,0.0034777,0.4549178,0.0042293,0.0088733,0.0001288
1990-01-01,0.0164074,0.0117939,0.0137261,0.0153734,0.0107817,0,0.0002487,0.0050733,0.0174623,0,0.0013651,0.0034987,0.4615302,0.0043159,0.0090444,0.0001212
1991-01-01,0.016591,0.0120334,0.0138197,0.0155696,0.0111665,0,0.0002553,0.0049972,0.0176455,0,0.0014009,0.0035198,0.4681477,0.0044025,0.0092156,0.0001136
1992-01-01,0.0167748,0.0122731,0.0139133,0.0157659,0.0115513,0,0.0002618,0.004921,0.0178286,0,0.0014369,0.0035409,0.4747691,0.0044891,0.0093868,0.0001059
1993-01-01,0.017238,0.0140264,0.0139609,0.0161743,0.0122283,0,0.0002662,0.0049247,0.0181273,0,0.0014848,0.0036081,0.4825591,0.0045777,0.009672,0.000113
1994-01-01,0.017701,0.0157741,0.0140084,0.016583,0.0129053,0,0.0002706,0.0049283,0.0184253,0,0.0015326,0.0036754,0.4903774,0.0046663,0.0099573,0.0001202
1995-01-01,0.0181637,0.0175276,0.0140557,0.0169915,0.0135824,0,0.0002749,0.0049319,0.0187246,0,0.0015805,0.0037425,0.4981676,0.0047549,0.0102426,0.0001273
1996-01-01,0.0186268,0.0192811,0.0141034,0.0173999,0.0142596,0,0.0002792,0.0049356,0.0190232,0,0.0016285,0.0038098,0.505969,0.0048435,0.0105279,0.0001344
1997-01-01,0.0190894,0.0210288,0.014151,0.0178086,0.0149366,0,0.0002836,0.0049393,0.0193214,0,0.0016762,0.003877,0.5137727,0.0049321,0.0108131,0.0001416
