Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0.0005194,0.0006675,0.0003826,0.0002491,0.0021134,0.000354,0.0002296,0.0031227,0.0010112,0.0009685,0.0005776,0.0006939,0.0137677,0.0003449,0.0003998,0.0001326
1961-01-01,0.0005922,0.0007612,0.0004363,0.0002839,0.0024101,0.0004034,0.0002621,0.0035612,0.0011531,0.0011045,0.0006587,0.0007912,0.0157008,0.0003933,0.0004559,0.0001514
1962-01-01,0.0007421,0.0009538,0.0005468,0.0003558,0.0030199,0.0005056,0.0003284,0.0044626,0.001445,0.0013844,0.0008254,0.0009914,0.0196738,0.0004928,0.0005713,0.0001897
1963-01-01,0.0007777,0.0009998,0.000573,0.0003729,0.0031648,0.0005296,0.0003442,0.0046768,0.001514,0.0014505,0.0008649,0.0010389,0.0206169,0.0005167,0.0005987,0.0001985
1964-01-01,0.0008372,0.0010762,0.0006168,0.0004017,0.0034074,0.0005705,0.0003703,0.0050349,0.0016301,0.0015617,0.0009312,0.0011185,0.0221967,0.000556,0.0006446,0.0002139
1965-01-01,0.0008261,0.0010619,0.0006087,0.0003963,0.0033622,0.0005629,0.0003655,0.0049685,0.0016083,0.0015407,0.0009189,0.0011037,0.0219027,0.0005484,0.0006361,0.0002111
1966-01-01,0.0009356,0.0012026,0.0006893,0.0004485,0.0038075,0.0006375,0.0004138,0.0056261,0.0018217,0.0017451,0.0010406,0.00125,0.0248041,0.0006214,0.0007203,0.0002391
1967-01-01,0.0009626,0.0012375,0.0007093,0.0004616,0.0039178,0.0006559,0.000426,0.005789,0.0018743,0.0017956,0.0010707,0.001286,0.0255219,0.0006394,0.0007411,0.0002459
1968-01-01,0.0010556,0.0013569,0.0007778,0.0005063,0.0042958,0.0007192,0.0004668,0.0063478,0.0020552,0.0019689,0.001174,0.0014102,0.0279858,0.000701,0.0008127,0.0002696
