Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.0313596,0.0754285,0.0302194,0.0516238,0.3324839,0.0843,0.1131213,0.2212275,0.1179163,0.0631,0.0059016,0.0328905,1.1131815,0.0353277,0.0148412,0.0508201
1951-01-01,0.0311776,0.0793576,0.0303451,0.0524534,0.3376974,0.086,0.1140216,0.2274535,0.1197295,0.0647,0.0062066,0.0331979,1.1437253,0.0361325,0.0154018,0.0512204
1952-01-01,0.0309955,0.0832867,0.0307709,0.0532831,0.3436114,0.0878,0.1154219,0.2332795,0.1212423,0.0666,0.0064117,0.0337054,1.1739733,0.0370374,0.0158623,0.0516207
1953-01-01,0.0330209,0.0857609,0.0345415,0.0568565,0.3573566,0.0934,0.1200232,0.2456345,0.1253668,0.0698,0.0069176,0.0352226,1.240007,0.0385483,0.0178931,0.0533222
1954-01-01,0.0349464,0.0885368,0.0381122,0.0606296,0.3723023,0.099,0.1250246,0.2576896,0.1293919,0.0733,0.0075233,0.0366397,1.3057383,0.0401593,0.0199239,0.0550236
1955-01-01,0.0370717,0.0912109,0.0418827,0.0642031,0.3865477,0.1042,0.1295259,0.2696446,0.1335173,0.0767,0.0080289,0.038157,1.3712706,0.0415703,0.0219547,0.0569251
1956-01-01,0.0389973,0.0938851,0.0454534,0.0679763,0.4009933,0.1099,0.1339273,0.2819996,0.1380415,0.0801,0.0085346,0.0395742,1.4370049,0.0430813,0.0239855,0.0589266
1957-01-01,0.0411227,0.0966593,0.049124,0.0714497,0.4155387,0.1155,0.1385287,0.2944546,0.1416666,0.0831,0.0091404,0.0411913,1.5028347,0.0447923,0.0260163,0.060428
1958-01-01,0.0432482,0.0992334,0.0528947,0.075223,0.4298837,0.1209,0.1429301,0.3065097,0.1460914,0.0866,0.0096461,0.0426085,1.5687674,0.0464033,0.0280471,0.0624295
1959-01-01,0.0450736,0.1021093,0.0565653,0.0787964,0.4445296,0.1265,0.1478314,0.3188647,0.1504169,0.09,0.0103519,0.0441257,1.6342987,0.0477142,0.0299778,0.064431
1960-01-01,0.0480458,0.1059374,0.0609089,0.083723,0.4638221,0.1340742,0.1537888,0.3349995,0.156454,0.0950926,0.0111953,0.046334,1.7371447,0.0498178,0.0326172,0.0667003
1961-01-01,0.0490569,0.108611,0.0638069,0.0861388,0.4763821,0.1373526,0.1579656,0.3456089,0.1612898,0.098928,0.0119464,0.0478602,1.8065641,0.0511921,0.0352155,0.068588
1962-01-01,0.0503123,0.1111338,0.0668349,0.0887885,0.4885457,0.1411772,0.1627835,0.3563478,0.1661201,0.1030477,0.0124273,0.0491373,1.8782326,0.0524877,0.0377453,0.0702961
1963-01-01,0.0514659,0.1136308,0.0696978,0.0912366,0.5011213,0.1445744,0.1670811,0.3670061,0.1711279,0.1067743,0.0131564,0.0505144,1.9455576,0.0541329,0.0402063,0.0723444
1964-01-01,0.0524765,0.1159657,0.0725374,0.0934146,0.5132637,0.1479933,0.171797,0.3770152,0.1759378,0.1108205,0.0139831,0.051568,2.0110638,0.0554537,0.0426426,0.074153
1965-01-01,0.0534952,0.1182812,0.0754202,0.0959873,0.5245505,0.1509852,0.1756891,0.3870112,0.1804425,0.114491,0.0145711,0.052939,2.073584,0.0567277,0.0450183,0.0758003
1966-01-01,0.0546955,0.1207733,0.0784716,0.098317,0.5373652,0.1549982,0.1805995,0.3978965,0.1855783,0.1185957,0.0151511,0.0542366,2.1471504,0.0584489,0.0476734,0.0778533
1967-01-01,0.0556421,0.123021,0.0813729,0.1008151,0.5492835,0.1580221,0.1848217,0.4082296,0.1898436,0.1222197,0.0159552,0.0554373,2.2101353,0.0598366,0.0500682,0.0797159
1968-01-01,0.0566941,0.1253093,0.0842381,0.1030394,0.5609305,0.1618975,0.189293,0.4185253,0.1945443,0.1260444,0.0164993,0.0567284,2.2765981,0.0609789,0.0525319,0.0815516
1969-01-01,0.0579186,0.1282301,0.0871057,0.1056861,0.5741517,0.1655336,0.1939237,0.4297362,0.1997309,0.130394,0.0172958,0.0582545,2.3512237,0.0625116,0.055204,0.083415
1970-01-01,0.0591692,0.1308484,0.09023,0.1083342,0.5869952,0.1689555,0.1984398,0.4405468,0.2044525,0.1345048,0.0178719,0.0595246,2.4225673,0.0641056,0.05763,0.0854225
1971-01-01,0.0621799,0.1350651,0.0925457,0.1130347,0.604126,0.1772413,0.205619,0.4542729,0.2113073,0.139324,0.0187892,0.0624247,2.5152909,0.0658672,0.0606823,0.0887104
1972-01-01,0.0654977,0.1397115,0.0948571,0.1179938,0.6216414,0.1854815,0.2121632,0.4677322,0.2176861,0.1438552,0.0199745,0.0653959,2.6091706,0.0673361,0.0636315,0.0925298
1973-01-01,0.0698317,0.1456828,0.0979665,0.1239758,0.6445174,0.1948189,0.2206547,0.4861682,0.2262321,0.1509037,0.0211529,0.0692963,2.7437732,0.069975,0.067319,0.096564
1974-01-01,0.0717175,0.1484864,0.0997796,0.1270408,0.6557651,0.2008061,0.2255118,0.4947891,0.2300103,0.1534095,0.0219027,0.0713438,2.7856112,0.0710806,0.0694201,0.098959
1975-01-01,0.0732622,0.1508239,0.1009585,0.1302105,0.6647605,0.2068089,0.2306256,0.500188,0.2321003,0.1545744,0.0217971,0.0724724,2.8154664,0.0720567,0.0711741,0.1017244
1976-01-01,0.0765914,0.1552608,0.1034614,0.134859,0.6829886,0.214979,0.2370677,0.5149124,0.2387019,0.1593205,0.0228239,0.0755399,2.9111621,0.0736723,0.074317,0.1050449
1977-01-01,0.0800814,0.1603842,0.1059051,0.1403304,0.7019301,0.2235229,0.244499,0.5300565,0.2460039,0.1645575,0.0239707,0.0787513,3.0190503,0.075532,0.0775119,0.1085049
1978-01-01,0.0835325,0.1651175,0.1083663,0.1456194,0.7204607,0.2320533,0.2517175,0.5447252,0.2525948,0.170332,0.0251761,0.0817551,3.1206539,0.0776184,0.0806191,0.1122604
1979-01-01,0.0874062,0.1705481,0.1112428,0.1513539,0.7418216,0.2412498,0.2597943,0.5617317,0.2608524,0.1762959,0.0262628,0.08549,3.2431033,0.0796767,0.0840615,0.1163889
1980-01-01,0.0915534,0.1761781,0.1142364,0.1571253,0.7635776,0.2501313,0.2682372,0.5797284,0.2690838,0.1825904,0.0275629,0.0892219,3.3714785,0.08192,0.0875261,0.1205003
1981-01-01,0.0952537,0.1810586,0.1170102,0.1623596,0.7832208,0.2590544,0.2754183,0.5951077,0.276083,0.1880507,0.0288173,0.092447,3.4771983,0.0837728,0.0908499,0.1238883
1982-01-01,0.0959201,0.1823193,0.1176057,0.1640595,0.7875155,0.2636112,0.278344,0.5972048,0.2765597,0.1879598,0.0286072,0.0930525,3.4688745,0.084269,0.0920841,0.1255756
1983-01-01,0.0985188,0.1848487,0.1201707,0.1660315,0.7966018,0.2680626,0.2842111,0.6055386,0.281441,0.1914517,0.028792,0.0937062,3.5323181,0.0847492,0.0932673,0.1267071
1984-01-01,0.1016177,0.1879891,0.1230795,0.1683031,0.8060502,0.2728743,0.2899065,0.6147145,0.2869431,0.1951258,0.0293485,0.0946279,3.601672,0.0854222,0.0946007,0.1279037
