Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.1180967,0.3414937,0.113429,0.2363609,1.2351286,0.3176,0.3948977,0.8346617,0.4227133,0.2326,0.0247298,0.1172806,4.276967,0.1788455,0.0560462,0.1917759
1951-01-01,0.1172644,0.3586262,0.1140252,0.2402982,1.2546893,0.3237,0.3985989,0.8574636,0.4290605,0.2388,0.0259514,0.1187072,4.3957937,0.1832772,0.0579741,0.1932771
1952-01-01,0.1165315,0.3759586,0.1150214,0.2437352,1.2750503,0.3297,0.4033001,0.8803653,0.4346067,0.2457,0.0268733,0.1203338,4.5148392,0.1879088,0.0598019,0.1946783
1953-01-01,0.1241034,0.387596,0.1289857,0.2603757,1.328041,0.3514,0.4195053,0.9262808,0.4494536,0.2579,0.0291977,0.1257953,4.7723778,0.1954799,0.0674177,0.2010838
1954-01-01,0.1316756,0.3997408,0.1426504,0.277415,1.3825317,0.3724,0.4355105,0.9721964,0.4641034,0.2705,0.0315219,0.1310567,5.028706,0.2033511,0.0750336,0.2079893
1955-01-01,0.1394473,0.4117781,0.1566148,0.2938552,1.4363219,0.3927,0.4513156,1.0182119,0.4791526,0.2827,0.0339459,0.1363181,5.2861411,0.2108224,0.0825494,0.2147949
1956-01-01,0.1468195,0.4238153,0.1703793,0.3107954,1.4900126,0.4143,0.4674209,1.0638274,0.4943993,0.2954,0.0361702,0.1416795,5.5425828,0.2185935,0.0902653,0.2220005
1957-01-01,0.1545915,0.4358527,0.1841435,0.3273353,1.5444031,0.4349,0.4832262,1.1105429,0.5090473,0.3071,0.0386946,0.1471408,5.7997063,0.2263647,0.0977811,0.228406
1958-01-01,0.1621634,0.4478901,0.1981082,0.3439754,1.5978933,0.456,0.4991314,1.1561584,0.5241963,0.3195,0.0411188,0.1524022,6.0563413,0.2342359,0.105397,0.2355115
1959-01-01,0.1695356,0.4601348,0.2119728,0.360615,1.6521845,0.4772,0.5154366,1.2028739,0.5390463,0.3319,0.0434432,0.1578637,6.3133702,0.241607,0.1129127,0.2424171
1960-01-01,0.1806697,0.4778737,0.2280827,0.3826911,1.7237504,0.5039737,0.5363724,1.2637085,0.5610606,0.3507184,0.0473979,0.1660516,6.7144358,0.2522826,0.1228186,0.2517429
1961-01-01,0.1849636,0.489018,0.2390493,0.3941895,1.7705243,0.5171452,0.5516905,1.3039211,0.5787631,0.3653872,0.0501142,0.1709023,6.9896446,0.2592016,0.1322882,0.2587736
1962-01-01,0.1894245,0.5002864,0.2503284,0.4059445,1.8168465,0.5311911,0.5677515,1.3444041,0.5964069,0.3806673,0.0530573,0.1758356,7.2710884,0.2664331,0.1418764,0.2659816
1963-01-01,0.1935023,0.5111824,0.2611636,0.4171313,1.8626652,0.5439574,0.5829924,1.3842674,0.6139512,0.3950346,0.0558802,0.18031,7.5376278,0.2736905,0.1513061,0.2729637
1964-01-01,0.1973195,0.5215955,0.2719129,0.4277925,1.9080211,0.5567285,0.5990476,1.422768,0.6306433,0.4089047,0.0585931,0.1847018,7.7964387,0.2808125,0.1604426,0.279696
1965-01-01,0.201089,0.5316658,0.2825481,0.4383669,1.9503898,0.5691205,0.613172,1.4602062,0.646802,0.4228269,0.0611429,0.1890983,8.0428604,0.2873759,0.1695511,0.2864975
1966-01-01,0.2057192,0.5431499,0.2941147,0.4499923,1.9986441,0.5830989,0.6302555,1.5015403,0.664723,0.4379215,0.0640805,0.1941044,8.3327808,0.2952541,0.1792345,0.2937756
1967-01-01,0.2092941,0.5529658,0.3049188,0.4608843,2.0419983,0.596013,0.6450849,1.5401979,0.6813984,0.4517406,0.0668983,0.1984063,8.5818182,0.3020917,0.1883153,0.3006339
1968-01-01,0.2132667,0.5636224,0.3157641,0.4713603,2.0874104,0.6091968,0.660633,1.5789044,0.6985182,0.4660008,0.0696854,0.2029324,8.8461902,0.3087296,0.1977546,0.3074685
1969-01-01,0.2179871,0.5755358,0.3267915,0.4835642,2.1358591,0.6232628,0.6768886,1.6212143,0.7167209,0.4817612,0.0725944,0.2080394,9.1389984,0.3163674,0.2075022,0.3147859
1970-01-01,0.2225299,0.5870838,0.338157,0.4952126,2.1832104,0.6365978,0.6927433,1.6620876,0.7342306,0.4965083,0.0754167,0.2129478,9.4200828,0.3238892,0.2169763,0.3220907
1971-01-01,0.234175,0.6068783,0.346764,0.5172668,2.2481464,0.6675496,0.7173672,1.7138231,0.7574363,0.5141254,0.0794131,0.2234202,9.784344,0.3323926,0.2282254,0.3349001
1972-01-01,0.2465467,0.6274078,0.3556562,0.5394907,2.3130962,0.6980076,0.7409162,1.7648069,0.7801261,0.5314864,0.083574,0.2336889,10.1526764,0.340549,0.2393634,0.3486279
1973-01-01,0.2628187,0.6542169,0.3671607,0.5673723,2.3984638,0.7340004,0.7701169,1.8351819,0.8112558,0.5568645,0.0892242,0.2476344,10.6823457,0.3526024,0.2531786,0.3645536
1974-01-01,0.2700554,0.6666224,0.3735377,0.581597,2.4400604,0.7567301,0.7872828,1.8683669,0.824117,0.5656402,0.0919878,0.2550612,10.8452789,0.3573452,0.2614015,0.3735166
1975-01-01,0.275756,0.6772073,0.3780897,0.5955455,2.4739691,0.778664,0.8042021,1.8880346,0.8325712,0.5705731,0.0917757,0.2591046,10.9667164,0.361085,0.2679425,0.382866
1976-01-01,0.288147,0.6976487,0.3872228,0.6175197,2.5412474,0.8094333,0.8281449,1.9426152,0.8561614,0.5886273,0.0963363,0.2702741,11.342726,0.3694621,0.2795325,0.3959984
1977-01-01,0.3015195,0.7202488,0.3967839,0.6419507,2.6128571,0.8415858,0.853995,2.0000677,0.8816023,0.6085948,0.1008814,0.2816585,11.7655966,0.3790546,0.2914946,0.4097344
1978-01-01,0.3144687,0.7419826,0.4060372,0.6655397,2.6822361,0.8735351,0.8794027,2.0553448,0.9057259,0.6282916,0.1054522,0.2927582,12.1659357,0.3883415,0.3032267,0.4234756
1979-01-01,0.3293852,0.7665875,0.4167703,0.692014,2.7613542,0.9078704,0.9069549,2.1193797,0.9348309,0.650743,0.1103897,0.3055988,12.6466242,0.3988268,0.3162195,0.4388249
1980-01-01,0.3448537,0.7923003,0.4277407,0.7187219,2.8432153,0.9430002,0.9356876,2.1866822,0.9647774,0.6742129,0.1159072,0.3190426,13.1490122,0.4099582,0.3295728,0.4539874
1981-01-01,0.358565,0.8147047,0.4376148,0.7424184,2.9154601,0.975199,0.9611134,2.2456068,0.9901057,0.6945661,0.1208085,0.3306331,13.5641455,0.41958,0.3417434,0.4678518
1982-01-01,0.3606612,0.8192834,0.4402565,0.7501292,2.9315578,0.9914133,0.9719897,2.2533869,0.991153,0.6933864,0.1204536,0.3330077,13.5337892,0.4205119,0.3464286,0.4736649
1983-01-01,0.3710038,0.8322532,0.4504511,0.7599738,2.9658182,1.0089002,0.9928293,2.2850964,1.0094942,0.7070099,0.1212662,0.335127,13.7790801,0.4231787,0.350889,0.4784293
1984-01-01,0.3820998,0.8464819,0.461085,0.7705816,3.0024662,1.027192,1.0125172,2.3208292,1.0289451,0.7210464,0.1230048,0.3380048,14.0462314,0.4268219,0.3561147,0.4826399
1985-01-01,0.3923575,0.8601483,0.4712079,0.7807193,3.0377538,1.0453811,1.0332773,2.3525285,1.0483746,0.7350779,0.1238596,0.3398416,14.3006806,0.4298224,0.3607105,0.4874247
1986-01-01,0.403923,0.8757713,0.4821515,0.7929096,3.0789332,1.0646557,1.0553763,2.3896838,1.0689749,0.7508523,0.1249718,0.3425129,14.6040412,0.4337458,0.3661774,0.4930814
1987-01-01,0.4183211,0.8953721,0.4946291,0.8086754,3.1327104,1.0881843,1.080667,2.438323,1.0952204,0.7714266,0.1272756,0.3475733,15.0092154,0.4396152,0.3732817,0.5001431
1988-01-01,0.4304962,0.9110643,0.5057348,0.8201302,3.1747444,1.1078187,1.1026458,2.4794953,1.1175388,0.7886707,0.1293547,0.3514987,15.3177541,0.4438533,0.3792212,0.5052441
1989-01-01,0.4449562,0.9310463,0.5185826,0.8359907,3.2299324,1.1322539,1.1282021,2.5297219,1.144925,0.8099319,0.1321255,0.3569196,15.7329351,0.4500065,0.3864053,0.5125484
1990-01-01,0.4578478,0.9484828,0.530312,0.8499447,3.276672,1.1528848,1.1511869,2.5744046,1.168425,0.8278764,0.1348298,0.3613503,16.0813029,0.4548734,0.3930072,0.5183953
1991-01-01,0.4728911,0.9688806,0.5432052,0.8661047,3.3339045,1.1772112,1.1777317,2.6274979,1.1967791,0.8499428,0.1376641,0.3673839,16.5105558,0.4612325,0.4005533,0.5258585
1992-01-01,0.489714,0.9925423,0.5576654,0.8850699,3.3998515,1.2033518,1.2058739,2.6881359,1.2282214,0.8753177,0.1414888,0.3747093,17.0115019,0.468849,0.409439,0.5342983
1993-01-01,0.511533,1.016396,0.5645616,0.9150513,3.4578728,1.2329397,1.2318059,2.72915,1.2598776,0.9041483,0.1463362,0.3789488,17.3372099,0.4794514,0.4143278,0.5456923
1994-01-01,0.5343651,1.0414681,0.5723549,0.9455354,3.5195083,1.2633875,1.2593478,2.7736958,1.2936232,0.9344824,0.1512817,0.3842102,17.6953876,0.4903938,0.4198479,0.5567752
1995-01-01,0.5637741,1.0777603,0.5845237,0.9862631,3.6158696,1.3036314,1.2956074,2.8489268,1.3412454,0.9774015,0.1595546,0.3952694,18.3281199,0.5071203,0.429721,0.5736124
