Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.1618967,0.3802937,0.168729,0.4572609,1.5778286,0.811,1.0328977,1.2671617,1.0500133,0.6841,0.0507298,0.1359806,4.723467,0.4389455,0.0712462,0.4930759
1951-01-01,0.1597644,0.3918262,0.1685252,0.4611982,1.5988893,0.8171,1.0390989,1.2902636,1.0512605,0.6908,0.0527514,0.1374072,4.8458937,0.4455772,0.0735741,0.4953771
1952-01-01,0.1580315,0.4035586,0.1687214,0.4647352,1.6201503,0.8229,1.0473001,1.3132653,1.0517067,0.6976,0.0540733,0.1386338,4.9695392,0.4525088,0.0761019,0.4972783
1953-01-01,0.1620034,0.413396,0.1811857,0.4794757,1.667941,0.8425,1.0702053,1.3628808,1.0659536,0.71,0.0569977,0.1443953,5.2302778,0.4596799,0.0827177,0.5059838
1954-01-01,0.1660756,0.4243408,0.1937504,0.494715,1.7168317,0.8613,1.0931105,1.4128964,1.0798034,0.7225,0.0598219,0.1504567,5.489606,0.4674511,0.0894336,0.5150893
1955-01-01,0.1705473,0.4347781,0.2061148,0.5097552,1.7651219,0.8793,1.1163156,1.4621119,1.0934526,0.7356,0.0632459,0.1560181,5.7497411,0.4748224,0.0958494,0.5242949
1956-01-01,0.1743195,0.4452153,0.2187793,0.5246954,1.8135126,0.8988,1.1388209,1.5122274,1.1073993,0.7488,0.0660702,0.1620795,6.0087828,0.4823935,0.1024653,0.5339005
1957-01-01,0.1785915,0.4558527,0.2308435,0.5396353,1.8629031,0.9163,1.1623262,1.5626429,1.1214473,0.761,0.0693946,0.1680408,6.2692063,0.4899647,0.1087811,0.542306
1958-01-01,0.1827634,0.4666901,0.2436082,0.5543754,1.9109933,0.9354,1.1846314,1.6117584,1.1357963,0.7736,0.0724188,0.1736022,6.5289413,0.4976359,0.115597,0.5517115
1959-01-01,0.1867356,0.4771348,0.2562728,0.568915,1.9595845,0.9539,1.2080366,1.6625739,1.1497463,0.7863,0.0754432,0.1796637,6.7881702,0.504807,0.1222127,0.5611171
1960-01-01,0.1944697,0.4933737,0.2705827,0.5896911,2.0261504,0.9782737,1.2360724,1.7280085,1.1706606,0.8056184,0.0799979,0.1882516,7.1928358,0.5154826,0.1311186,0.5728429
1961-01-01,0.1984636,0.504318,0.2809493,0.5991895,2.0708243,0.9968452,1.2487905,1.7640211,1.1824631,0.8188872,0.0824142,0.1933023,7.4603446,0.5193016,0.1406882,0.5790736
1962-01-01,0.2026245,0.5153864,0.2914284,0.6086445,2.1152465,1.0155911,1.2625515,1.8001041,1.1935069,0.8330673,0.0855573,0.1982356,7.7353884,0.5234331,0.1505764,0.5862816
1963-01-01,0.2063023,0.5256824,0.3015636,0.6175313,2.1586652,1.0335574,1.2757924,1.8356674,1.2051512,0.8467346,0.0885802,0.20291,7.9947278,0.5280905,0.1602061,0.5931637
1964-01-01,0.2099195,0.5358955,0.3116129,0.6261925,2.2021211,1.0512285,1.2894476,1.870568,1.2153433,0.8593047,0.0915931,0.2071018,8.2462387,0.5324125,0.1698426,0.599296
1965-01-01,0.213489,0.5455658,0.3215481,0.6345669,2.2421898,1.0688205,1.301572,1.9035062,1.225202,0.8729269,0.0940429,0.2112983,8.4856604,0.5362759,0.1790511,0.6055975
1966-01-01,0.2179192,0.5567499,0.3323147,0.6441923,2.2880441,1.0873989,1.3164555,1.9409403,1.237023,0.8868215,0.0969805,0.2162044,8.7678808,0.5410541,0.1890345,0.6126756
1967-01-01,0.2210941,0.5661658,0.3423188,0.6529843,2.3295983,1.104713,1.3288849,1.9750979,1.2468984,0.9000406,0.0998983,0.2207063,9.0094182,0.5450917,0.1983153,0.6191339
1968-01-01,0.2248667,0.5764224,0.3521641,0.6614603,2.3729104,1.1229968,1.342133,2.0101044,1.2578182,0.9129008,0.1025854,0.2250324,9.2673902,0.5487296,0.2079546,0.6254685
1969-01-01,0.2293871,0.5879358,0.3623915,0.6713642,2.4196591,1.1417628,1.3561886,2.0481143,1.2701209,0.9283612,0.1052944,0.2301394,9.5523984,0.5534674,0.2180022,0.6323859
1970-01-01,0.2336299,0.5992838,0.372957,0.6808126,2.4641104,1.1599978,1.3702433,2.0845876,1.2814306,0.9421083,0.1083167,0.2352478,9.8266828,0.5580892,0.2276763,0.6394907
1971-01-01,0.245075,0.6185783,0.380564,0.7003668,2.5260464,1.1837496,1.3943672,2.1315231,1.3040363,0.9570254,0.1116131,0.2456202,10.185844,0.5654926,0.2393254,0.6509001
1972-01-01,0.2571467,0.6386078,0.3883562,0.7199907,2.5873962,1.2072076,1.4165162,2.1771069,1.3266261,0.9728864,0.115574,0.2561889,10.5492764,0.572249,0.2508634,0.6632279
1973-01-01,0.2732187,0.6648169,0.3991607,0.7450723,2.6701638,1.2369004,1.4455169,2.2422819,1.3577558,0.9960645,0.1208242,0.2701344,11.0740457,0.5826024,0.2649786,0.6779536
1974-01-01,0.2803554,0.6768224,0.4042377,0.756397,2.7084604,1.2520301,1.4617828,2.2702669,1.370017,1.0025402,0.1231878,0.2776612,11.2315789,0.5863452,0.2738015,0.6856166
1975-01-01,0.285856,0.6869073,0.4076897,0.7679455,2.7389691,1.267464,1.4779021,2.2850346,1.3782712,1.0060731,0.1223757,0.2819046,11.3476164,0.588885,0.2807425,0.693366
1976-01-01,0.298047,0.7069487,0.4158228,0.7873197,2.8035474,1.2908333,1.5015449,2.3346152,1.4018614,1.0220273,0.1267363,0.2925741,11.718726,0.5957621,0.2927325,0.7048984
1977-01-01,0.3109195,0.7290488,0.4242839,0.8089507,2.8724571,1.3159858,1.526795,2.3868677,1.4268023,1.0393948,0.1305814,0.3044585,12.1360966,0.6038546,0.3049946,0.7173344
1978-01-01,0.3237687,0.7501826,0.4325372,0.8300397,2.9384361,1.3412351,1.5513027,2.4368448,1.4507259,1.0570916,0.1347522,0.3154582,12.5316357,0.6118415,0.3173267,0.7296756
1979-01-01,0.3384852,0.7744875,0.4420703,0.854014,3.0146542,1.3682704,1.5781549,2.4957797,1.4800309,1.078043,0.1392897,0.3284988,13.0075242,0.6212268,0.3307195,0.7436249
1980-01-01,0.3538537,0.7996003,0.4525407,0.8780219,3.0925153,1.3966002,1.6060876,2.5575822,1.5090774,1.0994129,0.1444072,0.3419426,13.5043122,0.6307582,0.3443728,0.7571874
1981-01-01,0.367165,0.8217047,0.4612148,0.8990184,3.1617601,1.421599,1.6313134,2.6117068,1.5346057,1.1175661,0.1487085,0.3536331,13.9149455,0.63908,0.3570434,0.7699518
1982-01-01,0.3689612,0.8257834,0.4626565,0.9037292,3.1749578,1.4313133,1.6417897,2.6146869,1.535153,1.1141864,0.1480536,0.3563077,13.8790892,0.6385119,0.3622286,0.7739649
1983-01-01,0.3797038,0.8397532,0.4734511,0.9194738,3.2130182,1.4567002,1.6650293,2.6482964,1.5536942,1.1299099,0.1500662,0.358327,14.1279801,0.6425787,0.366789,0.7809293
1984-01-01,0.3912998,0.8549819,0.484885,0.9350816,3.2537662,1.483192,1.6878172,2.6860292,1.5732451,1.1452464,0.1530048,0.3614048,14.3990314,0.6473219,0.3718147,0.7882399
1985-01-01,0.4021575,0.8691483,0.4961079,0.9504193,3.2926538,1.5095811,1.7117773,2.7196285,1.5923746,1.1608779,0.1556596,0.3631416,14.6565806,0.6517224,0.3764105,0.7953247
1986-01-01,0.413823,0.8859713,0.5078515,0.9683096,3.3379332,1.5372557,1.7370763,2.7588838,1.6135749,1.1782523,0.1579718,0.3658129,14.9642412,0.6565458,0.3819774,0.8032814
1987-01-01,0.4287211,0.9061721,0.5209291,0.9890754,3.3957104,1.5696843,1.765367,2.809123,1.6400204,1.2001266,0.1614756,0.3709733,15.3730154,0.6636152,0.3891817,0.8124431
1988-01-01,0.4412962,0.9232643,0.5330348,1.0059302,3.4412444,1.5980187,1.7905458,2.8524953,1.6630388,1.2193707,0.1649547,0.3750987,15.6853541,0.6689533,0.3950212,0.8199441
1989-01-01,0.4560562,0.9438463,0.5468826,1.0271907,3.5003324,1.6303539,1.8189021,2.9048219,1.689925,1.2416319,0.1692255,0.3803196,16.1040351,0.6764065,0.4022053,0.8304484
1990-01-01,0.4695478,0.9622828,0.559212,1.0462447,3.551272,1.6596848,1.8452869,2.9521046,1.714125,1.2609764,0.1729298,0.3848503,16.4556029,0.6822734,0.4090072,0.8386953
1991-01-01,0.4849911,0.9835806,0.5729052,1.0678047,3.6123045,1.6925112,1.8744317,3.0065979,1.7425791,1.2848428,0.1771641,0.3909839,16.8891558,0.6899325,0.4166533,0.8482585
1992-01-01,0.502314,1.0082423,0.5880654,1.0921699,3.6826515,1.7267518,1.9060739,3.0693359,1.7738214,1.3123177,0.1824888,0.3987093,17.3931019,0.698449,0.425639,0.8595983
1993-01-01,0.524633,1.032296,0.5949616,1.1196513,3.7391728,1.7531397,1.9253059,3.10475,1.8020776,1.3379483,0.1863362,0.4025488,17.7196099,0.7062514,0.4306278,0.8655923
1994-01-01,0.5477651,1.0572681,0.6026549,1.1482354,3.7992083,1.7788875,1.9462478,3.1434958,1.8322232,1.3653824,0.1904817,0.4072102,18.0784876,0.7148938,0.4363479,0.8720752
1995-01-01,0.5776741,1.0933603,0.6148237,1.1864631,3.8943696,1.8153314,1.9764074,3.2130268,1.8759454,1.4055015,0.1976546,0.4180694,18.7117199,0.7290203,0.446321,0.8840124
1996-01-01,0.5954407,1.1102231,0.6187639,1.2071923,3.9278722,1.8348722,1.9906091,3.2279354,1.8934755,1.4215797,0.199168,0.4176908,18.8560162,0.7336515,0.4484684,0.887095
1997-01-01,0.618096,1.133501,0.6261913,1.2345555,3.984716,1.8601606,2.0107292,3.2634227,1.9208998,1.4476799,0.2030758,0.4216983,19.1822695,0.7417704,0.4537896,0.8932841
1998-01-01,0.6379924,1.1544413,0.632295,1.2595965,4.0314257,1.8827967,2.0287988,3.2866216,1.9445972,1.4687587,0.2050739,0.4229299,19.4349342,0.7482573,0.4571058,0.898619
1999-01-01,0.6538966,1.1678055,0.6350725,1.2772334,4.0559199,1.8992747,2.0401676,3.2928762,1.9582369,1.4832924,0.2057953,0.4217757,19.497781,0.7513763,0.4580096,0.900348
2000-01-01,0.6746999,1.1894487,0.6412207,1.3019453,4.1049671,1.9223961,2.057372,3.3218302,1.9827083,1.5049182,0.2091528,0.4247843,19.7570765,0.7576563,0.4620852,0.9056549
2001-01-01,0.6920119,1.2053983,0.6454073,1.3229972,4.1381172,1.9404685,2.0712381,3.335633,1.9998973,1.5218234,0.2109618,0.424502,19.8900481,0.7619944,0.4638685,0.9078594
2002-01-01,0.7102476,1.2230862,0.6500005,1.3442371,4.175406,1.9609922,2.0864019,3.3525612,2.0196963,1.5400522,0.2128923,0.4253661,20.0561485,0.7668767,0.4664934,0.911647
2003-01-01,0.7265555,1.2413468,0.6565532,1.3706228,4.2325806,1.9878338,2.1086367,3.3814768,2.0383962,1.5592061,0.2154671,0.4296448,20.3531565,0.772656,0.472954,0.9189314
2004-01-01,0.7507649,1.272095,0.6674262,1.4085056,4.3270396,2.0255888,2.1414673,3.4442421,2.07347,1.5943812,0.2215407,0.4400797,20.9518522,0.7838897,0.4847427,0.9318881
2005-01-01,0.7750089,1.3038205,0.6786435,1.4472666,4.4257426,2.0661331,2.1751529,3.5068332,2.1108673,1.6294252,0.2264535,0.4507931,21.5921399,0.7959281,0.4966091,0.9457172
2006-01-01,0.7993028,1.3345846,0.6894961,1.485625,4.5189966,2.1033892,2.2077784,3.567953,2.146378,1.6641866,0.2323958,0.4607789,22.1913099,0.8074987,0.5078747,0.9576232
2007-01-01,0.8211981,1.3623824,0.6992231,1.5219958,4.6054655,2.1394463,2.2392346,3.6189269,2.1772183,1.6940858,0.2364127,0.4690378,22.7337602,0.8174639,0.5181505,0.9701339
2008-01-01,0.8455241,1.3951189,0.7097728,1.5642266,4.7039662,2.1812825,2.2748907,3.6778299,2.2142052,1.728973,0.2401843,0.4778694,23.3980955,0.8294107,0.5293619,0.9846287
2009-01-01,0.8501388,1.3940342,0.7090733,1.5709647,4.7021544,2.1900523,2.2804731,3.6563654,2.2073193,1.7263601,0.2390216,0.4734956,23.1927175,0.8258266,0.5286739,0.9831952
2010-01-01,0.8863412,1.4450096,0.7277733,1.6286442,4.858627,2.2468519,2.3312856,3.7708551,2.2700659,1.7837271,0.248706,0.4930709,24.3176281,0.8468318,0.5482082,1.0052102
