Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1951-01-01,0,0,0,0,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1952-01-01,0,0,0,0,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1953-01-01,0,0,0,0.61,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1954-01-01,0,0,0,0.61,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1955-01-01,0,0,0,0.61,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1956-01-01,0,0,0,0.61,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1957-01-01,0,0,0,0.61,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1958-01-01,0,0,0,0.61,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1959-01-01,0,0,0,0.61,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1960-01-01,0,0,0,0.61,28.8,102.66,0,36.42,0,0,0,0,90.94,131.13,0,0
1961-01-01,0,0,0,0.61,28.8,102.66,0,36.42,0,0,0,0,90.94,131.13,0,0
1962-01-01,0,0,0,0.61,28.8,102.66,0,36.42,0,0,0,0,90.94,131.13,0,0
1963-01-01,0,0,0,0.61,28.8,102.66,0,36.42,0,0,0,0,94.28,206.62,0,0
1964-01-01,0,0,0,0.61,28.8,102.66,81.79,36.42,0,0,0,0,94.28,206.62,0,0
1965-01-01,0,0,0,0.61,28.5,101.56,80.44,35.82,0,0,0,0,93,203.2,0,0
1966-01-01,0,0,0,0.61,29.45,105.08,84.8,37.76,0,0,0,0,97.11,214.2,0,0
1967-01-01,0,0,0,0.61,29.84,106.52,86.57,38.55,0,0,0,0,98.8,218.67,0,0
1968-01-01,0,0,0,0.61,26.78,95.16,72.53,32.29,0,0,0,0,85.51,183.22,0.44,0
1969-01-01,0,0,0,0.61,25.23,89.4,65.41,29.12,0,0,0,0,78.77,165.22,0.44,0
1970-01-01,0,0,0,0.61,26.23,93.12,70.01,31.17,0,0,0,0,83.12,176.84,0.44,0
1971-01-01,0,0,0,0.61,28.01,99.72,78.17,34.8,0,0,0,0,90.84,197.45,0.44,0
1972-01-01,0,0,0,0.61,31.27,111.83,93.14,41.47,0,0,0,0,105,235.26,0.44,0
1973-01-01,0,0,0,0.61,30.79,110.05,90.94,40.49,0,0,0,0,102.92,229.72,0.44,0
1974-01-01,0,0,0,0.61,27.5,97.83,75.83,73.5,0,0,0,0,88.64,191.54,0.44,0
1975-01-01,0,0,0,0.61,27.56,98.06,76.11,73.78,0,0,0,0,88.9,192.27,0.44,0
1976-01-01,0,0,0,0.61,28.11,100.09,78.63,76.22,0,0,0,0,91.29,198.62,0.44,0
1977-01-01,0,0,0,0.61,29.07,103.66,83.04,80.49,0,0,0,0,95.45,209.76,0.44,0
1978-01-01,0,0,0,0.61,29.8,106.38,86.4,83.75,0,0,0,0,98.63,218.25,0.44,0
1979-01-01,0,0,0,0.61,30.31,108.27,88.75,86.02,0,0,0,0,100.85,224.17,0.44,0
1980-01-01,0,0,0,0.61,31.41,112.35,93.79,90.91,0,0,0,0,105.62,236.9,0.44,0
1981-01-01,0,0,0,0.61,32.13,115.04,97.11,94.14,0,0,0,0,108.77,245.3,0.44,0
1982-01-01,0,0,0,0.61,28.96,103.25,82.54,212.9,0,0,0,0,94.98,208.49,0.44,0
1983-01-01,0,0,0,0.61,30.37,108.49,89.01,229.59,0,0,0,0,101.1,224.84,0.44,0
1984-01-01,0,0,0,0.61,31.1,111.2,92.36,238.24,0,0,0,0,104.27,233.31,0.44,0
1985-01-01,0,0,0,0.61,33.31,119.4,102.5,264.39,0,0,0,0,113.86,258.92,0.44,0
1986-01-01,0,0,0,0.61,28.2,100.44,271.55,203.94,0,0,0,0,91.69,199.72,0.44,0
1987-01-01,0,0,0,0.61,29.65,105.81,294.35,221.05,0,0,0,0,97.97,216.48,0.44,0
1988-01-01,0,0,0,0.61,29.26,104.38,288.27,216.49,0,0,0,0,96.28,212.01,0.44,0
1989-01-01,0,0,0,0.61,26.33,93.48,242.01,181.75,0,0,0,0,83.56,177.99,0.44,0
1990-01-01,0,0,0,0.61,24,84.83,205.25,154.15,0,0,0,0,73.43,150.95,0.44,0
1991-01-01,0,0,0,0.61,28.28,100.75,272.86,204.92,0,0,0,0,92.05,200.68,0.44,0
1992-01-01,0,0,0,0.61,27.69,98.56,263.54,197.91,0,0,0,0,107.49,193.82,0.44,0
1993-01-01,0,0,0,0.61,28.17,100.33,271.05,203.56,0,0,0,0,110.08,199.34,0.44,0
1994-01-01,0,0,0,0.61,27.24,96.88,331.6,192.55,0,0,0,0,107.04,188.56,0.44,0
1995-01-01,0,0,0,0.61,37.16,100.31,350.47,203.51,0,0,0,0,112.17,199.29,0.44,0
1996-01-01,0,0,0,0.23,26.01,76.31,295.34,243.89,0,6.11,0,0,57.07,128.77,0,0
1997-01-01,0,0,0,0.68,34.26,93.26,429.88,163.02,0,6.82,0,0,57.41,179.04,0,0
1998-01-01,0,0,0,1.07,34.31,73.44,396.73,171.03,0,4.19,0,0,77.44,101.25,0,0
1999-01-01,0,0,0,0.47,31.42,82.61,305.14,142.98,0,4.63,0,0,76.17,121.16,0.64,0
2000-01-01,0,0,0,0.69,36.58,96.45,430.42,228.98,0,6.26,0,0,86.67,159.84,0.61,0
2001-01-01,0,0,0,0.79,36.01,100.43,565.23,243.26,0,4.66,0,0,93.86,159.26,0.74,0
2002-01-01,0,0,0,1.12,47.64,103.07,549.12,328.39,0,6.83,0,0,95.07,168.52,0.77,0
2003-01-01,0,0,0,1.13,57.1,94.42,523.65,349.72,0,6.54,0,0,88.91,168.12,0.73,0
2004-01-01,0,0,0,0.55,50.81,92.35,461.03,311.54,0,6.31,0,0,86.82,166.08,0.72,0
2005-01-01,0,0,0,0.75,54.9,101.24,576.97,284.14,0,6.34,0,0,92.09,165.74,0.64,0
2006-01-01,0,0,0,0.8,58.37,103.3,612.55,308.81,0,6.87,0,0,100.67,180.58,0.77,0
2007-01-01,0,0,0,0.72,54.18,79.17,510.54,380.51,0,5.71,0,0,94.86,138.8,0.74,0
2008-01-01,0,0,0,7.36,61.19,98.17,528.13,363.69,0,5.81,13.94,0,95.19,154.4,0.74,0
2009-01-01,0,0,0,9.09,57.36,99.31,513.51,410.19,1.29,5.49,14.99,0,92.27,158.89,0.67,0
2010-01-01,0,0,0,5.4,49.03,94.43,421.33,376.61,3.65,6.16,14.94,0,96.45,159.45,0.6,0
2011-01-01,0,0,0,3.35,42.38,99.19,445.36,369.07,4.26,6.52,14.84,0,104.4,149.25,0.57,0
2012-01-01,0,0,0,0.62,46.94,128.66,407.5,339.38,3.99,30.02,14.17,0,104,147.66,0.68,0
2013-01-01,0,0,0.26,0.28,42.04,141.96,383.12,308.39,3.95,121.57,13.06,0,114.72,163.94,0.62,0
2014-01-01,0,0,0.57,0.61,35.91,146.53,474,696.31,4.22,114.5,14,0,133.34,161.73,0.67,0
2015-01-01,0,0,0.5,1.1,33.7,151.81,478.5,729.98,10.25,109.02,11.67,0,134.54,149.23,0.65,0
2016-01-01,0,0,2.83,4.96,44.28,169.89,377.2,466.27,11.79,75.29,8.31,0,166.74,104.41,0.52,6.27
2017-01-01,0,0,5.93,9.95,37.88,153.77,397.99,644.54,16.91,137,15.12,0,153.79,169.71,0.53,14.85
2018-01-01,0,0,4.81,5.7,30.85,136.12,484.89,682.99,16.78,140.48,14.86,0,125.42,176.53,0.65,16.83
2019-01-01,0,0,2.51,4.26,29,120.95,391.42,678.41,15.8,121.53,3.24,0,109.11,160.44,0.55,13.15
2020-01-01,0,0,2.01,2.85,32.11,151.92,421.3,568.72,12.06,136.08,0,0,102.97,171.78,0.6,10.86
