Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0,0
1960-01-01,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,0,0
1961-01-01,0,0,0,0,0,0,10.84,0,0,0,0,0,0,0,0,0
1962-01-01,0,0,0,0,0,0,10.94,0,0,0,0,0,0,0,0,0
1963-01-01,0,0,0,0,0,0,10.86,0,0,0,0,0,0,0,0,0
1964-01-01,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0
1965-01-01,0,0,0,0,0,0,10.63,0,0,0,0,0,0,0,0,0
1966-01-01,0,0,0,0,0,0,11.21,0,0,0,0,0,0,0,0,0
1967-01-01,0,0,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0
1968-01-01,0,0,0,0,0,0,9.77,0,0,0,0,0,0,0,0,0
1969-01-01,0,0,0,0,0,351.84,8.74,0,0,0,0,0,0,0,0,0
1970-01-01,0,0,0,0,0,377.88,9.37,0,0,0,0,0,0,0,0,0
1971-01-01,0,0,0,0,0,419.04,10.43,0,0,0,0,0,0,0,0,0
1972-01-01,0,0,0,0,0,479.65,12.2,0,0,0,0,0,0,0,0,0
1973-01-01,0,0,0,0,0,484.22,12.08,0,0,0,0,0,0,0,0,0
1974-01-01,0,0,0,0,0,399.69,10.06,0,0,0,0,0,0,0,0,0
1975-01-01,0,0,0,0,0,405.28,10.08,0,0,0,0,0,0,0,0,0
1976-01-01,0,0,0,0,0,422.97,10.5,0,0,0,0,0,0,0,0,0
1977-01-01,0,0,0,0,0,434.77,10.98,0,0,0,0,0,0,0,0,0
1978-01-01,0,0,0,0,0,450.86,11.37,0,0,0,0,0,0,0,0,0
1979-01-01,0,0,0,0,0,472.53,11.71,0,0,0,0,0,0,0,0,0
1980-01-01,0,0,0,0,0,486.18,12.36,0,0,0,0,0,0,0,0,0
1981-01-01,0,0,0,0,0,518.83,12.88,0,0,0,0,0,0,0,0,0
1982-01-01,0,0,0,0,0,420.92,10.81,0,0,0,0,0,0,0,0,0
