Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1951-01-01,0,0,0,0,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1952-01-01,0,0,0,0,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1953-01-01,0,0,0,0.61,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1954-01-01,0,0,0,0.61,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1955-01-01,0,0,0,0.61,28.8,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1956-01-01,0,0,0,0.61,28.8,66.16,10.87,36.42,0,0,0,0,90.94,131.13,0,0
1957-01-01,0,0,0,0.61,28.8,66.16,10.87,36.42,0,0,0,0,90.94,131.13,0,0
1958-01-01,0,0,0,0.61,28.8,66.16,10.87,36.42,0,0,0,0,90.94,131.13,0,0
1959-01-01,0,0,0,0.61,28.8,66.16,10.87,36.42,0,0,0,0,90.94,131.13,0,0
1960-01-01,0,0,0,0.61,28.8,102.66,10.87,36.42,0,0,0,0,90.94,131.13,0,0
1961-01-01,0,0,0,0.61,28.8,102.66,10.84,36.42,0,0,0,0,90.94,131.13,0,0
1962-01-01,0,0,0,0.61,28.8,102.66,10.94,36.42,0,0,0,0,90.94,131.13,0,0
1963-01-01,0,0,0,0.61,28.8,102.66,10.86,36.42,0,0,0,0,94.28,206.62,0,0
1964-01-01,0,0,0,0.61,28.8,102.66,92.72,36.42,0,0,0,0,94.28,206.62,0,0
1965-01-01,0,0,0,0.61,28.5,101.56,91.07,35.82,0,0,0,0,93,203.2,0,0
1966-01-01,0,0,0,0.61,29.45,105.08,96.01,37.76,0,0,0,0,97.11,214.2,0,0
1967-01-01,0,0,0,0.61,29.84,106.52,98.12,38.55,0,0,0,0,98.8,218.67,0,0
1968-01-01,0,0,0,0.61,26.78,95.16,82.3,32.29,0,0,0,0,85.51,183.22,0.44,0
1969-01-01,0,0,0,0.61,25.23,441.24,74.15,29.12,0,0,0,0,78.77,165.22,0.44,0
1970-01-01,0,0,0,0.61,26.23,471,79.38,31.17,0,0,0,0,83.12,176.84,0.44,0
1971-01-01,0,0,0,0.61,28.01,518.76,88.6,34.8,0,0,0,0,90.84,197.45,0.44,0
1972-01-01,0,0,0,0.61,31.27,591.48,105.34,41.47,0,0,0,0,105,235.26,0.44,0
1973-01-01,0,0,0,0.61,30.79,594.27,103.02,40.49,0,0,0,0,102.92,229.72,0.44,0
1974-01-01,0,0,0,0.61,27.5,497.52,85.89,73.5,0,0,0,0,88.64,191.54,0.44,0
1975-01-01,0,0,0,0.61,27.56,503.34,86.19,73.78,0,0,0,0,88.9,192.27,0.44,0
1976-01-01,0,0,0,0.61,28.11,523.06,89.13,76.22,0,0,0,0,91.29,198.62,0.44,0
1977-01-01,0,0,0,0.61,29.07,538.43,94.02,80.49,0,0,0,0,95.45,209.76,0.44,0
1978-01-01,0,0,0,0.61,29.8,557.24,97.77,83.75,0,0,0,0,98.63,218.25,0.44,0
1979-01-01,0,0,0,0.61,30.31,580.8,100.46,86.02,0,0,0,0,100.85,224.17,0.44,0
1980-01-01,0,0,0,0.61,31.41,598.53,106.15,90.91,0,0,0,0,105.62,236.9,0.44,0
1981-01-01,0,0,0,0.61,32.13,633.87,109.99,94.14,0,0,0,0,108.77,245.3,0.44,0
1982-01-01,0,0,0,0.61,28.96,524.17,93.35,212.9,0,0,0,0,94.98,208.49,0.44,0
1983-01-01,0,0,0,0.61,30.37,582.43,100.8,229.59,0,0,0,0,101.1,224.84,0.44,0
1984-01-01,0,0,0,0.61,31.1,593.18,104.55,238.24,0,0,0,0,104.27,233.31,0.44,0
1985-01-01,0,0,0,0.61,33.31,670.77,116.16,264.39,0,0,0,0,113.86,258.92,0.44,0
1986-01-01,0,0,0,0.61,28.2,515.78,485.02,203.94,0,0,0,0,91.69,199.72,0.44,0
1987-01-01,0,0,0,0.61,29.65,551.54,530.67,221.05,0,0,0,0,97.97,216.48,0.44,0
1988-01-01,0,0,0,0.61,29.26,555.85,527.25,216.49,0,0,0,0,96.28,212.01,0.44,0
1989-01-01,0,0,0,0.61,26.33,471.22,445.09,181.75,0,0,0,0,83.56,177.99,0.44,0
1990-01-01,0,0,0,0.61,24,407.39,377.59,154.15,0,0,0,0,73.43,150.95,0.44,0
1991-01-01,0,0,0,0.61,28.28,522.33,491.33,204.92,0,493.42,0,0,92.05,200.68,0.44,0
1992-01-01,0,0,0,0.61,27.69,500.3,679.17,197.91,0,515.36,0,0,107.49,193.82,0.44,0
1993-01-01,0,0,0,0.61,28.17,519.1,702.28,203.56,0,522.95,0,0,110.08,199.34,0.44,0
1994-01-01,0,0,0,0.61,27.24,485.14,736.24,192.55,0,384.1,0,0,107.04,188.56,0.44,0
1995-01-01,0,0,0,0.61,37.16,512.03,775.3,203.51,0,412.39,0,0,112.17,199.29,0.44,0
1996-01-01,0,0,0,0.23,26.01,253.03,580.37,260.83,0,403.08,0,0,57.07,128.77,0,0
1997-01-01,0,0,0,0.68,34.26,672.45,810.11,434.88,0,370.67,0,0,57.41,179.04,0,0
1998-01-01,0,0,0,1.07,34.31,307.08,661.72,267.92,0,518.97,0,0,77.44,101.25,0,0
1999-01-01,0,0,0,0.47,31.42,349.62,570.05,347.13,0,220.95,0,0,76.17,121.16,0.64,0
2000-01-01,0,0,0,0.69,36.58,575.79,820.63,492.32,0,333.53,0,0,86.67,159.84,0.61,0
2001-01-01,0,0,0,0.79,36.01,641.56,1032.4,502.29,0,340.88,0,0,93.86,159.26,0.74,0
2002-01-01,0,0,0,1.12,47.64,723.9,987.13,586.84,0,352.34,0,0,95.07,168.52,0.77,0
2003-01-01,0,0,0,1.13,57.1,497.37,907.77,569.19,0,391.24,0,0,88.91,168.12,0.73,0
2004-01-01,0,0,0,0.55,50.81,433.36,803.03,616.61,0,456.8,0,0,86.82,166.08,0.72,0
2005-01-01,0,0,0,0.75,54.9,663.41,1030.09,810.6,0,356.1,0,0,92.09,165.74,0.64,0
2006-01-01,0,0,0,0.8,58.37,676.65,1122.23,879.48,0,385.71,0,0,100.67,180.58,0.77,0
2007-01-01,0,0,0,0.72,54.18,319.83,863.92,697.07,0,544.52,0,0,94.86,138.8,0.74,0
2008-01-01,0,0,0,7.36,61.19,535.95,930.05,781.31,0,398.15,13.94,0,95.19,154.4,0.74,0
2009-01-01,0,0,0,9.09,57.36,416.02,889.47,901.95,1.29,478.66,14.99,0,92.27,158.89,0.67,0
2010-01-01,0,0,0,5.4,49.03,304.58,697.25,747.65,3.65,590.9,14.94,0,96.45,159.45,0.6,0
2011-01-01,0,0,0,3.35,42.38,243.59,753.38,764.58,4.26,383.1,14.84,0,104.4,149.25,0.57,0
2012-01-01,0,0,0,0.62,46.94,394.99,673.2,646.58,3.99,537.12,14.17,0,104,147.66,0.68,0
2013-01-01,0,0,0.26,0.28,42.04,311.58,634.75,621.14,3.95,593.6,13.06,0,114.72,163.94,0.62,0
2014-01-01,0,0,0.57,0.61,35.91,352.79,791.5,1116.22,4.22,584.47,14,0,133.34,161.73,0.67,0
2015-01-01,0,0,0.5,1.1,33.7,399.66,789.19,1127.13,10.25,513.81,11.67,0,134.54,149.23,0.65,0
2016-01-01,0,0,2.83,4.96,44.28,473,601.5,647.89,11.79,400.6,8.31,0,166.74,104.41,0.52,6.27
2017-01-01,0,0,5.93,9.95,37.88,422.38,642.78,970.48,16.91,566.11,15.12,0,153.79,169.71,0.53,14.85
2018-01-01,0,0,4.81,5.7,30.85,289.07,770.27,1089.9,16.78,629.45,14.86,0,125.42,176.53,0.65,16.83
2019-01-01,0,0,2.51,4.26,29,184.37,595.14,1056.04,15.8,395.81,3.24,0,109.11,160.44,0.55,13.15
2020-01-01,0,0,2.01,2.85,32.11,293.28,665.08,866.01,12.06,579.23,0,0,102.97,171.78,0.6,10.86
