Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1961-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1962-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1963-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1964-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1965-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0,0,0,0
1966-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0,0,0,0
1967-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0,0,0,0
1968-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0,0,0,0
1969-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0,0,0,0
1970-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0,0,0,0
1971-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0,0,0,0
1972-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0,0,0,0
1973-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0,0,0,0
1974-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0,0,0,0
1975-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0,0,0,0
1976-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0,0,0,0
1977-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0,0,0,0
1978-01-01,0,0,0.007,0,1.7404,0,0,0.5859,0,0,0,0,0,0,0,0
1979-01-01,0,0,0.007,0,1.7404,0,0,0.5859,0,0,0,0,0,0,0,0
1980-01-01,0,0,0.007,0,1.7404,0,0,0.5859,0,0,0,0,0,0,0,0
1981-01-01,0,0,0.007,0,1.7404,0,0,0.5859,0,0,0,0,0,0,0,0
1982-01-01,0,0,0.007,0,1.7404,0,0,0.5859,0,0,0,0,0,0,0,0
1983-01-01,0,0,0.007,0,1.7404,0,0,0.5859,0,0,0,0,0,0,0,0
1984-01-01,0,0,0.007,0,1.7404,0,0,0.5859,0,0,0,0,0,0,0,0
1985-01-01,0,0,0.0076,0,1.8813,0,0,0.6333,0,0,0,0,0,0,0,0
1986-01-01,0,0,0.0077,0,1.8954,0,0,0.6381,0,0,0,0,0,0,0,0
1987-01-01,0,0,0.0072,0,1.7714,0,0,0.5963,0,0,0,0,0,0,0,0
1988-01-01,0,0,0.0116,0,2.8586,0,0,0.9623,0,0,0,0,0,0,0,0
1989-01-01,0,0,0.0198,0,4.9098,0,0,1.6528,0,0,0,0,0,0,0,0
1990-01-01,0,0,0.0261,0,6.4518,0,0,2.1719,0,0,0,0,0,0,0,0
1991-01-01,0,0,0.0186,0,4.5993,0,0,1.5483,0,0,0,0,0,0,0,0
1992-01-01,0,0,0.0151,0,3.7414,0,0,1.2595,0,0,0,0,0,0,0,0
1993-01-01,0,0,0.0185,0,4.5769,0,0,1.5408,0,0,0,0,0,0,0,0
1994-01-01,0,0,0.0228,0,5.6302,0,0,1.8953,0,0,0,0,0,0,0,0
1995-01-01,0,0,0.0265,0,6.5622,0,0,2.2091,0,0,0,0,0,0,0,0
1996-01-01,0,0,1.5353,0,2.7251,0,0,0.9366,0,0,0,0,0,0,0,0
1997-01-01,0,0,1.8362,0,1.8492,0,0,0.4039,0,0,0,0,0,0,0,0
1998-01-01,0,0,2.3503,0,2.0183,0,0,0.8913,0,0,0,0,0,0,0,0
1999-01-01,1.0635,6.3147,2.2986,0,2.1069,0,0,1.048,0,0,0,0,0,0,0,0
2000-01-01,1.0455,4.0601,1.9278,0,1.3159,0,0,0.9328,0,0,0,0,0,0,0,0
2001-01-01,0.7417,2.0903,2.04,0,0.5498,0,0,0.7531,0,0,0,0,0,0,0,0
2002-01-01,0.6312,3.1319,2.1523,0,0.1738,0,0,0.705,0,0,0,0,0,0,0,0
2003-01-01,0.4842,2.6929,2.3999,0,0.4178,0,0,0.6828,0,0,0,0,0,0,0,0
2004-01-01,0.4282,4.1,2.4367,0,1.4795,0,0,0.8136,0,0,0,0,0,0,0,0
2005-01-01,0.4157,4.064,2.1967,0,1.2259,0,0,0.7774,0,0,0,0,0,0,0,0
2006-01-01,0.8172,5.6889,2.4342,0,1.8385,0,0,1.1292,0,0,0,0,0,0,0,0
2007-01-01,0.9961,6.9058,2.5113,0,2.6049,0,0,1.4699,0,0,0,0,0,0,0,0
2008-01-01,0.9604,7.389,2.491,0,2.7788,0,0,1.4296,0,0,0,0,0,0,0,0
2009-01-01,1.0487,7.2598,3.1571,0,2.6465,0,0,1.3796,0,0,0,0,0,0,0,0
2010-01-01,1.0596,7.5415,4.4135,0,4.0069,0,0,0.2769,0,0,0,0,0,0,0,0
2011-01-01,0.9576,9.9624,4.6209,0,4.293,0,0,1.3524,0,0,0,0,0,0,0,0
2012-01-01,0.8349,12.8496,4.3537,0,4.5251,0,0,3.8762,0,0,0,0,0,0,0,0
2013-01-01,0.8983,12.9839,5.0356,0,6.1102,0,0,6.0311,0,0,0,0,0,0,0,0
2014-01-01,0.8965,12.9608,4.8136,0,6.1698,0,0,3.604,0,0,0,0,0,0,0,0
2015-01-01,0.9462,13.0133,4.4771,0,5.9326,0,0,3.8096,0,0,0,0,0,0,0,0
2016-01-01,0.3773,14.6635,4.7009,0,6.3589,0,0,5.8525,0,0,0,0,0,0,0,0
2017-01-01,0.5049,14.0202,3.5224,0,5.3408,0,0,5.5628,0,0,0,0,0,0,0,0
2018-01-01,0.0119,12.6562,4.4841,0,5.8734,0,0,5.8246,0,0,0,0,0,0,0,0
2019-01-01,0.6046,12.6922,5.0305,0,4.4261,0,0,5.1785,0,0,0,0,0,0,0,0
2020-01-01,0,13.428,4.6262,0,4.0361,0,0,4.7234,0,0,0,0,0,0,0,0
