Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1961-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1962-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0,0,0,0
1963-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0.0426,0,0,0
1964-01-01,0,0,0,0,0.0487,0,0,0,0,0,0,0,0.0426,0,0,0
1965-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0.0426,0,0,0
1966-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0.0426,0,0,0
1967-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0.0426,0,0,0
1968-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0.0426,0,0,0
1969-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0.0426,0,0,0
1970-01-01,0,0,0,0,0.5976,0,0,0,0,0,0,0,0.0426,0,0,0
1971-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1972-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1973-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1974-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1975-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1976-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1977-01-01,0,0,0,0,0.5976,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1978-01-01,0,0,0.0284,0,1.7404,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1979-01-01,0,0,0.0284,0,1.7404,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1980-01-01,0,0,0.0284,0,1.7404,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1981-01-01,0,0,0.0284,0,1.7404,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1982-01-01,0,0,0.0445,0,1.7404,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1983-01-01,0,0,0.0445,0,1.7404,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1984-01-01,0,0,0.0445,0,1.7404,0,0,0.5859,0,0,0,0,0.0426,0,0,0
1985-01-01,0,0,0.0481,0,1.8813,0,0,0.6333,0,0,0,0,0.046,0,0,0
1986-01-01,0,0,0.0485,0,1.8954,0,0,0.6381,0,0,0,0,0.0463,0,0,0
1987-01-01,0,0,0.0452,0,1.7714,0,0,0.5963,0,0,0,0,0.0433,0,0,0
1988-01-01,0,0,0.0731,0,2.8586,0,0,0.9623,0,0,0,0,0.0699,0,0,0
1989-01-01,0,0,0.1254,0,4.9098,0,0,1.6528,0,0,0,0,0.12,0,0,0
1990-01-01,0,0,0.1648,0,6.4518,0,0,2.1719,0,0,0,0,0.1578,0,0,0
1991-01-01,0,0,0.1175,0,4.5993,0,0,1.5483,0,0,0,0,0.1125,0,0,0
1992-01-01,0,0,0.0955,0,3.7414,0,0,1.2595,0,0,0,0,0.0915,0,0,0
1993-01-01,0,0,0.1169,0,4.5769,0,0,1.5408,0,0,0,0,0.1119,0,0,0
1994-01-01,0,0,0.1438,0,5.6302,0,0,1.8953,0,0,0,0,0.1377,0,0,0
1995-01-01,0,0,0.1676,0,6.5622,0,0,2.2091,0,0,0,0,0.1605,0,0,0
1996-01-01,0,0,1.7202,0,2.7251,0,0.0726,1.098,0,0,0,0,0.4235,0,0,0
1997-01-01,0,0,2.0038,0,1.8492,0,0.0841,0.9625,0,0,0,0,0.2031,0,0,0
1998-01-01,0,0,2.5463,0,2.5312,0,0.1255,1.566,0,0,0,0.0563,1.3045,0,0,0
1999-01-01,1.1093,6.9481,2.4916,0,3.5418,0,0.1937,2.2545,0,0,0,0.0599,1.1156,0.1437,0.0093,0
2000-01-01,1.0823,5.4936,1.9395,0,2.9566,0,0.1803,1.4363,0,0,0,0.0588,0.8092,0.0023,0.0039,0
2001-01-01,0.7589,4.7163,2.0406,0,2.0289,0,0.1836,0.9505,0,0,0,0.0645,0.8799,3e-04,0.0032,0
2002-01-01,0.6383,5.3063,2.1528,0,1.7822,0,0.1754,0.8975,0,0,0,0.0657,0.858,0,0.0013,0
2003-01-01,0.4893,5.6007,2.4007,0,2.4959,3e-04,0.1773,0.8634,0,0,0,0.0635,1.0968,0,8e-04,0.0676
2004-01-01,0.4367,7.0398,2.4639,0,4.374,0.0073,0.2009,1.0112,0,0,0,0.0503,0.989,0.151,0.0026,0.0922
2005-01-01,0.4185,7.0449,2.2413,0,3.5254,0.0347,0.149,0.8658,0,0.0013,0,0.0522,0.8662,0.1931,0.0012,0.1198
2006-01-01,0.8266,7.8341,2.4936,0,3.5718,0.051,0.1252,1.2275,0,0.0026,0,0.0676,0.6566,0.2037,0.0037,0.1971
2007-01-01,1.0442,10.0722,2.6991,0.0113,7.9484,0.3947,0.1088,1.9673,0,0.0707,0,0.0647,1.4096,0.5135,0.0173,0.2807
2008-01-01,1.0248,11.5568,2.6602,0.047,7.3499,0.4677,0.1248,1.82,0,0.0637,0.0164,0.0736,1.1682,0.4015,0.0172,0.4009
2009-01-01,1.0825,10.8102,3.2534,0.0817,6.9602,0.0927,0.1266,1.7085,0,0.0845,0.0096,0.0786,0.9783,0.3416,0.0081,0.4394
2010-01-01,1.1084,10.6463,4.4537,0.0651,8.6896,0.1303,0.1526,0.6876,0,0.0805,0.0175,0.0799,1.2699,0.2769,0.0129,0.3626
2011-01-01,0.9954,11.9373,4.6953,0.2877,8.7739,0.3269,0.2579,2.1028,0.052,0.2308,0.0206,0.0747,1.0191,0.2728,0.008,0.2899
2012-01-01,0.855,14.4575,4.4047,0.1494,9.4265,0.2547,0.2892,4.7869,0.2066,0.1295,0.0265,0.0793,0.9958,0.3549,0.0063,0.2958
2013-01-01,0.9162,14.8487,5.0711,0.16,10.2478,0.3043,0.3531,7.0267,0.1893,0.0469,0.0307,0.0706,0.4694,0.3693,0.0075,0.3742
2014-01-01,0.9121,14.8476,4.8169,0.1071,9.686,0.1393,0.2806,4.5547,0.4099,0.0224,0.0254,0.0708,1.0234,0.369,0.0057,0.4471
2015-01-01,0.9641,15.2606,4.4834,0.1117,8.8863,0.1251,0.3263,4.5105,0.5044,0.092,0.0395,0.0706,1.0802,0.2869,0.0062,0.4033
2016-01-01,0.467,16.3227,4.7077,0.0159,9.905,0.2171,0.3356,6.7384,0.4768,0.1087,0.0532,0.1055,1.2534,0.2885,0.0056,0.4548
2017-01-01,0.5391,15.2549,3.5359,0.0089,8.8596,0.2358,0.2961,6.305,0.4758,0.0136,0.0181,0.107,1.1737,0.2513,6e-04,0.4117
2018-01-01,0.0163,14.2972,4.4892,0.0076,9.1543,0.1201,0.3251,6.525,0.4198,0.0041,0.0273,0.11,0.5709,0.2295,4e-04,0.3984
