Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,28.8487,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1951-01-01,0,0,0,0,28.8487,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1952-01-01,0,0,0,0,28.8487,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1953-01-01,0,0,0,0.61,28.8487,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1954-01-01,0,0,0,0.61,28.8487,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1955-01-01,0,0,0,0.61,28.8487,66.16,0,36.42,0,0,0,0,90.94,131.13,0,0
1956-01-01,0,0,0,0.61,28.8487,66.16,10.87,36.42,0,0,0,0,90.94,131.13,0,0
1957-01-01,0,0,0,0.61,28.8487,66.16,10.87,36.42,0,0,0,0,90.94,131.13,0,0
1958-01-01,0,0,0,0.61,28.8487,66.16,10.87,36.42,0,0,0,0,90.94,131.13,0,0
1959-01-01,0,0,0,0.61,28.8487,66.16,10.87,36.42,0,0,0,0,90.94,131.13,0,0
1960-01-01,0,0,0,0.61,28.8487,102.66,10.87,36.42,0,0,0,0,90.94,131.13,0,0
1961-01-01,0,0,0,0.61,28.8487,102.66,10.84,36.42,0,0,0,0,90.94,131.13,0,0
1962-01-01,0,0,0,0.61,28.8487,102.66,10.94,36.42,0,0,0,0,90.94,131.13,0,0
1963-01-01,0,0,0,0.61,28.8487,102.66,10.86,36.42,0,0,0,0,94.3226,206.62,0,0
1964-01-01,0,0,0,0.61,28.8487,102.66,92.72,36.42,0,0,0,0,94.3226,206.62,0,0
1965-01-01,0,0,0,0.61,29.0976,101.56,91.07,35.82,0,0,0,0,93.0426,203.2,0,0
1966-01-01,0,0,0,0.61,30.0476,105.08,96.01,37.76,0,0,0,0,97.1526,214.2,0,0
1967-01-01,0,0,0,0.61,30.4376,106.52,98.12,38.55,0,0,0,0,98.8426,218.67,0,0
1968-01-01,0,0,0,0.61,27.3776,95.16,82.3,32.29,0,0,0,0,85.5526,183.22,0.44,0
1969-01-01,0,0,0,0.61,25.8276,441.24,74.15,29.12,0,0,0,0,78.8126,165.22,0.44,0
1970-01-01,0,0,0,0.61,26.8276,471,79.38,31.17,0,0,0,0,83.1626,176.84,0.44,0
1971-01-01,0,0,0,0.61,28.6076,518.76,88.6,35.3859,0,0,0,0,90.8826,197.45,0.44,0
1972-01-01,0,0,0,0.61,31.8676,591.48,105.34,42.0559,0,0,0,0,105.0426,235.26,0.44,0
1973-01-01,0,0,0,0.61,31.3876,594.27,103.02,41.0759,0,0,0,0,102.9626,229.72,0.44,0
1974-01-01,0,0,0,0.61,28.0976,497.52,85.89,74.0859,0,0,0,0,88.6826,191.54,0.44,0
1975-01-01,0,0,0,0.61,28.1576,503.34,86.19,74.3659,0,0,0,0,88.9426,192.27,0.44,0
1976-01-01,0,0,0,0.61,28.7076,523.06,89.13,76.8059,0,0,0,0,91.3326,198.62,0.44,0
1977-01-01,0,0,0,0.61,29.6676,538.43,94.02,81.0759,0,0,0,0,95.4926,209.76,0.44,0
1978-01-01,0,0,0.0284,0.61,31.5404,557.24,97.77,84.3359,0,0,0,0,98.6726,218.25,0.44,0
1979-01-01,0,0,0.0284,0.61,32.0504,580.8,100.46,86.6059,0,0,0,0,100.8926,224.17,0.44,0
1980-01-01,0,0,0.0284,0.61,33.1504,598.53,106.15,91.4959,0,0,0,0,105.6626,236.9,0.44,0
1981-01-01,0,0,0.0284,0.61,33.8704,633.87,109.99,94.7259,0,0,0,0,108.8126,245.3,0.44,0
1982-01-01,0,0,0.0445,0.61,30.7004,524.17,93.35,213.4859,0,0,0,0,95.0226,208.49,0.44,0
1983-01-01,0,0,0.0445,0.61,32.1104,582.43,100.8,230.1759,0,0,0,0,101.1426,224.84,0.44,0
1984-01-01,0,0,0.0445,0.61,32.8404,593.18,104.55,238.8259,0,0,0,0,104.3126,233.31,0.44,0
1985-01-01,0,0,0.0481,0.61,35.1913,670.77,116.16,265.0233,0,0,0,0,113.906,258.92,0.44,0
1986-01-01,0,0,0.0485,0.61,30.0954,515.78,485.02,204.5781,0,0,0,0,91.7363,199.72,0.44,0
1987-01-01,0,0,0.0452,0.61,31.4214,551.54,530.67,221.6463,0,0,0,0,98.0133,216.48,0.44,0
1988-01-01,0,0,0.0731,0.61,32.1186,555.85,527.25,217.4523,0,0,0,0,96.3499,212.01,0.44,0
1989-01-01,0,0,0.1254,0.61,31.2398,471.22,445.09,183.4028,0,0,0,0,83.68,177.99,0.44,0
1990-01-01,0,0,0.1648,0.61,30.4518,407.39,377.59,156.3219,0,0,0,0,73.5878,150.95,0.44,0
1991-01-01,0,0,0.1175,0.61,32.8793,522.33,491.33,206.4683,0,493.42,0,0,92.1625,200.68,0.44,0
1992-01-01,0,0,0.0955,0.61,31.4314,500.3,679.17,199.1695,0,515.36,0,0,107.5815,193.82,0.44,0
1993-01-01,0,0,0.1169,0.61,32.7469,519.1,702.28,205.1008,0,522.95,0,0,110.1919,199.34,0.44,0
1994-01-01,0,0,0.1438,0.61,32.8702,485.14,736.24,194.4453,0,384.1,0,0,107.1777,188.56,0.44,0
1995-01-01,0,0,0.1676,0.61,43.7222,512.03,775.3,205.7191,0,412.39,0,0,112.3305,199.29,0.44,0
1996-01-01,0,0,1.7202,0.23,28.7351,253.03,580.4426,261.928,0,403.08,0,0,57.4935,128.77,0,0
1997-01-01,0,0,2.0038,0.68,36.1092,672.45,810.1941,435.8425,0,370.67,0,0,57.6131,179.04,0,0
1998-01-01,0,0,2.5463,1.07,36.8412,307.08,661.8455,269.486,0,518.97,0,0.0563,78.7445,101.25,0,0
1999-01-01,1.1093,6.9481,2.4916,0.47,34.9618,349.62,570.2437,349.3845,0,220.95,0,0.0599,77.2856,121.3037,0.6493,0
2000-01-01,1.0823,5.4936,1.9395,0.69,39.5366,575.79,820.8103,493.7563,0,333.53,0,0.0588,87.4792,159.8423,0.6139,0
