Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0,0,0,0,0,9e-04,0.0329,0.1475,0.0227,0,0,0,0.0132,0.0274,0,0
1961-01-01,0,0,0,0,0,0.0011,0.0374,0.1683,0.0258,0,0,0,0.0152,0.0313,0,0
1962-01-01,0,0,0,0,0,0.0013,0.047,0.2107,0.0324,0,0,0,0.019,0.0393,0,0
1963-01-01,0,0,0,0,0,0.0014,0.0492,0.2208,0.0339,0,0,0,0.02,0.0411,0,0
1964-01-01,0,0,0,0,0,0.0015,0.053,0.2378,0.0365,0,0,0,0.0215,0.0443,0,0
1965-01-01,0,0,0,0,0,0.0015,0.0522,0.2346,0.0361,0,0,0,0.0211,0.0437,0,0
1966-01-01,0,0,0,0,0,0.0017,0.0592,0.2656,0.0408,0,0,0,0.024,0.0494,0,0
1967-01-01,0,0,0,0,0,0.0017,0.0609,0.2735,0.042,0,0,0,0.0247,0.0509,0,0
1968-01-01,0,0,0,0,0,0.0019,0.0668,0.2998,0.0461,0,0,0,0.027,0.0559,0,0
1969-01-01,0,0,0,0,0,0.0022,0.0766,0.3435,0.0528,0,0,0,0.031,0.064,0,0
1970-01-01,0,0,0,0,0,0.0024,0.0851,0.382,0.0587,0,0,0,0.0346,0.0712,0,0
1971-01-01,0,0,0,0,0,0.0028,0.0969,0.4345,0.0668,0,0,0,0.0393,0.0809,0,0
1972-01-01,0,0,0,0,0,0.0029,0.1007,0.4518,0.0694,0,0,0,0.0408,0.0842,0,0
1973-01-01,0,0,0,0,0,0.0047,0.1658,0.7438,0.1143,0,0,0,0.0672,0.1384,0,0
1974-01-01,0,0,0,0,0,0.005,0.1751,0.7852,0.1207,0,0,0,0.0709,0.1463,0,0
1975-01-01,0,0,0,0,0,0.0016,0.0563,0.2523,0.0388,0,0,0,0.0229,0.047,0,0
1976-01-01,0,0,0,0,0,0.0025,0.088,0.3948,0.0607,0,0,0,0.0357,0.0735,0,0
