Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0,0.0988,0,0,0,0,0,0.0025,0,0,0,0,0.0085,0,0,0.0079
1961-01-01,0,0.1127,0,0,0,0,0,0.0028,0,0,0,0,0.0097,0,0,0.009
1962-01-01,0,0.1412,0,0,0,0,0,0.0035,0,0,0,0,0.0123,0,0,0.0113
1963-01-01,0,0.1479,0,0,0,0,0,0.0037,0,0,0,0,0.0129,0,0,0.0118
1964-01-01,0,0.1593,0,0,0,0,0,0.004,0,0,0,0,0.0139,0,0,0.0127
1965-01-01,0,0.1572,0,0,0,0,0,0.0039,0,0,0,0,0.0137,0,0,0.0126
1966-01-01,0,0.178,0,0,0,0,0,0.0045,0,0,0,0,0.0155,0,0,0.0142
1967-01-01,0,0.1831,0,0,0,0,0,0.0046,0,0,0,0,0.0159,0,0,0.0146
1968-01-01,0,0.2008,0,0,0,0,0,0.005,0,0,0,0,0.0174,0,0,0.016
1969-01-01,0,0.2301,0,0,0,0,0,0.0058,0,0,0,0,0.02,0,0,0.0184
1970-01-01,0,0.2559,0,0,0,0,0,0.0064,0,0,0,0,0.0223,0,0,0.0204
1971-01-01,0,0.2911,0,0,0,0,0,0.0073,0,0,0,0,0.0252,0,0,0.0233
1972-01-01,0,0.3026,0,0,0,0,0,0.0076,0,0,0,0,0.0262,0,0,0.0242
1973-01-01,0,0.4982,0,0,0,0,0,0.0125,0,0,0,0,0.0433,0,0,0.0398
1974-01-01,0,0.526,0,0,0,0,0,0.0132,0,0,0,0,0.0457,0,0,0.042
1975-01-01,0,0.169,0,0,0,0,0,0.0042,0,0,0,0,0.0147,0,0,0.0135
1976-01-01,0,0.2644,0,0,0,0,0,0.0066,0,0,0,0,0.0229,0,0,0.0211
1977-01-01,0,0.3352,0,0,0,0,0,0.0084,0,0,0,0,0.029,0,0,0.0268
1978-01-01,0,0.3976,0,0,0,0,0,0.01,0,0,0,0,0.0346,0,0,0.0318
1979-01-01,0,0.5105,0,0,0,0,0,0.0128,0,0,0,0,0.0443,0,0,0.0408
