Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0,0.0069,0.0037,0.0021,0.0024,0.0206,0.0088,0.0302,0.0053,0.0222,0.001,0.0044,0.0036,0.0044,0,0.0066
1961-01-01,0,0.0078,0.0042,0.0024,0.0028,0.0235,0.01,0.0344,0.0061,0.0254,0.0012,0.0049,0.0041,0.0051,0,0.0076
1962-01-01,0,0.0098,0.0052,0.003,0.0034,0.0295,0.0126,0.0429,0.0077,0.0319,0.0014,0.0062,0.0052,0.0064,0,0.0095
1963-01-01,0,0.0103,0.0055,0.0031,0.0035,0.0307,0.0132,0.0452,0.008,0.0332,0.0015,0.0065,0.0055,0.0066,0,0.01
1964-01-01,0,0.0111,0.0059,0.0033,0.0039,0.0333,0.0143,0.0487,0.0086,0.0358,0.0016,0.007,0.0059,0.0072,0,0.0108
1965-01-01,0,0.0109,0.0058,0.0033,0.0037,0.0327,0.0142,0.0479,0.0085,0.0352,0.0016,0.0069,0.0059,0.0071,0,0.0106
1966-01-01,0,0.0124,0.0066,0.0037,0.0043,0.0372,0.016,0.0543,0.0096,0.04,0.0018,0.0077,0.0067,0.008,0,0.012
1967-01-01,0,0.0127,0.0068,0.0038,0.0044,0.0382,0.0164,0.0559,0.0099,0.041,0.0019,0.008,0.0069,0.0082,0,0.0123
1968-01-01,0,0.0139,0.0075,0.0042,0.0049,0.0418,0.0181,0.0612,0.0108,0.0451,0.0021,0.0088,0.0076,0.0091,0,0.0136
1969-01-01,0,0.016,0.0086,0.0048,0.0055,0.0479,0.0207,0.0702,0.0125,0.0517,0.0024,0.01,0.0087,0.0103,0,0.0156
1970-01-01,0,0.0178,0.0095,0.0054,0.0061,0.0535,0.0229,0.0781,0.0138,0.0576,0.0026,0.0111,0.0097,0.0115,0,0.0173
1971-01-01,0,0.0202,0.0108,0.0061,0.0071,0.0609,0.0261,0.0887,0.0157,0.0654,0.003,0.0128,0.011,0.0131,0,0.0197
