Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0,3e-04,0.0025,0,0,0,0,0.0882,0,1e-04,0,0,2e-04,0,0,0
1961-01-01,0,4e-04,0.0028,0,0,0,0,0.1006,0,1e-04,0,0,2e-04,0,0,0
1962-01-01,0,5e-04,0.0035,0,0,0,0,0.1261,0,1e-04,0,0,2e-04,0,0,0
1963-01-01,0,5e-04,0.0037,0,0,0,0,0.1321,0,1e-04,0,0,2e-04,0,0,0
1964-01-01,0,5e-04,0.004,0,0,0,0,0.1422,0,2e-04,0,0,3e-04,0,0,0
1965-01-01,0,5e-04,0.0039,0,0,0,0,0.1403,0,2e-04,0,0,3e-04,0,0,0
1966-01-01,0,6e-04,0.0044,0,0,0,0,0.1589,0,2e-04,0,0,3e-04,0,0,0
1967-01-01,0,6e-04,0.0046,0,0,0,0,0.1635,0,2e-04,0,0,3e-04,0,0,0
1968-01-01,0,7e-04,0.005,0,0,0,0,0.1793,0,2e-04,0,0,4e-04,0,0,0
1969-01-01,0,8e-04,0.0057,0,0,0,0,0.2055,0,2e-04,0,0,4e-04,0,0,0
1970-01-01,0,9e-04,0.0064,0,0,0,0,0.2285,0,3e-04,0,0,5e-04,0,0,0
1971-01-01,0,0.001,0.0072,0,0,0,0,0.26,0,3e-04,0,0,5e-04,0,0,0
1972-01-01,0,0.001,0.0075,0,0,0,0,0.2702,0,3e-04,0,0,5e-04,0,0,0
1973-01-01,0,0.0017,0.0124,0,0,0,0,0.4449,0,7e-04,0,1e-04,0.001,0,0,0
1974-01-01,0,0.0018,0.0131,0,0,0,0,0.4697,0,7e-04,0,1e-04,0.001,0,0,0
1975-01-01,0,6e-04,0.0042,0,0,0,0,0.1509,0,2e-04,0,0,3e-04,0,0,0
1976-01-01,0,9e-04,0.0066,0,0,0,0,0.2361,0,3e-04,0,0,5e-04,0,0,0
1977-01-01,0,0.0012,0.0083,0,0,0,0,0.2993,0,3e-04,0,1e-04,6e-04,0,0,0
