Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0,0,0,0,0.0044,0,0,0.0828,0,0,0,0,0,0,0,0
1961-01-01,0,0,0,0,0.005,0,0,0.0944,0,0,0,0,0,0,0,0
1962-01-01,0,0,0,0,0.0063,0,0,0.1183,0,0,0,0,0,0,0,0
1963-01-01,0,0,0,0,0.0066,0,0,0.1239,0,0,0,0,0,0,0,0
1964-01-01,0,0,0,0,0.0071,0,0,0.1334,0,0,0,0,0,0,0,0
1965-01-01,0,0,0,0,0.007,0,0,0.1317,0,0,0,0,0,0,0,0
1966-01-01,0,0,0,0,0.0079,0,0,0.1491,0,0,0,0,0,0,0,0
1967-01-01,0,0,0,0,0.0082,0,0,0.1534,0,0,0,0,0,0,0,0
1968-01-01,0,0,0,0,0.009,0,0,0.1683,0,0,0,0,0,0,0,0
1969-01-01,0,0,0,0,0.0103,0,0,0.1928,0,0,0,0,0,0,0,0
1970-01-01,0,0,0,0,0.0114,0,0,0.2144,0,0,0,0,0,0,0,0
1971-01-01,0,0,0,0,0.013,0,0,0.2439,0,0,0,0,0,0,0,0
1972-01-01,0,0,0,0,0.0135,0,0,0.2535,0,0,0,0,0,0,0,0
1973-01-01,0,0,0,0,0.0222,0,0,0.4174,0,0,0,0,0,0,0,0
1974-01-01,0,0,0,0,0.0234,0,0,0.4407,0,0,0,0,0,0,0,0
1975-01-01,0,0,0,0,0.0075,0,0,0.1416,0,0,0,0,0,0,0,0
1976-01-01,0,0,0,0,0.0118,0,0,0.2216,0,0,0,0,0,0,0,0
1977-01-01,0,0,0,0,0.0149,0,0,0.2809,0,0,0,0,0,0,0,0
1978-01-01,0,0,0,0,0.0177,0,0,0.3331,0,0,0,0,0,0,0,0
1979-01-01,0,0,0,0,0.0228,0,0,0.4277,0,0,0,0,0,0,0,0
1980-01-01,0,0,0,0,0.0302,0,0,0.5681,0,0,0,0,0,0,0,0
1981-01-01,0,0,0,0,0.0367,0,0,0.6902,0,0,0,0,0,0,0,0
