Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0,0.106,0.0062,0.0028,0.0068,0.0216,0.0442,0.352,0.028,0.0223,0.001,0.0047,0.0282,0.0319,0,0.1005
1961-01-01,0,0.1209,0.007,0.0032,0.0078,0.0248,0.0502,0.4015,0.0319,0.0255,0.0012,0.0053,0.0322,0.0365,0,0.1147
1962-01-01,0,0.1515,0.0087,0.004,0.0097,0.0313,0.0634,0.5027,0.0401,0.032,0.0014,0.0067,0.0404,0.0459,0,0.1438
1963-01-01,0,0.1587,0.0092,0.0042,0.0101,0.0326,0.0663,0.527,0.0419,0.0333,0.0015,0.007,0.0425,0.048,0,0.1507
1964-01-01,0,0.1709,0.0099,0.0044,0.011,0.0353,0.0715,0.5675,0.0451,0.036,0.0016,0.0075,0.0459,0.0518,0,0.1622
1965-01-01,0,0.1686,0.0097,0.0044,0.0107,0.0347,0.0704,0.5598,0.0446,0.0354,0.0016,0.0074,0.0453,0.0511,0,0.16
1966-01-01,0,0.191,0.011,0.005,0.0122,0.0394,0.0799,0.6339,0.0504,0.0402,0.0018,0.0083,0.0513,0.0577,0,0.1812
1967-01-01,0,0.1964,0.0114,0.0051,0.0126,0.0404,0.082,0.6525,0.0519,0.0412,0.0019,0.0086,0.0527,0.0594,0,0.1863
1968-01-01,0,0.2154,0.0125,0.0057,0.0139,0.0443,0.0901,0.7153,0.0569,0.0453,0.0021,0.0095,0.0578,0.0653,0,0.2045
1969-01-01,0,0.2469,0.0143,0.0064,0.0158,0.0508,0.1033,0.8198,0.0653,0.0519,0.0024,0.0108,0.0663,0.0746,0,0.2344
1970-01-01,0,0.2746,0.0159,0.0072,0.0175,0.0566,0.1146,0.9116,0.0725,0.0579,0.0026,0.012,0.0738,0.0831,0,0.2605
1971-01-01,0,0.3123,0.018,0.0082,0.0201,0.0645,0.1303,1.0369,0.0826,0.0657,0.003,0.0138,0.0838,0.0944,0,0.2965
