Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0,0,2e-06,0,0,0,0.000138,3.9e-05,0,0,0,0,0,0
1951-01-01,0,0,0,0,5e-05,0,0,0,0.000271,0.000108,0,0,0,6.8e-05,0,0
1952-01-01,0,0,7e-06,0,9.3e-05,0,5.2e-05,2e-06,0.000408,0.000246,1e-06,0,0,0.000138,0,9.3e-05
1953-01-01,0,0,1.8e-05,5.6e-05,0.000532,4.7e-05,0.000116,5.8e-05,0.000551,0.000383,1.3e-05,7e-06,0.000656,0.000205,0,0.000201
1954-01-01,0,1.4e-05,3.1e-05,0.00017,0.001277,0.000268,0.000244,0.000211,0.000691,0.000521,2.6e-05,2.1e-05,0.001351,0.000274,0,0.000307
1955-01-01,0,3e-05,4.1e-05,0.000283,0.002019,0.000655,0.000498,0.000363,0.000832,0.00066,3.7e-05,3.8e-05,0.002052,0.000342,2.3e-05,0.000417
1956-01-01,1e-06,4.6e-05,5.2e-05,0.000398,0.002764,0.001044,0.000752,0.000508,0.00098,0.000794,4.8e-05,5.3e-05,0.002751,0.00041,5.6e-05,0.000526
1957-01-01,2e-06,6.2e-05,6.6e-05,0.000511,0.003507,0.001439,0.001007,0.000657,0.001114,0.000934,6.2e-05,6.7e-05,0.003447,0.000481,9e-05,0.000632
1958-01-01,3e-06,7.7e-05,7.6e-05,0.000624,0.004252,0.001825,0.001263,0.000812,0.00125,0.001073,7.4e-05,8.4e-05,0.004146,0.000551,0.000124,0.000742
1959-01-01,3e-06,9.3e-05,8.7e-05,0.000738,0.004993,0.002215,0.001516,0.000963,0.001394,0.001208,8.5e-05,9.7e-05,0.004846,0.00062,0.000156,0.000852
1960-01-01,4e-06,0.000109,1e-04,0.000853,0.005736,0.002604,0.001775,0.001113,0.001534,0.001348,9.8e-05,0.000112,0.005547,0.000686,0.00019,0.000957
1961-01-01,5e-06,0.000124,0.00011,0.000965,0.006478,0.002993,0.002025,0.001262,0.001676,0.001485,0.000108,0.000127,0.006243,0.000756,0.000223,0.001067
1962-01-01,6e-06,0.00014,0.000123,0.001079,0.007221,0.003385,0.002278,0.001414,0.001815,0.001622,0.000121,0.000144,0.006942,0.000825,0.000257,0.001176
1963-01-01,6e-06,0.000157,0.000135,0.001193,0.007968,0.003777,0.002533,0.001564,0.00196,0.00176,0.000133,0.000157,0.007637,0.000894,0.00029,0.001283
1964-01-01,6e-06,0.000172,0.000146,0.001306,0.008707,0.004165,0.002788,0.001716,0.002099,0.001899,0.000144,0.000172,0.008336,0.000963,0.000323,0.001394
1965-01-01,8e-06,0.000188,0.000156,0.001419,0.009455,0.004556,0.003043,0.001866,0.002236,0.002033,0.000156,0.000189,0.009037,0.001032,0.000357,0.001503
1966-01-01,8e-06,0.00023,0.00015,0.001424,0.009198,0.004769,0.003131,0.00192,0.002278,0.002024,0.000159,0.000226,0.009658,0.001021,0.000366,0.001472
1967-01-01,8e-06,0.000271,0.000145,0.001428,0.008948,0.004981,0.003215,0.001972,0.002321,0.002015,0.000163,0.000264,0.01028,0.00101,0.000376,0.001444
1968-01-01,8e-06,0.000312,0.000137,0.001429,0.008696,0.005193,0.003302,0.002028,0.002363,0.002002,0.000168,0.000297,0.010905,0.000997,0.000386,0.001416
1969-01-01,8e-06,0.000354,0.000133,0.001434,0.008445,0.005408,0.003389,0.002083,0.002406,0.001995,0.000171,0.000336,0.011526,0.000985,0.000395,0.001387
