Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,3e-06,5e-06,3.2e-05,4.2e-05,4e-06,3.3e-05,9.7e-05,5.9e-05,0.000313,0.000278,1.2e-05,2e-06,1e-06,0.000107,7e-06,0.000152
1951-01-01,3e-06,5e-06,3.2e-05,4.5e-05,1.9e-05,6.5e-05,0.000124,7.4e-05,0.000315,0.000284,1.4e-05,3e-06,3.3e-05,0.000113,7e-06,0.000163
1952-01-01,4e-06,4e-06,3.2e-05,5.1e-05,3.7e-05,9.2e-05,0.000155,9.2e-05,0.000319,0.000287,1.5e-05,3e-06,6.8e-05,0.000122,8e-06,0.000177
1953-01-01,5e-06,4e-06,3.2e-05,5.3e-05,4.6e-05,0.000125,0.000184,0.00011,0.000327,0.000293,1.5e-05,4e-06,1e-04,0.000129,9e-06,0.000186
1954-01-01,6e-06,4e-06,3.2e-05,5.7e-05,5.6e-05,0.000156,0.000217,0.000128,0.000333,0.000295,1.6e-05,4e-06,0.000131,0.000138,1e-05,0.000196
1955-01-01,6e-06,4e-06,3.1e-05,6.3e-05,7e-05,0.000186,0.000248,0.000146,0.000339,0.000297,1.7e-05,4e-06,0.000165,0.000146,1e-05,0.000202
1956-01-01,6e-06,4e-06,3.1e-05,6.4e-05,8.5e-05,0.000215,0.000278,0.000162,0.000341,0.000299,1.7e-05,5e-06,0.000197,0.000155,1.1e-05,0.000213
1957-01-01,7e-06,4e-06,3.1e-05,6.7e-05,9.7e-05,0.000245,0.000309,0.000179,0.000343,3e-04,1.8e-05,5e-06,0.000228,0.000163,1.2e-05,0.000228
1958-01-01,8e-06,4e-06,3.1e-05,7.3e-05,0.000107,0.000275,0.00034,0.000197,0.000351,0.000307,2e-05,6e-06,0.000262,0.00017,1.3e-05,0.000235
1959-01-01,9e-06,4e-06,3.1e-05,8e-05,0.000123,0.000308,0.000371,0.000218,0.000357,0.00031,2.1e-05,6e-06,0.000292,0.000178,1.5e-05,0.000245
1960-01-01,9e-06,4e-06,2.9e-05,8.1e-05,0.000131,0.000337,0.000401,0.000234,0.000361,0.000312,2.2e-05,6e-06,0.000325,0.000184,1.5e-05,0.000255
1961-01-01,9e-06,4e-06,2.9e-05,8.6e-05,0.000146,0.000367,0.000433,0.000249,0.000363,0.000313,2.2e-05,6e-06,0.000357,0.000196,1.6e-05,0.000264
1962-01-01,9e-06,4e-06,2.9e-05,9e-05,0.000158,0.000398,0.000463,0.000267,0.000367,0.000321,2.2e-05,8e-06,0.000393,0.000203,1.7e-05,0.000274
1963-01-01,1e-05,4e-06,2.9e-05,9.5e-05,0.00017,0.000429,0.000493,0.000284,0.000371,0.000327,2.2e-05,9e-06,0.000425,0.000212,1.8e-05,0.000285
1964-01-01,1e-05,4e-06,2.9e-05,1e-04,0.00018,0.00046,0.000524,0.000301,0.000379,0.000327,2.3e-05,9e-06,0.000455,0.000219,1.8e-05,0.000292
