Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,2e-06,0,0,8e-06,3.2e-05,7.1e-05,0.00053,0.000343,3.1e-05,0,0,0.000222,1e-06,8.5e-05
1951-01-01,0,0,2e-06,1e-06,0,1.5e-05,3.9e-05,7.6e-05,0.000533,0.000354,3.4e-05,1e-06,0,0.000226,1e-06,8.7e-05
1952-01-01,0,0,2e-06,1e-06,2e-06,2.3e-05,4.7e-05,8.3e-05,0.000537,0.000359,3.4e-05,2e-06,3e-06,0.000231,1e-06,9.2e-05
1953-01-01,0,0,2e-06,1e-06,3e-06,2.6e-05,5.4e-05,9.3e-05,0.000538,0.000367,3.6e-05,2e-06,7e-06,0.000236,1e-06,9.5e-05
1954-01-01,0,0,2e-06,4e-06,3e-06,2.9e-05,6e-05,9.9e-05,0.000542,0.000372,3.7e-05,3e-06,1.1e-05,0.000241,1e-06,0.000101
1955-01-01,0,0,2e-06,6e-06,5e-06,3e-05,6.9e-05,0.000104,0.000543,0.000378,3.9e-05,3e-06,1.6e-05,0.000245,1e-06,0.000104
1956-01-01,0,0,2e-06,9e-06,7e-06,3.6e-05,7.2e-05,0.000113,0.000543,0.000387,4e-05,3e-06,1.9e-05,0.000249,1e-06,0.000107
1957-01-01,0,0,2e-06,1.2e-05,1e-05,4.2e-05,8.1e-05,0.000119,0.000548,0.000395,4e-05,3e-06,2.4e-05,0.000256,1e-06,0.000112
1958-01-01,0,0,1e-06,1.2e-05,1.2e-05,4.8e-05,8.9e-05,0.000129,0.000551,0.000402,4.2e-05,3e-06,3.1e-05,0.00026,1e-06,0.000116
1959-01-01,0,0,1e-06,1.2e-05,1.4e-05,5.1e-05,9.7e-05,0.000134,0.000552,0.000405,4.2e-05,3e-06,3.6e-05,0.000262,1e-06,0.000121
1960-01-01,0,0,1e-06,1.3e-05,1.7e-05,5.4e-05,0.000102,0.000143,0.000554,0.000412,4.4e-05,3e-06,4e-05,0.000268,1e-06,0.000125
1961-01-01,0,0,1e-06,1.4e-05,1.8e-05,5.7e-05,0.000111,0.000152,0.000557,0.00042,4.6e-05,3e-06,4.4e-05,0.000274,1e-06,0.000127
1962-01-01,0,0,1e-06,1.4e-05,1.9e-05,6e-05,0.000119,0.000159,0.00056,0.000426,4.7e-05,4e-06,5e-05,0.000278,1e-06,0.00013
1963-01-01,0,0,1e-06,1.4e-05,2.2e-05,6.2e-05,0.000124,0.000167,0.000561,0.000434,4.8e-05,5e-06,5.7e-05,0.000282,1e-06,0.000136
