Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,9e-06,3.9e-05,2.3e-05,2.2e-05,0.000305,0.000245,0.001046,0.000309,5.8e-05,6e-06,2.1e-05,0.00025,2e-06,0.000591
1951-01-01,1e-06,0,9e-06,4.2e-05,3.2e-05,3.4e-05,0.000334,0.000246,0.001009,0.000317,6.2e-05,7e-06,3.3e-05,0.000244,3e-06,0.000581
1952-01-01,1e-06,0,9e-06,4.6e-05,4.4e-05,5.7e-05,0.000361,0.000245,0.000974,0.000319,6.7e-05,7e-06,4.6e-05,0.000239,3e-06,0.000572
1953-01-01,1e-06,0,9e-06,5e-05,5.6e-05,7.7e-05,0.000388,0.000245,0.000937,0.000325,6.9e-05,7e-06,5.8e-05,0.000229,3e-06,0.000563
1954-01-01,1e-06,0,8e-06,5.5e-05,7.1e-05,9.7e-05,0.000417,0.000243,0.000901,0.000328,7.4e-05,8e-06,7e-05,0.000223,3e-06,0.000555
1955-01-01,1e-06,0,8e-06,5.9e-05,8.4e-05,0.000122,0.000439,0.000242,0.000863,0.000332,7.8e-05,9e-06,8.3e-05,0.000215,4e-06,0.000543
1956-01-01,1e-06,0,6e-06,6.3e-05,9.6e-05,0.000144,0.000465,0.000242,0.000827,0.000334,8.3e-05,1e-05,9.5e-05,0.000208,4e-06,0.000532
1957-01-01,1e-06,1e-06,6e-06,6.9e-05,0.000108,0.000166,0.000492,0.000238,0.00079,0.00034,8.6e-05,1.1e-05,0.000108,0.000202,4e-06,0.000525
1958-01-01,1e-06,1e-06,5e-06,7.1e-05,0.000119,0.00019,0.00052,0.00024,0.000754,0.000345,8.9e-05,1.1e-05,0.00012,0.000194,5e-06,0.000516
1959-01-01,1e-06,1e-06,5e-06,7.8e-05,0.000132,0.000211,0.000546,0.00024,0.000717,0.00035,9.5e-05,1.1e-05,0.000133,0.000188,5e-06,0.000505
1960-01-01,1e-06,1e-06,5e-06,7.9e-05,0.000144,0.000231,0.000573,0.000239,0.000681,0.00035,9.7e-05,1.3e-05,0.000145,0.000182,5e-06,0.000496
1961-01-01,1e-06,1e-06,5e-06,8.3e-05,0.000159,0.000255,0.000601,0.000237,0.000645,0.00036,1e-04,1.3e-05,0.000157,0.000174,5e-06,0.000485
1962-01-01,1e-06,1e-06,4e-06,8.8e-05,0.000169,0.000278,0.000628,0.000237,0.000607,0.000363,0.000107,1.4e-05,0.000169,0.000169,6e-06,0.000477
1963-01-01,1e-06,1e-06,4e-06,9.3e-05,0.000182,0.000302,0.000652,0.000236,0.000571,0.000365,0.000109,1.4e-05,0.000181,0.00016,6e-06,0.000466
1964-01-01,1e-06,1e-06,4e-06,9.7e-05,0.000193,0.000322,0.000678,0.000234,0.000537,0.000371,0.000113,1.5e-05,0.000195,0.000153,6e-06,0.000458
1965-01-01,1e-06,1e-06,4e-06,1e-04,0.000205,0.000344,0.000704,0.000233,0.000498,0.000373,0.000117,1.5e-05,0.000207,0.000146,6e-06,0.000451
1966-01-01,1e-06,1e-06,4e-06,0.000101,0.000212,0.000363,0.000698,0.000244,0.000482,0.000357,0.00012,1.6e-05,0.000208,0.000143,6e-06,0.000447
1967-01-01,2e-06,1e-06,5e-06,0.000103,0.000216,0.000389,0.000692,0.000256,0.000468,0.00034,0.000121,1.6e-05,0.000209,0.000141,7e-06,0.000445
1968-01-01,2e-06,1e-06,5e-06,0.000103,0.000221,0.000411,0.000684,0.000262,0.000454,0.000324,0.000123,1.6e-05,0.000211,0.000141,7e-06,0.000446
1969-01-01,2e-06,1e-06,5e-06,0.000104,0.000227,0.000432,0.00068,0.000275,0.000436,0.000306,0.000124,1.6e-05,0.000211,0.000139,7e-06,0.000446
1970-01-01,2e-06,1e-06,6e-06,0.000104,0.000233,0.000455,0.000675,0.000285,0.000419,0.000289,0.000126,1.6e-05,0.000212,0.000136,7e-06,0.000446
1971-01-01,2e-06,1e-06,8e-06,0.000104,0.000236,0.000477,0.000671,0.000294,0.000405,0.000276,0.000129,1.7e-05,0.000213,0.000134,7e-06,0.000443
1972-01-01,2e-06,1e-06,9e-06,0.000104,0.000243,0.000501,0.000664,0.000308,0.000393,0.000254,0.00013,1.8e-05,0.000213,0.000132,7e-06,0.000441
1973-01-01,2e-06,1e-06,9e-06,0.000104,0.000247,0.000524,0.000657,0.000317,0.000372,0.000239,0.000135,1.8e-05,0.000215,0.00013,7e-06,0.000438
1974-01-01,2e-06,1e-06,9e-06,0.000104,0.00025,0.000543,0.000649,0.000327,0.000356,0.000223,0.000137,1.8e-05,0.000216,0.000127,7e-06,0.000438
1975-01-01,2e-06,1e-06,9e-06,0.000107,0.000256,0.000565,0.000645,0.000337,0.000341,0.000203,0.000138,1.8e-05,0.000217,0.000125,7e-06,0.000437
1976-01-01,2e-06,1e-06,9e-06,0.000107,0.000263,0.000587,0.000639,0.000346,0.000327,0.000186,0.000139,1.8e-05,0.000217,0.000123,7e-06,0.000434
1977-01-01,2e-06,2e-06,9e-06,0.000104,0.000559,0.000581,0.000633,0.000346,0.000356,0.000187,0.000139,1.8e-05,0.000488,0.000125,7e-06,0.000433
1978-01-01,2e-06,2e-06,9e-06,1e-04,0.000853,0.000577,0.000626,0.000347,0.000382,0.000193,0.000138,1.8e-05,0.000762,0.000127,7e-06,0.00043
1979-01-01,2e-06,2e-06,9e-06,1e-04,0.001148,0.00057,0.00062,0.000346,0.000407,0.000198,0.000135,1.6e-05,0.001036,0.000129,7e-06,0.00043
1980-01-01,1e-06,2e-06,9e-06,9.6e-05,0.001444,0.000565,0.000613,0.000345,0.000434,0.000204,0.000134,1.6e-05,0.001311,0.000131,7e-06,0.000428
1981-01-01,1e-06,2e-06,9e-06,9.3e-05,0.00174,0.000561,0.000607,0.000344,0.000459,0.000206,0.000134,1.5e-05,0.001585,0.000135,7e-06,0.000427
1982-01-01,1e-06,2e-06,9e-06,9.1e-05,0.002037,0.000554,6e-04,0.000345,0.000488,0.00021,0.000133,1.5e-05,0.001857,0.000135,7e-06,0.000423
1983-01-01,1e-06,2e-06,9e-06,8.9e-05,0.002334,0.000548,0.000594,0.000343,0.000509,0.000215,0.00013,1.5e-05,0.00213,0.000138,7e-06,0.000422
1984-01-01,1e-06,2e-06,9e-06,8.5e-05,0.002631,0.000545,0.000588,0.000338,0.000541,0.000217,0.00013,1.4e-05,0.002405,0.000139,7e-06,0.000423
1985-01-01,1e-06,2e-06,9e-06,8.1e-05,0.002926,0.000538,0.00058,0.000335,0.000566,0.000221,0.000129,1.3e-05,0.002678,0.00014,7e-06,0.000422
1986-01-01,1e-06,2e-06,9e-06,7.9e-05,0.003223,0.000533,0.000575,0.000336,0.000595,0.000224,0.000127,1.3e-05,0.002951,0.000143,7e-06,0.000422
1987-01-01,1e-06,3e-06,9e-06,7.5e-05,0.00352,0.000526,0.00057,0.000337,0.000622,0.000228,0.000126,1.2e-05,0.003224,0.000146,7e-06,0.00042
1988-01-01,1e-06,3e-06,9e-06,7.3e-05,0.003818,0.00052,0.000563,0.000337,0.000648,0.000232,0.000125,1.2e-05,0.0035,0.000147,7e-06,0.000417
1989-01-01,1e-06,3e-06,9e-06,7.1e-05,0.004111,0.000517,0.000559,0.000335,0.000672,0.000235,0.000125,1.1e-05,0.003775,0.000149,7e-06,0.000416
1990-01-01,1e-06,3e-06,8e-06,6.8e-05,0.004406,0.00051,0.000554,0.000334,0.000704,0.000238,0.000122,1e-05,0.004049,0.000153,7e-06,0.000412
1991-01-01,1e-06,3e-06,8e-06,6.6e-05,0.004702,0.000506,0.000544,0.000335,0.000729,0.000244,0.000122,9e-06,0.004323,0.000156,7e-06,0.000409
1992-01-01,1e-06,3e-06,7e-06,6.3e-05,0.004998,0.000501,0.000537,0.000335,0.000757,0.000251,0.000122,8e-06,0.004595,0.000157,7e-06,0.000408
1993-01-01,1e-06,3e-06,7e-06,6e-05,0.005293,0.000496,0.000535,0.000333,0.000786,0.000255,0.000119,8e-06,0.004869,0.000159,7e-06,0.000407
1994-01-01,1e-06,3e-06,7e-06,5.6e-05,0.00559,0.000491,0.000528,0.000331,0.000806,0.000259,0.000116,7e-06,0.005141,0.000161,7e-06,0.000405
1995-01-01,1e-06,3e-06,7e-06,5.2e-05,0.005886,0.000485,0.000519,0.000329,0.000838,0.00026,0.000115,7e-06,0.005416,0.000163,7e-06,0.000404
1996-01-01,1e-06,3e-06,7e-06,4.9e-05,0.006181,0.00048,0.000515,0.000328,0.000864,0.000265,0.000115,6e-06,0.005689,0.000165,7e-06,0.000403
1997-01-01,1e-06,4e-06,6e-06,4.5e-05,0.006478,0.000476,0.000511,0.000329,0.000893,0.000267,0.000113,5e-06,0.005962,0.000166,7e-06,0.000401
1998-01-01,1e-06,3e-06,7e-06,4.5e-05,0.009965,0.000504,0.000484,0.000315,0.000866,0.000257,0.000107,5e-06,0.005745,0.00016,7e-06,0.000386
1999-01-01,1e-06,3e-06,7e-06,4.6e-05,0.013452,0.000534,0.000455,0.000304,0.000841,0.00024,0.000101,4e-06,0.005528,0.000155,6e-06,0.000374
2000-01-01,1e-06,3e-06,7e-06,4.3e-05,0.016939,0.000565,0.000431,0.000291,0.00082,0.00023,9.6e-05,4e-06,0.005309,0.000146,6e-06,0.000357
2001-01-01,1e-06,3e-06,6e-06,4.3e-05,0.020431,0.000596,0.000403,0.000279,0.000799,0.000217,9.2e-05,4e-06,0.005092,0.000139,6e-06,0.000347
2002-01-01,1e-06,3e-06,6e-06,4.2e-05,0.023921,0.000628,0.000376,0.000266,0.000775,0.000206,8.4e-05,4e-06,0.004875,0.000135,5e-06,0.000332
2003-01-01,1e-06,2e-06,5e-06,4.2e-05,0.027407,0.000657,0.000347,0.000255,0.000751,0.000189,7.8e-05,4e-06,0.004653,0.000127,5e-06,0.000319
