Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,3e-06,5e-06,4.3e-05,8.1e-05,2.9e-05,6.3e-05,0.000434,0.000375,0.002027,0.000969,0.000101,8e-06,2.2e-05,0.000579,1e-05,0.000828
1951-01-01,4e-06,5e-06,4.3e-05,8.8e-05,0.000101,0.000114,0.000497,0.000396,0.002128,0.001063,0.00011,1.1e-05,6.6e-05,0.000651,1.1e-05,0.000831
1952-01-01,5e-06,4e-06,5e-05,9.8e-05,0.000176,0.000172,0.000615,0.000422,0.002238,0.001211,0.000117,1.2e-05,0.000117,0.00073,1.2e-05,0.000934
1953-01-01,6e-06,4e-06,6.1e-05,0.00016,0.000637,0.000275,0.000742,0.000506,0.002353,0.001368,0.000133,2e-05,0.000821,0.000799,1.3e-05,0.001045
1954-01-01,7e-06,1.8e-05,7.3e-05,0.000286,0.001407,0.00055,0.000938,0.000681,0.002467,0.001516,0.000153,3.6e-05,0.001563,0.000876,1.4e-05,0.001159
1955-01-01,7e-06,3.4e-05,8.2e-05,0.000411,0.002178,0.000993,0.001254,0.000855,0.002577,0.001667,0.000171,5.4e-05,0.002316,0.000948,3.8e-05,0.001266
1956-01-01,8e-06,5e-05,9.1e-05,0.000534,0.002952,0.001439,0.001567,0.001025,0.002691,0.001814,0.000188,7.1e-05,0.003062,0.001022,7.2e-05,0.001378
1957-01-01,1e-05,6.7e-05,0.000105,0.000659,0.003722,0.001892,0.001889,0.001193,0.002795,0.001969,0.000206,8.6e-05,0.003807,0.001102,0.000107,0.001497
1958-01-01,1.2e-05,8.2e-05,0.000113,0.00078,0.00449,0.002338,0.002212,0.001378,0.002906,0.002127,0.000225,0.000104,0.004559,0.001175,0.000143,0.001609
1959-01-01,1.3e-05,9.8e-05,0.000124,0.000908,0.005262,0.002785,0.00253,0.001555,0.00302,0.002273,0.000243,0.000117,0.005307,0.001248,0.000177,0.001723
1960-01-01,1.4e-05,0.000114,0.000135,0.001026,0.006028,0.003226,0.002851,0.001729,0.00313,0.002422,0.000261,0.000134,0.006057,0.00132,0.000211,0.001833
1961-01-01,1.5e-05,0.000129,0.000145,0.001148,0.006801,0.003672,0.00317,0.0019,0.003241,0.002578,0.000276,0.000149,0.006801,0.0014,0.000245,0.001943
1962-01-01,1.6e-05,0.000145,0.000157,0.001271,0.007567,0.004121,0.003488,0.002077,0.003349,0.002732,0.000297,0.00017,0.007554,0.001475,0.000281,0.002057
1963-01-01,1.7e-05,0.000162,0.000169,0.001395,0.008342,0.00457,0.003802,0.002251,0.003463,0.002886,0.000312,0.000185,0.0083,0.001548,0.000315,0.00217
1964-01-01,1.7e-05,0.000177,0.00018,0.00152,0.009104,0.005013,0.004119,0.002426,0.003578,0.003041,0.000328,0.000201,0.009047,0.001622,0.000347,0.002284
1965-01-01,1.9e-05,0.000193,0.000189,0.001641,0.009879,0.00547,0.004438,0.002595,0.003684,0.003186,0.000347,0.000218,0.009796,0.001698,0.000382,0.002402
1966-01-01,1.9e-05,0.000238,0.000183,0.001645,0.00963,0.00571,0.004524,0.002664,0.003746,0.003169,0.000354,0.000256,0.010404,0.001682,0.000392,0.002365
1967-01-01,2e-05,0.00028,0.000179,0.001649,0.009383,0.005964,0.004608,0.002733,0.003803,0.003156,0.00036,0.000297,0.011015,0.001667,0.000402,0.002341
1968-01-01,2e-05,0.000322,0.000173,0.001648,0.009136,0.006214,0.00469,0.002793,0.003867,0.003135,0.000368,0.000329,0.011626,0.001652,0.000412,0.002314
1969-01-01,2e-05,0.000366,0.000169,0.001651,0.008891,0.006467,0.004776,0.002861,0.003924,0.00312,0.000373,0.00037,0.012232,0.001636,0.00042,0.002288
1970-01-01,2e-05,0.000409,0.000162,0.001655,0.008646,0.00672,0.004859,0.002931,0.003983,0.003105,0.000381,0.000404,0.012841,0.001623,0.00043,0.00226
1971-01-01,2e-05,0.000454,0.000158,0.001657,0.008394,0.006968,0.004946,0.002996,0.004037,0.003096,0.000388,0.000445,0.013455,0.00161,0.000439,0.002228
1972-01-01,2e-05,0.000496,0.000153,0.001659,0.008151,0.007218,0.00503,0.003065,0.004104,0.003071,0.000394,0.000482,0.014063,0.001593,0.000448,0.002205
1973-01-01,2e-05,0.000541,0.000146,0.00166,0.007901,0.007473,0.005112,0.00313,0.004156,0.003062,0.000405,0.000523,0.014676,0.001579,0.000457,0.002175
1974-01-01,2e-05,0.000583,0.000141,0.001663,0.007655,0.00772,0.005198,0.003192,0.004216,0.003038,0.00041,0.000559,0.015286,0.001567,0.000465,0.002148
1975-01-01,1.9e-05,0.000627,0.000134,0.001668,0.007409,0.007975,0.00528,0.003262,0.004271,0.003023,0.000415,0.000594,0.015897,0.001551,0.000475,0.002118
1976-01-01,1.8e-05,0.000668,0.000127,0.001669,0.007165,0.008226,0.005366,0.003328,0.004337,0.003003,0.000422,0.000632,0.016507,0.001536,0.000484,0.002089
1977-01-01,2.4e-05,0.000678,0.000126,0.0017,0.009093,0.009147,0.005388,0.003398,0.004386,0.002994,0.000419,0.00061,0.018167,0.001533,0.000782,0.002117
