Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,3.9e-05,2e-05,0.000406,0.001834,0.002645,0.001752,0.002459,0.002187,0.004255,0.005293,0.001355,0.000503,0.001978,0.002923,0.00015,0.001082
1951-01-01,3.9e-05,2.1e-05,0.000393,0.001828,0.002644,0.001761,0.002462,0.002212,0.004362,0.00537,0.001376,0.000531,0.001958,0.002917,0.000149,0.001096
1952-01-01,3.9e-05,2.2e-05,0.000383,0.001825,0.002636,0.001767,0.002464,0.002242,0.004465,0.005445,0.001398,0.000553,0.001937,0.002913,0.000149,0.001109
1953-01-01,3.9e-05,2.3e-05,0.00037,0.00182,0.002634,0.00178,0.002466,0.00227,0.004569,0.005521,0.001421,0.000578,0.001911,0.002906,0.000149,0.001118
1954-01-01,3.9e-05,2.4e-05,0.000361,0.001814,0.002625,0.001783,0.002469,0.0023,0.004673,0.005595,0.001442,0.000602,0.001892,0.002899,0.000149,0.001132
1955-01-01,3.9e-05,2.6e-05,0.000349,0.001811,0.002624,0.001788,0.002474,0.002331,0.004776,0.005668,0.001466,0.000627,0.00187,0.002893,0.000149,0.001145
1956-01-01,3.9e-05,2.6e-05,0.000337,0.001808,0.002622,0.001796,0.002477,0.002356,0.00488,0.005746,0.001488,0.000651,0.001854,0.002887,0.000149,0.001157
1957-01-01,3.9e-05,2.8e-05,0.000327,0.001804,0.002612,0.001799,0.002485,0.00239,0.004986,0.005822,0.001508,0.000676,0.00183,0.002881,0.000149,0.001168
1958-01-01,3.9e-05,2.8e-05,0.000315,0.001798,0.002608,0.001806,0.002481,0.002416,0.005089,0.005895,0.001531,7e-04,0.001807,0.002873,0.000149,0.001179
1959-01-01,3.9e-05,2.9e-05,0.000304,0.001795,0.002601,0.001813,0.002489,0.002445,0.005192,0.005971,0.001553,0.000724,0.001787,0.002869,0.000149,0.001194
1960-01-01,3.9e-05,3e-05,0.000293,0.00179,0.002601,0.001822,0.00249,0.002472,0.005297,0.006046,0.001574,0.00075,0.001768,0.002862,0.000148,0.001206
1961-01-01,3.9e-05,3.2e-05,0.000282,0.001785,0.002593,0.001829,0.002497,0.002501,0.0054,0.006124,0.001601,0.000773,0.001746,0.002858,0.000148,0.001219
1962-01-01,3.9e-05,3.3e-05,0.000271,0.001781,0.002586,0.001837,0.002501,0.00253,0.005504,0.006197,0.001621,0.000797,0.001728,0.002848,0.000148,0.00123
1963-01-01,3.9e-05,3.4e-05,0.000258,0.001775,0.002586,0.001848,0.002501,0.00256,0.005609,0.006272,0.001642,0.000821,0.001706,0.002845,0.000148,0.001244
1964-01-01,3.9e-05,3.5e-05,0.000248,0.001771,0.002578,0.001851,0.002505,0.002588,0.00571,0.006348,0.001665,0.000847,0.001681,0.002838,0.000148,0.001258
1965-01-01,3.9e-05,3.6e-05,0.000236,0.001767,0.002572,0.001857,0.002511,0.002621,0.005817,0.006422,0.001688,0.00087,0.001661,0.002833,0.000148,0.001272
1966-01-01,4.2e-05,3.8e-05,0.000234,0.001824,0.002683,0.001984,0.002573,0.002696,0.006008,0.006586,0.001806,0.001011,0.001692,0.002973,0.00016,0.001341
1967-01-01,4.7e-05,3.8e-05,0.000231,0.001877,0.002798,0.002114,0.002635,0.002774,0.006197,0.006749,0.001922,0.001156,0.00173,0.003116,0.000172,0.001416
1968-01-01,4.9e-05,3.8e-05,0.000228,0.00193,0.002912,0.002239,0.002696,0.002859,0.006394,0.006915,0.002042,0.001297,0.001757,0.003253,0.000183,0.001485
1969-01-01,5.2e-05,4e-05,0.000226,0.001986,0.003029,0.002363,0.002762,0.002935,0.006586,0.007075,0.002159,0.001438,0.001786,0.003395,0.000194,0.00156
1970-01-01,5.5e-05,4.1e-05,0.000224,0.002036,0.003137,0.002489,0.002821,0.003015,0.006773,0.00724,0.002276,0.001582,0.001817,0.003534,0.000207,0.00163
1971-01-01,5.8e-05,4.2e-05,0.000221,0.002092,0.003256,0.00262,0.002881,0.003096,0.006969,0.007402,0.002394,0.001725,0.001854,0.003679,0.000218,0.001702
1972-01-01,6.2e-05,4.3e-05,0.00022,0.002147,0.003368,0.002742,0.002944,0.003173,0.00716,0.00757,0.00251,0.001868,0.001885,0.003821,0.000231,0.00177
1973-01-01,6.5e-05,4.4e-05,0.000217,0.0022,0.003481,0.002865,0.003005,0.003253,0.007348,0.00773,0.002628,0.002007,0.001916,0.00396,0.000242,0.001843
