Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,2e-05,0.000117,0.001248,0.004726,0.005682,0.004627,0.007568,0.006701,0.015585,0.025472,0.006165,0.001341,0.004782,0.012449,0.000131,0.004306
1951-01-01,2.1e-05,0.000112,0.001199,0.004747,0.005808,0.004987,0.007902,0.007196,0.016344,0.026143,0.006181,0.001442,0.004955,0.01292,0.000133,0.004477
1952-01-01,2.2e-05,0.000107,0.001148,0.004767,0.005935,0.005345,0.008234,0.007688,0.017104,0.026812,0.006196,0.001546,0.005123,0.01339,0.000136,0.004649
1953-01-01,2.2e-05,9.9e-05,0.0011,0.004791,0.006065,0.005706,0.008565,0.00818,0.01786,0.027484,0.00621,0.001648,0.005293,0.013861,0.000139,0.004822
1954-01-01,2.2e-05,9.4e-05,0.00105,0.004812,0.006191,0.006067,0.008899,0.008674,0.018618,0.028154,0.006227,0.001751,0.005463,0.014331,0.000142,0.004995
1955-01-01,2.2e-05,8.9e-05,0.001,0.004832,0.006318,0.006433,0.00923,0.009168,0.019379,0.028824,0.006241,0.001852,0.005632,0.014803,0.000144,0.005168
1956-01-01,2.3e-05,8.4e-05,0.000952,0.004856,0.006442,0.006793,0.009567,0.009661,0.020139,0.029496,0.006257,0.001955,0.005806,0.015273,0.000147,0.005337
1957-01-01,2.4e-05,7.7e-05,0.000902,0.004876,0.006574,0.00715,0.009897,0.010155,0.020899,0.030165,0.006271,0.002058,0.005974,0.015745,0.00015,0.005511
1958-01-01,2.4e-05,7.2e-05,0.000852,0.004898,0.006696,0.007516,0.01023,0.010648,0.021655,0.030836,0.006287,0.00216,0.006147,0.016215,0.000152,0.005682
1959-01-01,2.4e-05,6.7e-05,0.000803,0.004919,0.006824,0.007876,0.01056,0.01114,0.022414,0.031507,0.006301,0.002261,0.006317,0.016683,0.000155,0.005856
1960-01-01,2.4e-05,6.1e-05,0.000754,0.004942,0.006952,0.008234,0.010894,0.011637,0.023172,0.032175,0.006316,0.002364,0.006485,0.017155,0.000158,0.006028
1961-01-01,2.5e-05,5.5e-05,0.000703,0.004962,0.007082,0.0086,0.011229,0.012135,0.02393,0.03285,0.006332,0.002466,0.006657,0.017625,0.000161,0.006196
1962-01-01,2.6e-05,4.9e-05,0.000653,0.004981,0.007206,0.008962,0.011558,0.012624,0.02469,0.033516,0.006346,0.002568,0.006827,0.018096,0.000162,0.00637
1963-01-01,2.6e-05,4.3e-05,0.000604,0.005005,0.007334,0.009323,0.011891,0.013114,0.025449,0.034187,0.006362,0.002673,0.007,0.018565,0.000166,0.006544
1964-01-01,2.6e-05,3.8e-05,0.000554,0.005027,0.007458,0.009681,0.012225,0.013612,0.026208,0.034859,0.006378,0.002772,0.007168,0.019039,0.00017,0.006715
1965-01-01,2.6e-05,3.3e-05,0.000505,0.005047,0.007587,0.010047,0.012559,0.014102,0.026966,0.035527,0.006393,0.002875,0.007341,0.019509,0.000172,0.006886
1966-01-01,2.7e-05,3.3e-05,0.000488,0.004912,0.007603,0.010182,0.012573,0.014135,0.027535,0.036115,0.006748,0.003361,0.007429,0.020125,0.000176,0.007046
1967-01-01,2.8e-05,3.5e-05,0.000473,0.004781,0.007614,0.010323,0.012589,0.014167,0.028106,0.036698,0.007106,0.003847,0.007523,0.020741,0.00018,0.007203
1968-01-01,2.9e-05,3.6e-05,0.000455,0.004647,0.007623,0.010458,0.012608,0.014197,0.028672,0.037282,0.007464,0.004332,0.007619,0.021356,0.000184,0.007362
1969-01-01,3e-05,3.8e-05,0.000439,0.00451,0.007637,0.010601,0.01262,0.014227,0.029242,0.037869,0.007819,0.004818,0.00771,0.021971,0.000187,0.007516
1970-01-01,3.1e-05,3.9e-05,0.000423,0.004379,0.007651,0.010738,0.012638,0.01426,0.029809,0.038454,0.008178,0.005302,0.007806,0.022588,0.000191,0.007676
1971-01-01,3.1e-05,4.1e-05,0.000408,0.004245,0.007667,0.01088,0.012652,0.01429,0.030378,0.039038,0.008534,0.005788,0.007898,0.023203,0.000195,0.007835
1972-01-01,3.1e-05,4.2e-05,0.00039,0.004113,0.007676,0.011016,0.012666,0.014327,0.030949,0.03962,0.008892,0.006273,0.007994,0.023819,0.000199,0.007994
1973-01-01,3.2e-05,4.3e-05,0.000374,0.003978,0.007691,0.011155,0.012682,0.014356,0.031518,0.040205,0.009248,0.00676,0.008084,0.024435,0.000203,0.00815
1974-01-01,3.2e-05,4.5e-05,0.000358,0.003844,0.007702,0.011294,0.012697,0.014388,0.032086,0.040792,0.009607,0.007244,0.008179,0.025051,0.000206,0.00831
1975-01-01,3.3e-05,4.6e-05,0.000342,0.003711,0.007714,0.011434,0.012713,0.01442,0.032655,0.041374,0.009963,0.00773,0.008274,0.025667,0.00021,0.008469
1976-01-01,3.4e-05,4.8e-05,0.000325,0.003576,0.00773,0.011574,0.012728,0.014451,0.033224,0.041961,0.010321,0.008215,0.008367,0.026283,0.000214,0.008625
1977-01-01,3.4e-05,4.7e-05,0.000325,0.003526,0.007754,0.011527,0.013268,0.014815,0.033999,0.042839,0.010465,0.008351,0.00848,0.026898,0.000211,0.008822
1978-01-01,3.4e-05,4.6e-05,0.000327,0.003474,0.007784,0.011473,0.013802,0.015183,0.034771,0.043718,0.010611,0.008487,0.008599,0.027514,0.000209,0.009026
1979-01-01,3.4e-05,4.6e-05,0.000331,0.003423,0.007813,0.011432,0.014342,0.015549,0.035547,0.044595,0.010753,0.008624,0.00871,0.028129,0.000206,0.009224
1980-01-01,3.5e-05,4.5e-05,0.000334,0.00337,0.007836,0.011385,0.014878,0.015918,0.036321,0.045472,0.010899,0.008759,0.008826,0.028746,0.000202,0.009424
1981-01-01,3.5e-05,4.5e-05,0.000334,0.003317,0.007865,0.011335,0.01542,0.016283,0.037095,0.046356,0.011044,0.008895,0.00894,0.029361,2e-04,0.009624
1982-01-01,3.5e-05,4.4e-05,0.000335,0.003266,0.007892,0.01129,0.015952,0.016648,0.03787,0.047234,0.01119,0.009029,0.009054,0.029976,0.000197,0.009823
1983-01-01,3.5e-05,4.3e-05,0.000337,0.003215,0.007918,0.011242,0.016492,0.017014,0.038645,0.04811,0.011336,0.009166,0.009169,0.030591,0.000194,0.010022
1984-01-01,3.5e-05,4.3e-05,0.000339,0.003161,0.007946,0.011198,0.017032,0.017383,0.039422,0.048988,0.011479,0.009301,0.009284,0.031208,0.000191,0.010222
1985-01-01,3.6e-05,4.3e-05,0.00034,0.003111,0.007976,0.011153,0.017567,0.017748,0.040191,0.049869,0.011624,0.009436,0.0094,0.031823,0.000188,0.010419
1986-01-01,3.6e-05,4.2e-05,0.000341,0.003058,0.008001,0.011107,0.018104,0.018114,0.040968,0.050741,0.011768,0.009574,0.009514,0.032441,0.000185,0.010623
1987-01-01,3.6e-05,4.1e-05,0.000343,0.003008,0.008026,0.011057,0.018644,0.018481,0.041737,0.051622,0.011914,0.009708,0.009627,0.033056,0.000181,0.010822
1988-01-01,3.7e-05,4e-05,0.000344,0.002954,0.008056,0.011013,0.019181,0.018846,0.042515,0.052501,0.012059,0.009845,0.009741,0.03367,0.000178,0.011022
1989-01-01,3.7e-05,4e-05,0.000347,0.002904,0.008085,0.010963,0.019716,0.019217,0.043285,0.053382,0.012203,0.00998,0.009857,0.034287,0.000175,0.011221
1990-01-01,3.7e-05,4e-05,0.000348,0.002852,0.008109,0.010921,0.020257,0.019579,0.044061,0.054258,0.012348,0.010116,0.009969,0.034903,0.000174,0.011423
1991-01-01,3.7e-05,3.9e-05,0.000348,0.002799,0.008137,0.010872,0.020794,0.019946,0.044839,0.055137,0.012495,0.010251,0.010086,0.035517,0.000171,0.01162
1992-01-01,3.7e-05,3.7e-05,0.00035,0.002749,0.008161,0.010825,0.021331,0.020314,0.04561,0.056015,0.012639,0.010386,0.0102,0.036133,0.000168,0.011818
1993-01-01,3.8e-05,3.7e-05,0.000352,0.002695,0.008192,0.010777,0.021868,0.020681,0.046385,0.056892,0.012782,0.010522,0.010315,0.036748,0.000165,0.01202
