Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,1.9e-05,7.9e-05,0.001266,0.00366,0.005044,0.002933,0.005209,0.005268,0.013665,0.011725,0.002782,0.001355,0.004364,0.007162,0.000238,0.002816
1951-01-01,1.9e-05,7.6e-05,0.001223,0.00372,0.005226,0.003349,0.005603,0.005779,0.014241,0.012825,0.002917,0.001413,0.004584,0.007807,0.000233,0.003042
1952-01-01,1.9e-05,7.3e-05,0.001183,0.003782,0.005408,0.003765,0.006001,0.006297,0.014811,0.013922,0.003054,0.00147,0.004804,0.008453,0.000228,0.003266
1953-01-01,1.8e-05,6.9e-05,0.001142,0.003844,0.005585,0.004178,0.006394,0.006812,0.015385,0.015022,0.003191,0.001529,0.005025,0.0091,0.000224,0.00349
1954-01-01,1.7e-05,6.6e-05,0.001101,0.003902,0.005772,0.004592,0.006788,0.007328,0.015961,0.01612,0.003328,0.001588,0.005247,0.009745,0.000219,0.003714
1955-01-01,1.7e-05,6.4e-05,0.001062,0.003966,0.005954,0.005008,0.007183,0.007843,0.016532,0.017215,0.003466,0.001644,0.005465,0.010392,0.000215,0.003937
1956-01-01,1.7e-05,6.1e-05,0.001019,0.004027,0.006137,0.005422,0.007581,0.008353,0.017103,0.018315,0.003602,0.001704,0.005686,0.011036,0.00021,0.004162
1957-01-01,1.7e-05,5.8e-05,0.000979,0.004086,0.006318,0.005834,0.007977,0.008871,0.017677,0.019411,0.00374,0.001762,0.005905,0.011682,0.000205,0.004385
1958-01-01,1.6e-05,5.4e-05,0.000937,0.004146,0.006497,0.006252,0.008368,0.009388,0.018252,0.020512,0.003876,0.00182,0.006128,0.01233,0.000202,0.004611
1959-01-01,1.6e-05,5.1e-05,0.000897,0.00421,0.006684,0.006667,0.008765,0.009899,0.018825,0.021609,0.004014,0.001877,0.006347,0.012976,0.000197,0.004835
1960-01-01,1.6e-05,4.9e-05,0.000855,0.004271,0.006862,0.007081,0.009155,0.010415,0.019398,0.022706,0.004149,0.001936,0.006568,0.013622,0.000192,0.005061
1961-01-01,1.6e-05,4.7e-05,0.000815,0.004329,0.007044,0.007496,0.009558,0.010929,0.01997,0.023804,0.004288,0.001995,0.006792,0.014267,0.000188,0.005283
1962-01-01,1.4e-05,4.4e-05,0.000774,0.004391,0.007224,0.007913,0.009951,0.011442,0.020541,0.0249,0.004423,0.002051,0.007011,0.014914,0.000183,0.005507
1963-01-01,1.4e-05,4e-05,0.000735,0.004452,0.007407,0.008328,0.010344,0.011959,0.021115,0.026001,0.004562,0.002111,0.007229,0.01556,0.000178,0.00573
1964-01-01,1.4e-05,3.7e-05,0.000693,0.004514,0.007594,0.008741,0.010741,0.012475,0.021691,0.027096,0.0047,0.002167,0.007448,0.016205,0.000174,0.005956
1965-01-01,1.4e-05,3.5e-05,0.000653,0.004574,0.007773,0.009155,0.011136,0.01299,0.022259,0.028197,0.004836,0.002225,0.007674,0.016851,0.000169,0.006181
1966-01-01,1.4e-05,3.5e-05,0.000632,0.004501,0.007858,0.009155,0.011017,0.013098,0.023115,0.028945,0.005222,0.00268,0.007689,0.017332,0.000171,0.006254
1967-01-01,1.4e-05,3.6e-05,0.000609,0.004432,0.007931,0.00915,0.010896,0.013205,0.023965,0.029693,0.005604,0.003133,0.007706,0.017816,0.000174,0.006329
1968-01-01,1.4e-05,3.6e-05,0.000589,0.004361,0.00801,0.009146,0.010779,0.013311,0.024824,0.030443,0.00599,0.003587,0.00772,0.018299,0.000176,0.006406
1969-01-01,1.4e-05,3.7e-05,0.000565,0.004291,0.008094,0.009141,0.010655,0.013419,0.025674,0.031194,0.006374,0.004039,0.007739,0.018784,0.000178,0.006477
1970-01-01,1.4e-05,3.8e-05,0.000545,0.00422,0.008174,0.009142,0.010537,0.013531,0.026529,0.031942,0.006757,0.004495,0.007756,0.019266,0.00018,0.006553
1971-01-01,1.4e-05,3.9e-05,0.000524,0.004147,0.008254,0.009139,0.010421,0.013633,0.027384,0.032689,0.007143,0.004949,0.00777,0.019748,0.000183,0.006626
1972-01-01,1.5e-05,3.9e-05,0.000502,0.004076,0.008332,0.009136,0.010305,0.013741,0.028235,0.033439,0.007527,0.005402,0.007789,0.020234,0.000185,0.006701
