Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,5e-06,1.6e-05,0.00041,0.004557,0.008739,0.011819,0.027724,0.02753,0.063729,0.031896,0.002329,0.003399,0.004922,0.02437,0.000144,0.019838
1951-01-01,5e-06,1.4e-05,0.00039,0.004442,0.008475,0.011357,0.027132,0.027502,0.062837,0.031746,0.002315,0.003268,0.00476,0.023957,0.000137,0.019478
1952-01-01,4e-06,1.4e-05,0.000368,0.004331,0.008214,0.010891,0.026547,0.027473,0.061949,0.0316,0.002303,0.003135,0.004598,0.023549,0.00013,0.019115
1953-01-01,4e-06,1.3e-05,0.000347,0.004221,0.007955,0.010431,0.025955,0.027444,0.061058,0.031445,0.002292,0.003,0.004434,0.023132,0.000123,0.018758
1954-01-01,3e-06,1.3e-05,0.000326,0.004111,0.007698,0.00997,0.025368,0.02741,0.060171,0.031295,0.002278,0.002869,0.004271,0.022722,0.000117,0.0184
1955-01-01,3e-06,1.2e-05,0.000304,0.003999,0.007433,0.009506,0.024782,0.027384,0.059283,0.031145,0.002265,0.002737,0.004111,0.022309,0.000109,0.01804
1956-01-01,3e-06,1.1e-05,0.000285,0.003888,0.007172,0.009045,0.024191,0.027356,0.058397,0.030999,0.002254,0.002607,0.003951,0.021897,0.000103,0.01768
1957-01-01,3e-06,1.1e-05,0.000262,0.003777,0.006913,0.008583,0.023607,0.027325,0.057507,0.030851,0.002241,0.002474,0.003789,0.021485,9.6e-05,0.01732
1958-01-01,3e-06,1.1e-05,0.000241,0.003668,0.006655,0.008123,0.023016,0.027293,0.056621,0.030696,0.002228,0.002343,0.003627,0.021071,8.8e-05,0.016962
1959-01-01,2e-06,1e-05,0.000221,0.003556,0.006393,0.007659,0.02243,0.027267,0.055731,0.030547,0.002215,0.002212,0.003465,0.02066,8.2e-05,0.016602
1960-01-01,2e-06,7e-06,0.000199,0.003442,0.006134,0.007197,0.021841,0.027233,0.054841,0.0304,0.002203,0.002081,0.0033,0.020248,7.5e-05,0.01624
1961-01-01,2e-06,6e-06,0.000178,0.003334,0.005874,0.006732,0.021251,0.027202,0.053952,0.030246,0.002191,0.001947,0.003138,0.019835,6.6e-05,0.015881
1962-01-01,2e-06,6e-06,0.000157,0.003223,0.005613,0.006272,0.020666,0.027174,0.053062,0.030095,0.002179,0.001816,0.002976,0.019422,6.1e-05,0.015524
1963-01-01,2e-06,6e-06,0.000135,0.003113,0.005353,0.005807,0.020074,0.027146,0.052175,0.029943,0.002167,0.001683,0.002814,0.01901,5.3e-05,0.015164
1964-01-01,1e-06,5e-06,0.000115,0.003,0.005095,0.005348,0.019487,0.027115,0.051287,0.029798,0.002151,0.00155,0.00265,0.018601,4.6e-05,0.014804
1965-01-01,1e-06,4e-06,9.3e-05,0.00289,0.004837,0.004882,0.018901,0.027084,0.050401,0.029647,0.00214,0.00142,0.002491,0.018185,3.9e-05,0.014446
1966-01-01,1e-06,4e-06,8.7e-05,0.002763,0.004589,0.004721,0.018288,0.027389,0.049968,0.029713,0.00219,0.001354,0.002283,0.017667,3.7e-05,0.013966
1967-01-01,1e-06,4e-06,8.2e-05,0.002639,0.004344,0.004561,0.017677,0.027698,0.049536,0.029781,0.002241,0.001287,0.002077,0.017151,3.3e-05,0.013487
1968-01-01,1e-06,4e-06,7.7e-05,0.002512,0.004103,0.004389,0.017064,0.027998,0.049111,0.029849,0.002289,0.001221,0.001868,0.016631,3e-05,0.013011
1969-01-01,1e-06,4e-06,7.2e-05,0.002385,0.003863,0.004228,0.01645,0.028305,0.048674,0.029919,0.002336,0.001156,0.001661,0.016113,2.6e-05,0.012533
1970-01-01,1e-06,2e-06,6.6e-05,0.002262,0.003622,0.004062,0.01584,0.028611,0.04825,0.029987,0.002388,0.001089,0.001455,0.015593,2.4e-05,0.012058
1971-01-01,1e-06,2e-06,6.1e-05,0.002136,0.003373,0.003899,0.015226,0.028919,0.047816,0.030057,0.002436,0.001024,0.001249,0.015073,2.1e-05,0.011579
1972-01-01,1e-06,2e-06,5.6e-05,0.002013,0.003131,0.003733,0.014615,0.029223,0.047386,0.030127,0.002485,0.000957,0.001043,0.014555,1.8e-05,0.011103
1973-01-01,1e-06,2e-06,5.1e-05,0.001885,0.002889,0.003567,0.013999,0.02953,0.046957,0.030196,0.002535,0.000894,0.000834,0.014037,1.4e-05,0.010627
1974-01-01,0,2e-06,4.6e-05,0.001757,0.00265,0.003404,0.013387,0.029829,0.046528,0.030262,0.002585,0.000828,0.000628,0.013519,1.1e-05,0.010148
1975-01-01,0,0,4e-05,0.001632,0.002404,0.003243,0.012775,0.030134,0.046098,0.030329,0.002632,0.000761,0.000417,0.012999,9e-06,0.009667
1976-01-01,0,0,3.4e-05,0.001508,0.002162,0.003078,0.012165,0.030439,0.045663,0.0304,0.002683,0.000695,0.000211,0.012479,5e-06,0.009193
1977-01-01,0,0,3.4e-05,0.001447,0.002081,0.002967,0.011878,0.029743,0.045263,0.030338,0.002657,0.000677,0.00021,0.012458,6e-06,0.009033
1978-01-01,0,0,3.4e-05,0.001385,0.001997,0.002858,0.011595,0.029045,0.04487,0.03028,0.002629,0.000658,0.000207,0.012435,6e-06,0.008871
1979-01-01,0,0,3.5e-05,0.001326,0.001914,0.00275,0.011305,0.028342,0.044471,0.030223,0.002601,0.000641,0.000207,0.012414,7e-06,0.008712
1980-01-01,0,0,3.6e-05,0.001268,0.001832,0.00264,0.011022,0.027647,0.044073,0.030167,0.002575,0.000622,0.000204,0.012393,8e-06,0.008551
1981-01-01,0,0,3.6e-05,0.001209,0.001752,0.002535,0.010738,0.026954,0.043678,0.03011,0.002547,0.000605,0.000201,0.012371,9e-06,0.008389
1982-01-01,1e-06,0,3.7e-05,0.001148,0.001669,0.002423,0.010455,0.026257,0.043279,0.030051,0.002524,0.000583,0.000199,0.012348,9e-06,0.00823
1983-01-01,1e-06,0,3.6e-05,0.001087,0.001591,0.002316,0.010169,0.025556,0.042879,0.029992,0.002495,0.000566,0.000196,0.012328,1e-05,0.008069
1984-01-01,1e-06,0,3.6e-05,0.001026,0.001504,0.002211,0.009884,0.02486,0.04248,0.029935,0.002468,0.000548,0.000196,0.012306,1e-05,0.007905
1985-01-01,1e-06,0,3.6e-05,0.000966,0.001424,0.0021,0.009597,0.02416,0.042086,0.029876,0.00244,0.000531,0.000196,0.012283,1.1e-05,0.007748
1986-01-01,1e-06,0,3.6e-05,0.000906,0.001339,0.001994,0.009312,0.023467,0.041683,0.029819,0.002414,0.00051,0.00019,0.012261,1.2e-05,0.007586
1987-01-01,1e-06,1e-06,3.5e-05,0.000849,0.001261,0.001884,0.009031,0.02277,0.04129,0.029761,0.002387,0.000495,0.000188,0.01224,1.3e-05,0.007425
1988-01-01,1e-06,1e-06,3.5e-05,0.000789,0.001175,0.001778,0.008748,0.022076,0.040891,0.029704,0.002361,0.000475,0.000187,0.012218,1.4e-05,0.007266
1989-01-01,1e-06,1e-06,3.5e-05,0.00073,0.001095,0.001666,0.008461,0.021377,0.040495,0.029645,0.002334,0.000457,0.000186,0.012197,1.4e-05,0.007106
1990-01-01,1e-06,1e-06,3.6e-05,0.000667,0.001012,0.001556,0.008175,0.02068,0.040099,0.029586,0.002306,0.000439,0.000183,0.012175,1.4e-05,0.006945
1991-01-01,1e-06,1e-06,3.6e-05,0.000609,0.000929,0.00145,0.007892,0.019978,0.039695,0.029531,0.00228,0.000422,0.000179,0.012153,1.6e-05,0.006784
1992-01-01,1e-06,1e-06,3.6e-05,0.000548,0.000849,0.001338,0.007606,0.019285,0.039299,0.029466,0.002253,0.000401,0.000176,0.012132,1.5e-05,0.006623
1993-01-01,1e-06,1e-06,3.6e-05,0.000489,0.000767,0.001231,0.007319,0.018589,0.038905,0.02941,0.002227,0.000383,0.000174,0.012109,1.5e-05,0.006461
1994-01-01,1e-06,1e-06,3.7e-05,0.000426,0.000684,0.001123,0.007033,0.017894,0.038506,0.029357,0.002201,0.000364,0.000173,0.012086,1.6e-05,0.006303
1995-01-01,1e-06,1e-06,3.7e-05,0.000367,0.000602,0.001018,0.006749,0.017192,0.038104,0.029296,0.002173,0.000347,0.000173,0.012066,1.7e-05,0.00614
1996-01-01,1e-06,1e-06,3.7e-05,0.000308,0.000517,0.000908,0.006466,0.016495,0.037708,0.029235,0.002145,0.000329,0.000171,0.012045,1.7e-05,0.005979
1997-01-01,1e-06,1e-06,3.7e-05,0.000248,0.000437,0.000799,0.006181,0.015798,0.037312,0.02918,0.00212,0.000311,0.000167,0.012024,1.9e-05,0.005819
1998-01-01,1e-06,2e-06,3.3e-05,0.000232,0.000401,0.000757,0.005831,0.01516,0.03612,0.028248,0.002065,0.00029,0.000158,0.01163,1.7e-05,0.005466
1999-01-01,1e-06,2e-06,3e-05,0.000218,0.00037,0.000708,0.005476,0.014522,0.034921,0.027314,0.002008,0.000274,0.000151,0.011244,1.6e-05,0.005113
2000-01-01,1e-06,3e-06,2.7e-05,0.000205,0.000336,0.000664,0.005128,0.013886,0.033731,0.026381,0.001952,0.000256,0.000144,0.010853,1.4e-05,0.004758
2001-01-01,1e-06,3e-06,2.4e-05,0.000193,0.000303,0.000622,0.004774,0.013245,0.032536,0.025451,0.001898,0.000237,0.000139,0.010463,1.4e-05,0.0044
2002-01-01,1e-06,2e-06,2e-05,0.000175,0.000267,0.000573,0.004425,0.012609,0.031344,0.024517,0.00184,0.000216,0.000129,0.010072,1.1e-05,0.004049
2003-01-01,1e-06,4e-06,1.7e-05,0.000161,0.000234,0.000527,0.004074,0.011967,0.030151,0.023588,0.001784,0.000198,0.000121,0.009684,1e-05,0.003694
