Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,5e-06,0.000203,0.001851,0.0079,0.011981,0.016183,0.024353,0.014138,0.036698,0.02321,0.003085,0.00227,0.011328,0.023569,6e-05,0.011052
1951-01-01,5e-06,0.000195,0.00178,0.007767,0.011753,0.016367,0.024499,0.014441,0.037193,0.0245,0.003412,0.002339,0.011233,0.02384,6.3e-05,0.011148
1952-01-01,5e-06,0.000189,0.001709,0.007638,0.011525,0.016555,0.024652,0.014742,0.037689,0.025792,0.003741,0.002408,0.011136,0.024116,6.6e-05,0.011244
1953-01-01,5e-06,0.000182,0.001641,0.007503,0.0113,0.016739,0.024797,0.015052,0.038183,0.027086,0.004068,0.002477,0.011039,0.024389,7e-05,0.011339
1954-01-01,6e-06,0.000176,0.001571,0.007371,0.011079,0.016922,0.024949,0.015355,0.038682,0.028378,0.004397,0.002545,0.010946,0.024662,7.2e-05,0.011435
1955-01-01,6e-06,0.000169,0.001499,0.007239,0.010854,0.017108,0.025095,0.015658,0.039178,0.02967,0.004724,0.002614,0.010848,0.024938,7.5e-05,0.011531
1956-01-01,6e-06,0.000162,0.001429,0.007104,0.010626,0.017294,0.025248,0.015961,0.039672,0.030962,0.00505,0.002683,0.01075,0.025209,7.8e-05,0.011626
1957-01-01,6e-06,0.000155,0.001358,0.00697,0.010403,0.017478,0.025398,0.016267,0.040171,0.032254,0.005378,0.002752,0.010655,0.025484,8.2e-05,0.011722
1958-01-01,6e-06,0.000148,0.00129,0.006839,0.010177,0.017663,0.025544,0.016572,0.040666,0.033544,0.005705,0.002819,0.010559,0.025755,8.5e-05,0.011819
1959-01-01,6e-06,0.000141,0.001219,0.006707,0.009951,0.017851,0.025696,0.016874,0.041164,0.034841,0.006033,0.002888,0.010461,0.026032,8.7e-05,0.011912
1960-01-01,6e-06,0.000134,0.001148,0.006575,0.009725,0.018034,0.025844,0.017177,0.041657,0.03613,0.006363,0.002958,0.010365,0.026304,9.1e-05,0.012007
1961-01-01,7e-06,0.000127,0.001079,0.006439,0.009503,0.018213,0.025992,0.01748,0.042154,0.037422,0.006688,0.003028,0.010267,0.026577,9.4e-05,0.012099
1962-01-01,7e-06,0.000122,0.001008,0.00631,0.00928,0.018401,0.026144,0.017789,0.042651,0.038715,0.007014,0.003096,0.010174,0.026853,9.8e-05,0.012195
1963-01-01,7e-06,0.000115,0.000938,0.006177,0.009048,0.018593,0.026295,0.018091,0.043146,0.040007,0.007343,0.003165,0.010075,0.027125,0.000101,0.01229
1964-01-01,8e-06,0.000108,0.000867,0.006048,0.008826,0.018773,0.026437,0.018397,0.043641,0.0413,0.00767,0.003233,0.009977,0.027396,0.000104,0.012385
1965-01-01,8e-06,0.000101,0.000796,0.005913,0.008599,0.01896,0.026592,0.018699,0.044136,0.042591,0.007998,0.003302,0.009883,0.02767,0.000107,0.012483
1966-01-01,8e-06,9.2e-05,0.000756,0.0057,0.008461,0.018483,0.025827,0.019043,0.045425,0.044884,0.008516,0.003819,0.009614,0.028459,0.000106,0.012418
1967-01-01,8e-06,8.3e-05,0.000717,0.005489,0.008318,0.018007,0.025067,0.019386,0.046714,0.047182,0.009035,0.004335,0.009344,0.029246,0.000105,0.012353
1968-01-01,8e-06,7.5e-05,0.000673,0.005277,0.008181,0.01753,0.024303,0.019732,0.048,0.049472,0.009554,0.004851,0.009073,0.030032,0.000105,0.012287
