Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.000138,0.000743,0.009489,0.041311,0.062545,0.064383,0.105657,0.094895,0.209599,0.190119,0.041053,0.014728,0.064859,0.124206,0.001124,0.061731
1951-01-01,0.000143,0.000717,0.009132,0.041042,0.062306,0.065506,0.106368,0.09704,0.211587,0.194195,0.041238,0.015079,0.064818,0.125597,0.001147,0.062007
1952-01-01,0.000148,0.000695,0.008775,0.040785,0.062062,0.066628,0.107102,0.099187,0.213566,0.198265,0.041426,0.015428,0.064759,0.127002,0.001174,0.06227
1953-01-01,0.000149,0.000667,0.008426,0.040527,0.061825,0.067757,0.107809,0.101341,0.215543,0.202342,0.041616,0.015773,0.064703,0.128394,0.001202,0.06254
1954-01-01,0.000153,0.000646,0.008072,0.040258,0.061591,0.068875,0.108534,0.10349,0.217532,0.206405,0.041803,0.016125,0.064656,0.129791,0.001228,0.062811
1955-01-01,0.000157,0.000624,0.007717,0.040001,0.061354,0.070001,0.109254,0.105642,0.219518,0.210473,0.041994,0.016469,0.0646,0.131193,0.001252,0.063083
1956-01-01,0.000162,0.000599,0.007362,0.039741,0.061112,0.071127,0.109983,0.107784,0.221504,0.21456,0.042182,0.016823,0.064558,0.13258,0.00128,0.063349
1957-01-01,0.000166,0.000577,0.007007,0.039477,0.060875,0.072237,0.110712,0.109942,0.22349,0.218628,0.042366,0.017173,0.064504,0.133982,0.001307,0.063614
1958-01-01,0.00017,0.000552,0.006654,0.039219,0.060629,0.073371,0.111416,0.112085,0.225475,0.222692,0.042556,0.01752,0.064452,0.135372,0.001332,0.063888
1959-01-01,0.000173,0.000529,0.006302,0.03896,0.060393,0.074493,0.112149,0.114232,0.227457,0.226769,0.042742,0.017869,0.064397,0.136774,0.001358,0.064154
1960-01-01,0.000177,0.000502,0.005946,0.038696,0.060162,0.075613,0.112857,0.11638,0.229439,0.230837,0.042931,0.018221,0.064344,0.138169,0.001385,0.06443
1961-01-01,0.000183,0.000481,0.005591,0.03843,0.05993,0.076734,0.113589,0.11853,0.231422,0.234914,0.043126,0.01857,0.064298,0.139564,0.001409,0.06469
1962-01-01,0.000186,0.000459,0.005237,0.038172,0.059681,0.077867,0.11431,0.120682,0.233404,0.238973,0.043307,0.018916,0.064251,0.140959,0.001436,0.064962
1963-01-01,0.00019,0.000433,0.004884,0.037914,0.059442,0.079,0.11503,0.12283,0.235393,0.243051,0.0435,0.019268,0.064194,0.142357,0.001462,0.065232
1964-01-01,0.000194,0.00041,0.00453,0.037653,0.059209,0.08011,0.115748,0.124981,0.237369,0.247126,0.043687,0.019611,0.064131,0.143755,0.001491,0.0655
1965-01-01,0.000198,0.000388,0.004177,0.037392,0.058965,0.081238,0.116476,0.127133,0.239355,0.251195,0.043877,0.019963,0.064095,0.145149,0.001514,0.065772
1966-01-01,0.000203,0.000381,0.004033,0.036597,0.059024,0.08143,0.115271,0.128538,0.243967,0.257298,0.046383,0.023001,0.063693,0.14863,0.001542,0.065964
1967-01-01,0.000212,0.000375,0.003893,0.035819,0.059065,0.081634,0.114069,0.129957,0.248577,0.263402,0.048888,0.026045,0.063308,0.152116,0.001568,0.066158
1968-01-01,0.000215,0.000368,0.003749,0.035029,0.059119,0.08181,0.112866,0.131368,0.253198,0.269496,0.051399,0.029079,0.062912,0.155594,0.001593,0.066351
1969-01-01,0.000221,0.000363,0.003606,0.034241,0.059187,0.082009,0.111657,0.132775,0.257806,0.275605,0.053899,0.03212,0.062511,0.159078,0.001617,0.06654
1970-01-01,0.000226,0.000356,0.003467,0.033451,0.059242,0.0822,0.11046,0.134199,0.262416,0.281705,0.056405,0.035161,0.062115,0.162562,0.001645,0.066738
1971-01-01,0.000232,0.000352,0.003325,0.032668,0.059295,0.082404,0.109255,0.135599,0.267033,0.287805,0.058914,0.038202,0.061729,0.166044,0.00167,0.066928
