Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,9.7e-05,1.6e-05,2.2e-05,0,2e-06,9e-06,3.2e-05,5e-06,4e-06,4.6e-05,0,0,1e-06,0,0.000718,1.5e-05
1951-01-01,9.7e-05,1.6e-05,2.1e-05,0,0,8e-06,3.1e-05,5e-06,2e-06,4.4e-05,0,0,1e-06,0,0.000725,1.4e-05
1952-01-01,9.8e-05,1.4e-05,1.9e-05,0,0,8e-06,2.9e-05,4e-06,2e-06,4e-05,0,0,1e-06,0,0.000734,1.2e-05
1953-01-01,1e-04,1.3e-05,1.8e-05,0,0,7e-06,2.6e-05,4e-06,2e-06,3.7e-05,0,0,1e-06,0,0.000742,1.1e-05
1954-01-01,0.000101,1.3e-05,1.7e-05,0,0,7e-06,2.6e-05,3e-06,2e-06,3.5e-05,0,0,1e-06,0,0.000749,1.1e-05
1955-01-01,0.000101,1.2e-05,1.6e-05,0,0,1.5e-05,2.1e-05,3e-06,2.1e-05,3.3e-05,0,0,1e-06,9e-06,0.000756,1.1e-05
1956-01-01,0.000103,1.1e-05,1.3e-05,0,0,6e-06,1.9e-05,3e-06,1e-06,2.8e-05,0,0,1e-06,0,0.000764,1.1e-05
1957-01-01,0.000104,1.1e-05,1.2e-05,0,0,5e-06,1.6e-05,3e-06,1e-06,2.4e-05,0,0,1e-06,0,0.000771,8e-06
1958-01-01,0.000105,1e-05,1e-05,0,0,3e-06,1.5e-05,2e-06,1e-06,2e-05,0,0,0,0,0.000778,7e-06
1959-01-01,0.000106,8e-06,9e-06,1e-06,0,3e-06,1.2e-05,2e-06,1e-06,1.8e-05,0,0,0,0,0.000787,6e-06
1960-01-01,0.000106,8e-06,7e-06,1e-06,0,3e-06,1e-05,2e-06,1e-06,1.3e-05,0,0,0,0,0.000794,3e-06
1961-01-01,0.000108,7e-06,7e-06,1e-06,0,2e-06,9e-06,2e-06,1e-06,1.2e-05,0,0,0,0,0.000803,3e-06
1962-01-01,0.000109,6e-06,4e-06,1e-06,0,2e-06,6e-06,0,0,9e-06,0,0,0,0,0.00081,3e-06
1963-01-01,0.00011,6e-06,3e-06,1e-06,0,1e-06,4e-06,0,0,6e-06,0,0,0,0,0.000818,0
1964-01-01,0.00011,4e-06,2e-06,1e-06,0,0,2e-06,0,0,2e-06,0,0,0,0,0.000826,0
1965-01-01,0.000112,3e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0.000834,0
1966-01-01,0.000112,3e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0.000833,0
1967-01-01,0.000111,3e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0.000832,0
1968-01-01,0.000111,3e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0.000832,0
1969-01-01,0.000111,4e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0.000831,0
1970-01-01,0.000111,4e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0.00083,0
1971-01-01,0.000111,4e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0.00083,0
1972-01-01,0.000111,4e-06,0,1e-06,0,0,0,0,0,0,0,0,0,0,0.000828,0
1973-01-01,0.000111,4e-06,0,1e-06,0,1e-06,0,0,0,0,0,0,0,0,0.000828,0
1974-01-01,0.000111,4e-06,0,1e-06,0,1e-06,0,0,0,0,0,0,0,0,0.000827,0
1975-01-01,0.00011,5e-06,0,1e-06,0,1e-06,0,0,0,0,0,0,0,0,0.000826,0
1976-01-01,0.00011,5e-06,0,1e-06,0,2e-06,0,0,0,0,0,0,0,0,0.000826,0
1977-01-01,0.00011,6e-06,0,1e-06,1e-06,2e-06,1e-06,1e-06,0,0,0,1e-06,0,0,0.000847,0
1978-01-01,0.00011,5e-06,0,1e-06,2e-06,3e-06,1e-06,1e-06,0,0,1e-06,2e-06,1e-06,1e-06,0.000869,0
1979-01-01,0.000111,5e-06,0,1e-06,3e-06,4e-06,4e-06,2e-06,0,0,1e-06,5e-06,2e-06,1e-06,0.000891,0
1980-01-01,0.000112,6e-06,0,1e-06,3e-06,4e-06,4e-06,2e-06,0,0,1e-06,5e-06,2e-06,2e-06,0.000914,0
1981-01-01,0.000112,6e-06,0,1e-06,4e-06,4e-06,6e-06,2e-06,0,0,2e-06,6e-06,3e-06,2e-06,0.000936,0
1982-01-01,0.000112,6e-06,0,1e-06,5e-06,7e-06,6e-06,2e-06,0,0,2e-06,7e-06,4e-06,2e-06,0.000957,0
1983-01-01,0.000112,6e-06,0,1e-06,7e-06,8e-06,9e-06,2e-06,0,0,2e-06,9e-06,5e-06,3e-06,0.00098,0
1984-01-01,0.000111,7e-06,0,1e-06,9e-06,9e-06,1e-05,2e-06,1e-06,0,2e-06,1.1e-05,6e-06,3e-06,0.001001,0
1985-01-01,0.000111,7e-06,0,1e-06,1.2e-05,1e-05,1.1e-05,3e-06,1e-06,0,3e-06,1.2e-05,7e-06,4e-06,0.001024,0
1986-01-01,0.000111,8e-06,1e-06,1e-06,1.3e-05,1.1e-05,1.3e-05,3e-06,1e-06,0,3e-06,1.3e-05,9e-06,4e-06,0.001046,0
1987-01-01,0.000111,9e-06,1e-06,2e-06,1.3e-05,1.1e-05,1.5e-05,3e-06,1e-06,0,3e-06,1.4e-05,1e-05,4e-06,0.001068,0
1988-01-01,0.000111,9e-06,1e-06,2e-06,1.5e-05,1.2e-05,1.5e-05,3e-06,1e-06,0,4e-06,1.5e-05,1.1e-05,5e-06,0.00109,0
1989-01-01,0.000111,9e-06,1e-06,2e-06,1.6e-05,1.2e-05,1.6e-05,3e-06,2e-06,0,4e-06,1.7e-05,1.2e-05,5e-06,0.001113,0
1990-01-01,0.000111,1e-05,1e-06,2e-06,1.7e-05,1.3e-05,1.7e-05,3e-06,2e-06,0,4e-06,1.9e-05,1.5e-05,6e-06,0.001135,0
1991-01-01,0.000111,1e-05,2e-06,2e-06,1.7e-05,1.4e-05,1.9e-05,3e-06,2e-06,0,5e-06,2.1e-05,1.6e-05,6e-06,0.001157,0
1992-01-01,0.000111,1e-05,2e-06,3e-06,1.9e-05,1.4e-05,2e-05,4e-06,3e-06,0,5e-06,2.2e-05,1.6e-05,7e-06,0.001178,0
1993-01-01,0.000111,1.1e-05,2e-06,3e-06,2.1e-05,1.4e-05,2.1e-05,4e-06,3e-06,1e-06,5e-06,2.3e-05,1.8e-05,8e-06,0.001199,0
1994-01-01,0.000111,1.1e-05,2e-06,3e-06,2.1e-05,1.5e-05,2.2e-05,5e-06,3e-06,1e-06,6e-06,2.3e-05,1.8e-05,8e-06,0.001222,0
1995-01-01,0.000111,1.1e-05,2e-06,3e-06,2.3e-05,1.5e-05,2.3e-05,5e-06,3e-06,1e-06,6e-06,2.6e-05,1.9e-05,9e-06,0.001244,0
1996-01-01,0.000111,1.1e-05,2e-06,3e-06,2.3e-05,1.6e-05,2.6e-05,5e-06,3e-06,1e-06,6e-06,2.7e-05,2e-05,1e-05,0.001266,0
1997-01-01,0.000111,1.2e-05,2e-06,3e-06,2.7e-05,1.8e-05,2.7e-05,5e-06,3e-06,1e-06,6e-06,2.9e-05,2.1e-05,1e-05,0.001288,0
1998-01-01,0.000112,1.1e-05,2e-06,3e-06,2.4e-05,1.7e-05,2.7e-05,5e-06,5e-06,3e-06,6e-06,2.8e-05,2e-05,1.1e-05,0.001226,0
1999-01-01,0.000113,1.2e-05,2e-06,3e-06,2.3e-05,1.9e-05,2.8e-05,4e-06,7e-06,5e-06,6e-06,3e-05,2e-05,1.1e-05,0.001163,0
2000-01-01,0.000115,1.1e-05,2e-06,4e-06,2.2e-05,1.9e-05,2.7e-05,4e-06,8e-06,5e-06,7e-06,2.9e-05,2e-05,1.2e-05,0.0011,0
2001-01-01,0.000116,1.1e-05,2e-06,4e-06,2.2e-05,2.3e-05,2.8e-05,3e-06,8e-06,6e-06,7e-06,2.9e-05,1.7e-05,1.4e-05,0.001038,0
2002-01-01,0.000116,1.1e-05,1e-06,4e-06,2.3e-05,2.4e-05,2.8e-05,3e-06,9e-06,1e-05,6e-06,2.9e-05,1.6e-05,1.5e-05,0.000975,0
2003-01-01,0.000118,1e-05,1e-06,4e-06,2.3e-05,2.5e-05,3e-05,3e-06,1.3e-05,1.3e-05,6e-06,3e-05,1.5e-05,1.6e-05,0.000914,0
2004-01-01,0.000119,9e-06,1e-06,4e-06,2.3e-05,2.7e-05,3.1e-05,2e-06,1.5e-05,1.4e-05,7e-06,3e-05,1.4e-05,1.7e-05,0.00085,0
2005-01-01,0.00012,8e-06,1e-06,4e-06,2.2e-05,2.7e-05,3e-05,3e-06,1.6e-05,1.7e-05,7e-06,3.1e-05,1.1e-05,1.8e-05,0.000788,0
2006-01-01,0.000121,8e-06,1e-06,5e-06,2.1e-05,2.8e-05,3e-05,3e-06,1.7e-05,2e-05,6e-06,3.2e-05,1.1e-05,1.8e-05,0.000724,0
2007-01-01,0.000122,9e-06,1e-06,5e-06,2e-05,2.9e-05,3.2e-05,3e-06,1.9e-05,2.3e-05,6e-06,3.1e-05,1e-05,1.8e-05,0.000663,0
2008-01-01,0.000123,8e-06,1e-06,5e-06,2.1e-05,3.1e-05,3.3e-05,3e-06,2e-05,2.5e-05,7e-06,3.2e-05,9e-06,2e-05,6e-04,0
2009-01-01,0.000124,8e-06,1e-06,5e-06,2.3e-05,3.3e-05,3.6e-05,2e-06,2.1e-05,2.6e-05,7e-06,3.1e-05,9e-06,2e-05,0.000542,0
2010-01-01,0.000125,7e-06,1e-06,5e-06,2.3e-05,3.5e-05,3.7e-05,2e-06,2.2e-05,2.8e-05,7e-06,3.1e-05,9e-06,2.2e-05,0.00052,0
2011-01-01,0.000125,7e-06,0,5e-06,2.5e-05,3.5e-05,4e-05,1e-06,2.5e-05,3e-05,6e-06,3.1e-05,9e-06,2.2e-05,0.000529,0
2012-01-01,0.000127,6e-06,0,6e-06,2.8e-05,3.8e-05,4.1e-05,1e-06,2.5e-05,3.2e-05,7e-06,3.2e-05,1.2e-05,2.5e-05,0.000536,1e-06
2013-01-01,0.000128,6e-06,0,7e-06,3e-05,3.8e-05,4.3e-05,1e-06,2.8e-05,3.3e-05,7e-06,3.2e-05,1.2e-05,2.5e-05,0.000544,1e-06
2014-01-01,0.000129,6e-06,0,7e-06,3.2e-05,4e-05,4.4e-05,1e-06,2.9e-05,3.7e-05,8e-06,3.2e-05,1.2e-05,2.6e-05,0.000551,2e-06
2015-01-01,0.000131,6e-06,0,6e-06,3.3e-05,4.2e-05,4.6e-05,1e-06,3.1e-05,3.8e-05,8e-06,3.3e-05,1.2e-05,2.7e-05,0.000559,2e-06
2016-01-01,0.000132,6e-06,0,6e-06,3.5e-05,4.5e-05,4.9e-05,1e-06,3.1e-05,4.1e-05,8e-06,3.3e-05,1.2e-05,2.7e-05,0.000568,3e-06
2017-01-01,0.000132,5e-06,0,6e-06,3.6e-05,4.6e-05,5.1e-05,1e-06,3.4e-05,4.1e-05,9e-06,3.4e-05,1.2e-05,2.9e-05,0.000575,3e-06
2018-01-01,0.000134,5e-06,1e-06,6e-06,3.7e-05,4.8e-05,5.5e-05,1e-06,3.5e-05,4.3e-05,9e-06,3.7e-05,1.3e-05,2.9e-05,0.000583,3e-06
2019-01-01,0.000135,5e-06,1e-06,6e-06,4e-05,5e-05,5.7e-05,2e-06,3.7e-05,4.5e-05,9e-06,3.7e-05,1.3e-05,3.1e-05,0.00059,3e-06
2020-01-01,0.000136,4e-06,1e-06,7e-06,4.1e-05,5.1e-05,5.8e-05,2e-06,3.9e-05,4.7e-05,8e-06,3.9e-05,1.3e-05,3.2e-05,0.000599,4e-06
