Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.000927,8.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001214,0
1951-01-01,0.000927,8.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001213,0
1952-01-01,0.000926,8.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001213,0
1953-01-01,0.000926,8.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001213,0
1954-01-01,0.000926,8.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001213,0
1955-01-01,0.000926,8.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001212,0
1956-01-01,0.000924,8.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001211,0
1957-01-01,0.000924,9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001211,0
1958-01-01,0.000923,9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001211,0
1959-01-01,0.000923,9.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001211,0
1960-01-01,0.000922,9.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001209,0
1961-01-01,0.000922,9.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001209,0
1962-01-01,0.000922,9.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001209,0
1963-01-01,0.000922,9.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001209,0
1964-01-01,0.000921,9.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001208,0
1965-01-01,0.000921,9.7e-05,0,0,1e-06,0,0,0,0,0,0,0,0,0,0.001207,0
1966-01-01,0.000839,0.000107,0,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0.001097,0
1967-01-01,0.000755,0.000119,0,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0.000989,0
1968-01-01,0.00067,0.000132,0,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0.000878,0
1969-01-01,0.000586,0.000144,0,3e-06,1e-06,0,0,0,0,0,0,0,0,0,0.000769,0
1970-01-01,0.000504,0.000156,0,3e-06,1e-06,0,0,0,0,0,0,0,0,0,0.000659,0
1971-01-01,0.000419,0.000166,0,3e-06,1e-06,0,0,0,0,0,0,0,0,0,0.000549,0
1972-01-01,0.000337,0.000178,0,4e-06,0,0,0,0,0,0,0,0,0,0,0.000439,0
1973-01-01,0.000252,0.000191,0,4e-06,0,0,0,0,0,0,0,0,0,0,0.000331,0
1974-01-01,0.000168,0.000203,0,4e-06,0,0,0,0,0,0,0,0,0,0,0.00022,0
1975-01-01,8.5e-05,0.000214,0,5e-06,0,0,0,0,0,0,0,0,0,0,0.000112,0
1976-01-01,1e-06,0.000225,0,5e-06,0,0,0,0,0,0,0,0,0,0,2e-06,0
1977-01-01,3.5e-05,0.000225,0,5e-06,0,0,0,0,1e-06,0,0,0,1e-06,0,8.5e-05,0
1978-01-01,6.9e-05,0.000224,0,5e-06,0,0,0,0,2e-06,0,0,0,3e-06,0,0.000169,0
1979-01-01,0.000104,0.000221,0,5e-06,2e-06,0,0,0,3e-06,0,0,0,3e-06,0,0.000253,0
1980-01-01,0.000136,0.00022,0,4e-06,2e-06,0,0,0,4e-06,0,0,0,3e-06,0,0.000338,0
1981-01-01,0.000172,0.000218,0,4e-06,2e-06,1e-06,0,0,4e-06,0,0,0,4e-06,0,0.000423,0
1982-01-01,0.000205,0.000216,0,4e-06,2e-06,1e-06,1e-06,0,6e-06,1e-06,0,0,5e-06,0,0.000506,0
1983-01-01,0.000239,0.000214,0,4e-06,2e-06,2e-06,1e-06,0,6e-06,1e-06,0,0,5e-06,0,0.00059,0
1984-01-01,0.000274,0.000211,0,4e-06,4e-06,2e-06,1e-06,1e-06,8e-06,1e-06,0,0,5e-06,2e-06,0.000673,0
1985-01-01,0.000309,0.00021,0,4e-06,5e-06,2e-06,1e-06,1e-06,9e-06,1e-06,0,0,5e-06,2e-06,0.000759,0
1986-01-01,0.000342,0.000209,0,4e-06,6e-06,2e-06,1e-06,1e-06,1e-05,2e-06,0,0,5e-06,2e-06,0.000842,0
1987-01-01,0.000376,0.000207,0,4e-06,6e-06,2e-06,1e-06,1e-06,1.1e-05,2e-06,0,0,5e-06,3e-06,0.000926,0
1988-01-01,0.00041,0.000205,0,3e-06,7e-06,2e-06,1e-06,2e-06,1.2e-05,2e-06,0,0,5e-06,3e-06,0.00101,0
1989-01-01,0.000445,0.000204,0,3e-06,9e-06,2e-06,1e-06,2e-06,1.3e-05,2e-06,0,0,5e-06,3e-06,0.001094,0
1990-01-01,0.000478,0.000201,0,3e-06,1e-05,2e-06,1e-06,2e-06,1.4e-05,3e-06,0,0,6e-06,3e-06,0.00118,0
