Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.001024,1e-04,2.2e-05,0,2e-06,9e-06,3.2e-05,5e-06,4e-06,4.6e-05,0,0,1e-06,0,0.001932,1.5e-05
1951-01-01,0.001024,0.000101,2.1e-05,0,0,8e-06,3.1e-05,5e-06,2e-06,4.4e-05,0,0,1e-06,0,0.001938,1.4e-05
1952-01-01,0.001024,9.9e-05,1.9e-05,0,0,8e-06,2.9e-05,4e-06,2e-06,4e-05,0,0,1e-06,0,0.001947,1.2e-05
1953-01-01,0.001026,9.9e-05,1.8e-05,0,0,7e-06,2.6e-05,4e-06,2e-06,3.7e-05,0,0,1e-06,0,0.001955,1.1e-05
1954-01-01,0.001027,1e-04,1.7e-05,0,0,7e-06,2.6e-05,3e-06,2e-06,3.5e-05,0,0,1e-06,0,0.001962,1.1e-05
1955-01-01,0.001027,1e-04,1.6e-05,0,0,1.5e-05,2.1e-05,3e-06,2.1e-05,3.3e-05,0,0,1e-06,9e-06,0.001968,1.1e-05
1956-01-01,0.001027,9.9e-05,1.3e-05,0,0,6e-06,1.9e-05,3e-06,1e-06,2.8e-05,0,0,1e-06,0,0.001975,1.1e-05
1957-01-01,0.001028,0.000101,1.2e-05,0,0,5e-06,1.6e-05,3e-06,1e-06,2.4e-05,0,0,1e-06,0,0.001982,8e-06
1958-01-01,0.001028,1e-04,1e-05,0,0,3e-06,1.5e-05,2e-06,1e-06,2e-05,0,0,0,0,0.001989,7e-06
1959-01-01,0.001029,1e-04,9e-06,1e-06,0,3e-06,1.2e-05,2e-06,1e-06,1.8e-05,0,0,0,0,0.001998,6e-06
1960-01-01,0.001028,1e-04,7e-06,1e-06,0,3e-06,1e-05,2e-06,1e-06,1.3e-05,0,0,0,0,0.002003,3e-06
1961-01-01,0.00103,1e-04,7e-06,1e-06,0,2e-06,9e-06,2e-06,1e-06,1.2e-05,0,0,0,0,0.002012,3e-06
1962-01-01,0.001031,9.9e-05,4e-06,1e-06,0,2e-06,6e-06,0,0,9e-06,0,0,0,0,0.002019,3e-06
1963-01-01,0.001032,0.000101,3e-06,1e-06,0,1e-06,4e-06,0,0,6e-06,0,0,0,0,0.002027,0
1964-01-01,0.001031,9.9e-05,2e-06,1e-06,0,0,2e-06,0,0,2e-06,0,0,0,0,0.002034,0
1965-01-01,0.001033,1e-04,0,1e-06,1e-06,0,0,0,0,0,0,0,0,0,0.002041,0
1966-01-01,0.000951,0.00011,0,2e-06,1e-06,0,0,0,0,0,0,0,0,0,0.00193,0
1967-01-01,0.000866,0.000122,0,2e-06,1e-06,0,0,0,0,0,0,0,0,0,0.001821,0
1968-01-01,0.000781,0.000135,0,2e-06,1e-06,0,0,0,0,0,0,0,0,0,0.00171,0
1969-01-01,0.000697,0.000148,0,4e-06,1e-06,0,0,0,0,0,0,0,0,0,0.0016,0
1970-01-01,0.000615,0.00016,0,4e-06,1e-06,0,0,0,0,0,0,0,0,0,0.001489,0
1971-01-01,0.00053,0.00017,0,4e-06,1e-06,0,0,0,0,0,0,0,0,0,0.001379,0
1972-01-01,0.000448,0.000182,0,5e-06,0,0,0,0,0,0,0,0,0,0,0.001267,0
1973-01-01,0.000363,0.000195,0,5e-06,0,1e-06,0,0,0,0,0,0,0,0,0.001159,0
1974-01-01,0.000279,0.000207,0,5e-06,0,1e-06,0,0,0,0,0,0,0,0,0.001047,0
1975-01-01,0.000195,0.000219,0,6e-06,0,1e-06,0,0,0,0,0,0,0,0,0.000938,0
1976-01-01,0.000111,0.00023,0,6e-06,0,2e-06,0,0,0,0,0,0,0,0,0.000828,0
1977-01-01,0.000145,0.000231,0,6e-06,1e-06,2e-06,1e-06,1e-06,1e-06,0,0,1e-06,1e-06,0,0.000932,0
1978-01-01,0.000179,0.000229,0,6e-06,2e-06,3e-06,1e-06,1e-06,2e-06,0,1e-06,2e-06,4e-06,1e-06,0.001038,0
1979-01-01,0.000215,0.000226,0,6e-06,5e-06,4e-06,4e-06,2e-06,3e-06,0,1e-06,5e-06,5e-06,1e-06,0.001144,0
1980-01-01,0.000248,0.000226,0,5e-06,5e-06,4e-06,4e-06,2e-06,4e-06,0,1e-06,5e-06,5e-06,2e-06,0.001252,0
1981-01-01,0.000284,0.000224,0,5e-06,6e-06,5e-06,6e-06,2e-06,4e-06,0,2e-06,6e-06,7e-06,2e-06,0.001359,0
1982-01-01,0.000317,0.000222,0,5e-06,7e-06,8e-06,7e-06,2e-06,6e-06,1e-06,2e-06,7e-06,9e-06,2e-06,0.001463,0
1983-01-01,0.000351,0.00022,0,5e-06,9e-06,1e-05,1e-05,2e-06,6e-06,1e-06,2e-06,9e-06,1e-05,3e-06,0.00157,0
1984-01-01,0.000385,0.000218,0,5e-06,1.3e-05,1.1e-05,1.1e-05,3e-06,9e-06,1e-06,2e-06,1.1e-05,1.1e-05,5e-06,0.001674,0
1985-01-01,0.00042,0.000217,0,5e-06,1.7e-05,1.2e-05,1.2e-05,4e-06,1e-05,1e-06,3e-06,1.2e-05,1.2e-05,6e-06,0.001783,0
