Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.002413,0.001875,0.001568,0.013686,0.001752,0.00146,0.001514,0.000184,0.000204,2e-04,0,0,0.001782,0.000111,0.001365,0.000251
1951-01-01,0.002346,0.001848,0.001728,0.013688,0.001839,0.001477,0.001538,0.000187,0.000213,0.000198,0,0,0.001736,0.000112,0.001327,0.000253
1952-01-01,0.002278,0.001821,0.001886,0.013691,0.001928,0.001488,0.001563,0.000191,0.000215,0.000195,0,0,0.00169,0.000114,0.001289,0.000253
1953-01-01,0.002211,0.001793,0.002044,0.013693,0.002014,0.001499,0.001586,0.000195,0.000218,0.000188,0,0,0.001651,0.000116,0.001251,0.000254
1954-01-01,0.002144,0.001764,0.002206,0.0137,0.002107,0.001514,0.001611,0.000199,0.000219,0.000187,0,0,0.001605,0.000118,0.001213,0.000254
1955-01-01,0.002076,0.001737,0.002363,0.013701,0.002195,0.001525,0.001635,0.000201,0.000222,0.000186,0,0,0.001563,0.000119,0.001175,0.000254
1956-01-01,0.00201,0.001711,0.002519,0.013704,0.002286,0.001538,0.001657,0.000203,0.000222,0.000184,0,0,0.001522,0.000122,0.001136,0.000254
1957-01-01,0.001942,0.001683,0.002681,0.013704,0.002376,0.001554,0.001681,0.000207,0.000227,0.000179,0,0,0.001479,0.000123,0.001099,0.000255
1958-01-01,0.001875,0.001655,0.002839,0.01371,0.002464,0.001567,0.001702,0.000209,0.00023,0.000178,0,0,0.001434,0.000125,0.001062,0.000256
1959-01-01,0.001807,0.001627,0.002997,0.013714,0.002551,0.001577,0.001728,0.000213,0.000232,0.000176,0,0,0.001396,0.000126,0.001023,0.000256
1960-01-01,0.001741,0.001599,0.003157,0.013717,0.00264,0.001593,0.001748,0.000216,0.000233,0.000173,0,0,0.001349,0.000129,0.000985,0.000257
1961-01-01,0.001674,0.001571,0.003315,0.013718,0.002729,0.001608,0.001775,0.000221,0.000237,0.000172,0,0,0.001307,0.000133,0.000947,0.000258
1962-01-01,0.001607,0.001544,0.003476,0.013724,0.002817,0.00162,0.001797,0.000223,0.000239,0.000168,0,0,0.001261,0.000134,0.000909,0.000259
1963-01-01,0.00154,0.001516,0.003634,0.013727,0.002906,0.00163,0.001821,0.000227,0.000242,0.000162,0,0,0.001217,0.000135,0.000872,0.000259
1964-01-01,0.001473,0.001489,0.003792,0.013729,0.002996,0.001645,0.001845,0.000231,0.000244,0.000159,0,0,0.001177,0.000137,0.000834,0.000259
1965-01-01,0.001405,0.001462,0.003951,0.013732,0.003082,0.001659,0.001869,0.000233,0.000246,0.000157,0,0,0.001133,0.000138,0.000795,0.000259
