Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.002514,0.002129,0.003655,0.024504,0.015949,0.022539,0.036515,0.020602,0.044371,0.023609,0.013409,0.011196,0.01984,0.013847,0.002264,0.019354
1951-01-01,0.002445,0.0021,0.003767,0.024713,0.016265,0.023014,0.03713,0.02073,0.043242,0.023447,0.013243,0.010954,0.020087,0.013719,0.002204,0.019412
1952-01-01,0.002375,0.002071,0.003875,0.024925,0.016582,0.02348,0.037751,0.020858,0.042111,0.023295,0.013074,0.010712,0.02034,0.013592,0.002146,0.019468
1953-01-01,0.002305,0.002041,0.003986,0.02514,0.016894,0.023949,0.038367,0.020989,0.040983,0.023136,0.012905,0.010467,0.020594,0.01346,0.002087,0.019523
1954-01-01,0.002236,0.00201,0.004098,0.025354,0.017212,0.024423,0.038986,0.021121,0.039845,0.022977,0.012739,0.010228,0.02084,0.013332,0.002027,0.019579
1955-01-01,0.002165,0.001981,0.004206,0.025564,0.017526,0.024886,0.039605,0.021247,0.038713,0.022825,0.012572,0.009983,0.021091,0.013201,0.001966,0.019634
1956-01-01,0.002096,0.001954,0.004314,0.025776,0.017843,0.025358,0.04022,0.021374,0.037578,0.02267,0.012403,0.009741,0.021342,0.013074,0.001907,0.019689
1957-01-01,0.002028,0.001923,0.004425,0.025987,0.018159,0.025829,0.040837,0.021502,0.03645,0.022511,0.012238,0.009497,0.021595,0.012943,0.001848,0.019748
1958-01-01,0.001958,0.001893,0.004535,0.026202,0.018475,0.026301,0.041454,0.02163,0.035317,0.022354,0.012069,0.009256,0.021848,0.012814,0.001789,0.019802
1959-01-01,0.001888,0.001863,0.004645,0.026415,0.018788,0.026767,0.042075,0.021761,0.034186,0.022199,0.0119,0.009014,0.022105,0.012683,0.001729,0.019856
1960-01-01,0.001819,0.001834,0.004755,0.026626,0.019102,0.027237,0.042687,0.021884,0.033053,0.022043,0.011734,0.00877,0.022349,0.012559,0.00167,0.019917
1961-01-01,0.001749,0.001804,0.004867,0.026836,0.019418,0.027708,0.043307,0.022018,0.031922,0.021885,0.011566,0.008526,0.022603,0.01243,0.001609,0.019969
1962-01-01,0.00168,0.001774,0.004976,0.027052,0.019732,0.02818,0.043921,0.022142,0.030787,0.021728,0.0114,0.008286,0.022852,0.012299,0.00155,0.020027
1963-01-01,0.001609,0.001744,0.005086,0.027262,0.020047,0.028645,0.044543,0.02227,0.029656,0.02157,0.01123,0.008042,0.023108,0.012167,0.001491,0.020081
1964-01-01,0.001542,0.001716,0.005195,0.027476,0.020365,0.029117,0.045161,0.022401,0.028525,0.021409,0.011063,0.007802,0.023359,0.01204,0.001431,0.020137
1965-01-01,0.00147,0.001687,0.005306,0.027689,0.020679,0.029586,0.045781,0.022529,0.027389,0.021259,0.010896,0.007557,0.023604,0.011908,0.001372,0.020194
1966-01-01,0.001417,0.001663,0.005156,0.027438,0.020652,0.029594,0.045747,0.022089,0.026961,0.020901,0.010848,0.007492,0.023232,0.011802,0.001325,0.020323
1967-01-01,0.001361,0.001639,0.005005,0.027187,0.020624,0.029614,0.045715,0.02165,0.026537,0.020544,0.010801,0.007426,0.022848,0.011696,0.001277,0.020451
1968-01-01,0.001307,0.001615,0.004856,0.026938,0.020589,0.029635,0.045682,0.021213,0.026107,0.020187,0.010754,0.00736,0.022468,0.011586,0.001228,0.020576
1969-01-01,0.001251,0.001591,0.004706,0.026691,0.02057,0.029644,0.045655,0.02077,0.025679,0.01983,0.010705,0.007293,0.022084,0.011476,0.001182,0.02071
1970-01-01,0.0012,0.001568,0.004553,0.026438,0.020538,0.029662,0.045617,0.020329,0.02525,0.019472,0.01066,0.007225,0.021704,0.011368,0.001136,0.020837
1971-01-01,0.001143,0.001542,0.004404,0.026187,0.020507,0.029678,0.045589,0.019895,0.024817,0.019121,0.010613,0.00716,0.021318,0.011258,0.001088,0.020965
1972-01-01,0.001088,0.001519,0.004254,0.025937,0.020478,0.029691,0.045554,0.019453,0.02439,0.018761,0.010565,0.007093,0.02094,0.011152,0.001043,0.021094
1973-01-01,0.001035,0.001497,0.004102,0.025686,0.020451,0.029706,0.045523,0.019014,0.023965,0.018407,0.010517,0.007026,0.02056,0.011043,0.000994,0.021222
1974-01-01,0.000981,0.001472,0.003952,0.025438,0.020423,0.029724,0.045489,0.018576,0.023534,0.01805,0.01047,0.006959,0.020179,0.010934,0.000945,0.02135
1975-01-01,0.000926,0.00145,0.003803,0.025188,0.020398,0.029742,0.045459,0.018138,0.023105,0.017693,0.010423,0.006893,0.019795,0.010826,0.000898,0.021478
1976-01-01,0.000871,0.001426,0.003654,0.024938,0.020376,0.029747,0.045425,0.017696,0.022676,0.017339,0.010376,0.006826,0.019418,0.010716,0.000851,0.021606
1977-01-01,0.000847,0.001416,0.0037,0.024832,0.020563,0.029465,0.045268,0.017652,0.022542,0.01717,0.010221,0.006799,0.019402,0.010614,0.000831,0.021586
1978-01-01,0.000821,0.001405,0.003742,0.024724,0.020749,0.029182,0.045105,0.017604,0.022411,0.017005,0.010067,0.006775,0.019385,0.010512,0.000813,0.021566
1979-01-01,0.000795,0.001395,0.003791,0.024621,0.020938,0.028895,0.044949,0.017555,0.022278,0.016836,0.009912,0.006748,0.019361,0.010409,0.000794,0.021543
1980-01-01,0.000768,0.001384,0.003839,0.024518,0.021134,0.028606,0.044789,0.017508,0.022142,0.016669,0.009756,0.006723,0.019341,0.010306,0.000776,0.021522
1981-01-01,0.000743,0.001375,0.003883,0.02441,0.021321,0.028325,0.044629,0.017464,0.022011,0.016503,0.009604,0.006697,0.01932,0.010207,0.000757,0.021502
1982-01-01,0.000716,0.001364,0.003928,0.024307,0.021522,0.028037,0.044467,0.017413,0.021878,0.016335,0.00945,0.006671,0.019299,0.010101,0.000737,0.021478
1983-01-01,0.00069,0.001355,0.003974,0.024204,0.021708,0.02775,0.044309,0.017369,0.021747,0.016166,0.009296,0.006644,0.019287,0.009999,0.000719,0.021457
