Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.000141,0.000179,0.000331,0.014637,0.000745,0.000716,0.001018,0.000757,0.002368,0.002315,0.000247,6e-06,0.00077,0.002509,9e-05,0.001151
1951-01-01,0.000138,0.000174,0.000384,0.014322,0.000802,0.000739,0.001067,0.000788,0.002442,0.002278,0.000247,6e-06,0.000754,0.002508,9e-05,0.001176
1952-01-01,0.000137,0.000171,0.000433,0.014003,0.000859,0.000764,0.00112,0.00082,0.002511,0.002242,0.000247,6e-06,0.000735,0.002507,8.8e-05,0.001204
1953-01-01,0.000136,0.000166,0.000486,0.013684,0.000921,0.000787,0.00117,0.000849,0.002582,0.002209,0.000247,5e-06,0.000717,0.002503,8.7e-05,0.001225
1954-01-01,0.000134,0.000161,0.000535,0.013367,0.000976,0.000811,0.001222,0.000882,0.002658,0.002174,0.000247,5e-06,0.000699,0.002501,8.6e-05,0.001253
1955-01-01,0.000132,0.000157,0.000585,0.01305,0.001036,0.000834,0.001277,0.00091,0.002729,0.002139,0.000248,4e-06,0.000685,0.002499,8.5e-05,0.001275
1956-01-01,0.00013,0.000153,0.000636,0.012731,0.001095,0.000859,0.001326,0.000941,0.002802,0.002106,0.000248,3e-06,0.00067,0.002498,8.4e-05,0.001302
1957-01-01,0.000128,0.000149,0.000686,0.012413,0.001154,0.000885,0.001381,0.00097,0.002873,0.002072,0.000249,3e-06,0.000653,0.002495,8.2e-05,0.001326
1958-01-01,0.000127,0.000144,0.000738,0.012096,0.001213,0.000907,0.00143,0.001002,0.002943,0.002036,0.000249,3e-06,0.000635,0.002493,8.2e-05,0.001351
1959-01-01,0.000124,0.00014,0.000788,0.011777,0.001271,0.000933,0.001485,0.001031,0.003016,0.002001,0.000249,3e-06,0.000621,0.00249,8.1e-05,0.001376
1960-01-01,0.000123,0.000136,0.000839,0.011462,0.001331,0.000954,0.001537,0.001062,0.003088,0.001966,0.000249,3e-06,0.000605,0.002489,7.9e-05,0.001402
1961-01-01,0.000121,0.000131,0.00089,0.011142,0.001391,0.000982,0.001588,0.001093,0.003157,0.001931,0.000249,3e-06,0.000589,0.002488,7.9e-05,0.001427
1962-01-01,0.00012,0.000127,0.000941,0.010825,0.001445,0.001002,0.001638,0.001122,0.003231,0.001894,0.00025,3e-06,0.000569,0.002485,7.7e-05,0.001451
1963-01-01,0.000119,0.000122,0.000989,0.010508,0.001505,0.001026,0.001692,0.001154,0.003298,0.00186,0.00025,2e-06,0.000555,0.002485,7.6e-05,0.001476
1964-01-01,0.000114,0.000118,0.001042,0.010189,0.001564,0.001053,0.001744,0.001184,0.003374,0.001827,0.00025,0,0.000539,0.002481,7.4e-05,0.001502
1965-01-01,0.000113,0.000112,0.001092,0.00987,0.001623,0.001076,0.001794,0.001214,0.003446,0.00179,0.00025,0,0.00052,0.00248,7.4e-05,0.001526
1966-01-01,0.000119,0.000131,0.001068,0.010475,0.00165,0.001124,0.001836,0.001228,0.003376,0.001764,0.000253,0,0.000539,0.002366,7.6e-05,0.001514
1967-01-01,0.000122,0.000149,0.001043,0.01108,0.001672,0.001176,0.001874,0.001242,0.003314,0.001738,0.00026,0,0.000555,0.002251,7.9e-05,0.001503
1968-01-01,0.000124,0.000166,0.001017,0.011683,0.001698,0.001231,0.001914,0.001254,0.003245,0.001711,0.000261,0,0.000572,0.002136,8.1e-05,0.001493
1969-01-01,0.000128,0.000182,0.000995,0.012291,0.001724,0.001277,0.00195,0.001269,0.003176,0.001682,0.000265,0,0.000589,0.002023,8.3e-05,0.001479
1970-01-01,0.000132,2e-04,0.000969,0.012895,0.001746,0.001329,0.001991,0.001281,0.003109,0.001655,0.000268,0,0.000607,0.001908,8.5e-05,0.001469
1971-01-01,0.000136,0.000219,0.000944,0.013498,0.001773,0.001375,0.002029,0.001295,0.003043,0.001629,0.000273,0,0.000623,0.001792,8.7e-05,0.001456
1972-01-01,0.000139,0.000236,0.000919,0.014105,0.001799,0.001429,0.002068,0.001309,0.002975,0.001602,0.000276,0,0.000638,0.001678,9e-05,0.001445
1973-01-01,0.000143,0.000253,0.000896,0.014709,0.001822,0.001478,0.002107,0.00132,0.002906,0.001575,0.000279,0,0.000656,0.001564,9.2e-05,0.001434
