Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.000127,0.000521,0.000262,0.005186,0.003134,0.006404,0.019604,0.015114,0.057411,0.040985,0.001757,0.000516,0.00451,0.013714,0.000299,0.02003
1951-01-01,0.000145,0.000601,0.000371,0.005471,0.003937,0.008341,0.021107,0.016533,0.058559,0.041643,0.001757,0.000591,0.00589,0.014671,0.000339,0.020636
1952-01-01,0.000161,0.000681,0.000482,0.005759,0.004733,0.010272,0.022607,0.017956,0.059702,0.042297,0.001761,0.000668,0.007271,0.015629,0.000378,0.021243
1953-01-01,0.000179,0.00076,0.000594,0.00604,0.005535,0.012201,0.024114,0.019373,0.060846,0.042953,0.001762,0.000743,0.008655,0.016585,0.000419,0.021853
1954-01-01,0.000195,0.000837,0.000704,0.00633,0.006333,0.014136,0.025615,0.020793,0.06199,0.043606,0.001764,0.00082,0.010035,0.017541,0.00046,0.022459
1955-01-01,0.000213,0.000918,0.000814,0.006616,0.007133,0.016067,0.027116,0.022214,0.063134,0.044264,0.001766,0.000894,0.011419,0.018499,0.000501,0.023066
1956-01-01,0.000231,0.000995,0.000926,0.006899,0.007935,0.017999,0.02862,0.023631,0.064275,0.04492,0.001767,0.000971,0.012799,0.019453,0.00054,0.023673
1957-01-01,0.000248,0.001076,0.001037,0.007184,0.008733,0.019933,0.030121,0.025056,0.06542,0.045574,0.001768,0.001046,0.014177,0.020412,0.00058,0.02428
1958-01-01,0.000265,0.001155,0.001147,0.007471,0.009534,0.021862,0.031628,0.02647,0.06656,0.046228,0.001769,0.001123,0.015558,0.021367,0.000621,0.024889
1959-01-01,0.000282,0.001232,0.001257,0.007754,0.010332,0.023796,0.033131,0.027894,0.067709,0.046883,0.001771,0.001199,0.016936,0.022323,0.000661,0.025498
1960-01-01,0.000298,0.001313,0.001367,0.008039,0.011133,0.02573,0.034632,0.029312,0.068852,0.047538,0.001773,0.001275,0.018318,0.023278,0.000703,0.026105
