Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,8e-06,1.2e-05,1.3e-05,0,1e-05,0,1e-05,8e-06,8e-06,0,0,0,1.2e-05,0,6.2e-05
1951-01-01,0,8e-06,1.2e-05,1.3e-05,0,1.4e-05,1e-06,1e-05,8e-06,8e-06,0,0,0,1.2e-05,0,5.6e-05
1952-01-01,2e-06,1e-05,1.2e-05,1.5e-05,0,1.6e-05,1e-06,1.1e-05,8e-06,8e-06,0,0,7e-06,1e-05,0,5.2e-05
1953-01-01,6e-06,1e-05,1.2e-05,1.6e-05,0,1.8e-05,3e-06,1.1e-05,8e-06,8e-06,0,0,1.9e-05,9e-06,1e-06,4.9e-05
1954-01-01,9e-06,1.1e-05,1.2e-05,1.6e-05,3e-06,2.3e-05,3e-06,1.1e-05,1e-05,8e-06,0,0,3.1e-05,9e-06,2e-06,4.7e-05
1955-01-01,1.2e-05,1.2e-05,1.2e-05,1.6e-05,1.1e-05,2.5e-05,4e-06,1e-05,1e-05,8e-06,0,0,4.3e-05,9e-06,3e-06,4.3e-05
1956-01-01,1.4e-05,1.3e-05,1.2e-05,1.6e-05,1.9e-05,2.8e-05,6e-06,1e-05,1.1e-05,7e-06,0,0,5.4e-05,9e-06,3e-06,4.1e-05
1957-01-01,1.8e-05,1.5e-05,1.2e-05,2e-05,2.3e-05,3.2e-05,6e-06,1e-05,1.1e-05,7e-06,0,0,6.5e-05,9e-06,3e-06,3.9e-05
1958-01-01,2.1e-05,1.5e-05,1.2e-05,2.1e-05,3.5e-05,3.2e-05,6e-06,1e-05,1.1e-05,7e-06,0,0,7.8e-05,9e-06,5e-06,3.7e-05
1959-01-01,2.3e-05,1.6e-05,1.2e-05,2.2e-05,3.9e-05,3.6e-05,6e-06,1.1e-05,1.2e-05,6e-06,0,0,8.9e-05,8e-06,5e-06,3e-05
1960-01-01,2.8e-05,1.7e-05,1.2e-05,2.3e-05,4.7e-05,3.8e-05,7e-06,1.1e-05,1.1e-05,6e-06,0,0,0.000101,8e-06,7e-06,2.8e-05
1961-01-01,3e-05,1.9e-05,1.2e-05,2.3e-05,5.2e-05,4.2e-05,7e-06,1.1e-05,1.2e-05,7e-06,0,0,0.000115,8e-06,7e-06,2.4e-05
1962-01-01,3.3e-05,1.9e-05,1.2e-05,2.4e-05,6.5e-05,4.3e-05,9e-06,1.1e-05,1.2e-05,7e-06,0,0,0.000123,8e-06,8e-06,2.4e-05
1963-01-01,3.5e-05,2.1e-05,1.3e-05,2.6e-05,7e-05,4.5e-05,1e-05,1.1e-05,1.2e-05,7e-06,0,0,0.000137,7e-06,8e-06,1.6e-05
1964-01-01,3.9e-05,2.1e-05,1.3e-05,2.9e-05,7.8e-05,4.7e-05,1e-05,1.2e-05,1.3e-05,7e-06,0,0,0.000149,5e-06,8e-06,1.4e-05
1965-01-01,4.1e-05,2.3e-05,1.3e-05,2.9e-05,8.5e-05,5.4e-05,1e-05,1.1e-05,1.3e-05,8e-06,0,0,0.000161,5e-06,9e-06,1.1e-05
1966-01-01,4.3e-05,2.3e-05,1.5e-05,2.9e-05,8.5e-05,6.1e-05,1.2e-05,1.3e-05,1.3e-05,7e-06,0,0,0.000164,5e-06,1e-05,1.2e-05
1967-01-01,4.5e-05,2.5e-05,1.5e-05,3.3e-05,8.5e-05,6.8e-05,1.3e-05,1.4e-05,1.3e-05,6e-06,0,0,0.000168,6e-06,1e-05,1.2e-05
1968-01-01,4.7e-05,2.6e-05,1.6e-05,3.4e-05,8.5e-05,7.4e-05,1.5e-05,1.4e-05,1.3e-05,7e-06,0,0,0.00017,6e-06,1.1e-05,1.2e-05
