Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.001116,0.001991,0.001306,0.02884,0.012621,0.0159,0.033732,0.02058,0.077039,0.055554,0.018381,0.087999,0.011239,0.021172,0.001716,0.029154
1951-01-01,0.00113,0.002013,0.001445,0.028729,0.01366,0.018078,0.035496,0.022126,0.078125,0.056594,0.019446,0.089213,0.012676,0.022434,0.001753,0.029779
1952-01-01,0.001144,0.00204,0.001583,0.028619,0.014692,0.02025,0.037263,0.023674,0.079197,0.057638,0.020517,0.090427,0.014117,0.023693,0.001786,0.03041
1953-01-01,0.001163,0.00206,0.001723,0.028499,0.01573,0.022415,0.039035,0.025217,0.080277,0.058683,0.021582,0.091638,0.015564,0.024949,0.001824,0.031038
1954-01-01,0.001178,0.002082,0.00186,0.028392,0.016766,0.024593,0.040804,0.026762,0.081357,0.059724,0.022652,0.092855,0.017012,0.026208,0.001861,0.031669
1955-01-01,0.001195,0.002108,0.001995,0.028279,0.017812,0.02676,0.04257,0.028304,0.082432,0.060773,0.023721,0.094065,0.018466,0.027467,0.001899,0.032293
1956-01-01,0.001211,0.002129,0.002134,0.028163,0.018858,0.028935,0.044339,0.029849,0.083513,0.061813,0.024788,0.095279,0.019913,0.028725,0.001935,0.032924
1957-01-01,0.001228,0.002156,0.002273,0.028054,0.019896,0.031111,0.046106,0.031399,0.084589,0.062858,0.025856,0.096491,0.021361,0.029986,0.001969,0.03355
1958-01-01,0.001245,0.002176,0.002413,0.027942,0.020946,0.033277,0.047878,0.032938,0.085662,0.0639,0.026921,0.097707,0.022806,0.031246,0.002008,0.034181
1959-01-01,0.001259,0.002198,0.00255,0.027824,0.021984,0.035456,0.049647,0.034486,0.086748,0.064938,0.027989,0.098919,0.02425,0.032502,0.002044,0.034809
1960-01-01,0.001278,0.002223,0.002686,0.027713,0.023028,0.037625,0.051412,0.036028,0.087819,0.065982,0.029057,0.100134,0.025702,0.033761,0.002083,0.035437
1961-01-01,0.001293,0.002244,0.002825,0.027598,0.024071,0.039803,0.053181,0.037577,0.088892,0.067029,0.030127,0.101349,0.027154,0.035024,0.00212,0.036063
1962-01-01,0.001311,0.002269,0.002964,0.027488,0.025111,0.041967,0.054951,0.039118,0.089975,0.06807,0.031195,0.102559,0.02859,0.036283,0.002156,0.036696
1963-01-01,0.001327,0.002293,0.003102,0.027374,0.026158,0.044137,0.056718,0.040666,0.091045,0.069111,0.032262,0.103774,0.030046,0.037541,0.002191,0.037321
1964-01-01,0.001342,0.002315,0.003242,0.02726,0.027202,0.046314,0.058485,0.042212,0.09213,0.070158,0.033331,0.104986,0.031493,0.038798,0.002227,0.037948
1965-01-01,0.001356,0.002337,0.00338,0.027145,0.028242,0.048488,0.060249,0.043759,0.093206,0.071207,0.034399,0.1062,0.03294,0.040055,0.002264,0.038576
1966-01-01,0.001388,0.002388,0.003295,0.027058,0.027485,0.048102,0.059372,0.041869,0.092386,0.070432,0.034072,0.105636,0.032652,0.038672,0.00231,0.039653
1967-01-01,0.001415,0.002437,0.003212,0.02697,0.026715,0.047718,0.05849,0.039988,0.09158,0.069659,0.033749,0.105066,0.032361,0.037292,0.002354,0.040725
1968-01-01,0.001443,0.002486,0.003125,0.02688,0.02596,0.047334,0.057613,0.038099,0.090766,0.06889,0.033416,0.104502,0.032073,0.035903,0.002398,0.0418
1969-01-01,0.001474,0.002533,0.003046,0.026795,0.025191,0.046944,0.056722,0.036217,0.089946,0.068124,0.033092,0.103935,0.031785,0.034529,0.002442,0.042875
1970-01-01,0.001505,0.002586,0.002959,0.026706,0.024429,0.046557,0.055848,0.034328,0.089137,0.067355,0.032764,0.103368,0.031498,0.033143,0.002484,0.043952
1971-01-01,0.001536,0.002636,0.002875,0.026617,0.023663,0.046163,0.054966,0.032442,0.088323,0.066587,0.032438,0.102803,0.031207,0.031759,0.002529,0.045029
