Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.0003676,0.140711,0.01706065,0.00417384,0.00462868,0.1555926,0,0,0,0,0,0,0.00545238,0,0,0
1951-01-01,0.00038572,0.14767952,0.01790532,0.00438055,0.00485828,0.16329799,0,0,0,0,0,0,0.00572268,0,0,0
1952-01-01,0.00041476,0.15869867,0.01924139,0.00470736,0.00522065,0.17548166,0,0,0,0,0,0,0.00614945,0,0,0
1953-01-01,0.00036652,0.14022873,0.0170013,0.00415891,0.00461367,0.15505914,0,0,0,0,0,0,0.00543364,0,0,0
1954-01-01,0.00036893,0.14132427,0.01713533,0.00419142,0.00464904,0.15626997,0,0,0,0,0,0,0.005476,0,0,0
1955-01-01,0.00044009,0.16856825,0.0204379,0.00499896,0.0055459,0.18639537,0,0,0,0,0,0,0.00653174,0,0,0
1956-01-01,0.00049721,0.19038047,0.02308372,0.00564603,0.00626293,0.21051503,0,0,0,0,0,0,0.00737705,0,0,0
1957-01-01,0.00048781,0.18680905,0.02264863,0.00554084,0.00614492,0.20656509,0,0,0,0,0,0,0.00723899,0,0,0
1958-01-01,0.00047408,0.18138103,0.02199144,0.00537927,0.00596673,0.20056346,0,0,0,0,0,0,0.00702821,0,0,0
1959-01-01,0.00047296,0.18108126,0.1034177,0.00537121,0.00595585,0.20023224,0,0,0,0,0,0,0.00701705,0,0,0
1960-01-01,0.0004626,0.17708337,0.10113464,0.00525208,0.00582543,0.19581118,0,0,0,0,0,0,0.0068619,0,0,0
1961-01-01,0.00046326,0.20009834,0.09500073,0.00525956,0.0058864,0.18429247,0,0,0,0,0,0,0.00716026,0,0,0
1962-01-01,0.00047882,0.22540725,0.1057703,0.00543697,0.00632471,0.17686679,0,0,0,0,0,0,0.00873273,0,0,0
1963-01-01,0.00057053,0.22775438,0.116077,0.00648049,0.00800656,0.16932654,0,0,0,0,0,0,0.01297758,0,0,0
1964-01-01,0.00051207,0.24034247,0.10185075,0.00581885,0.00772924,0.19046663,0,0,0,0,0,0,0.01462849,0,0,0
1965-01-01,0.00068518,0.21302411,0.10738382,0.00778103,0.00926585,0.1801556,0,0,0,0,0,0,0.01367157,0,0,0
1966-01-01,0.00050891,0.25624925,0.10216096,0.00578093,0.00798407,0.17011002,0,0,0,0,0,0,0.01621299,0,0,0
1967-01-01,0.00085161,0.23525147,0.11951775,0.00967476,0.01115434,0.21594524,0,0,0,0,0,0,0.01497058,0,0,0
1968-01-01,0.00084977,0.24255923,0.1281061,0.00965284,0.01195126,0.18522728,0,0,0,0,0,0,0.01947492,0,0,0
1969-01-01,0.00096122,0.2476896,0.12420266,0.01092212,0.01311162,0.21640956,0,0,0,0,0,0,0.0197767,0,0,0
1970-01-01,0.00092669,0.23557728,0.13936903,0.01052724,0.02048716,0.21306999,0,0,0,0,0,0,0.02268832,0,0,0
1971-01-01,0.00084097,0.2503059,0.12736881,0.00955192,0.07651922,0.17904233,0,0,0,0,0,0,0.02035278,0,0,0
1972-01-01,0.00076901,0.23482697,0.12234005,0.00873267,0.07589435,0.22958364,0,0,0,0,0,0,0.01716948,0,0,0
1973-01-01,0.0009753,0.26128397,0.13355003,0.01107919,0.07875169,0.21819829,0,0,0,0,0,0,0.00503402,0,0,0
1974-01-01,0.00096096,0.33786474,0.12917004,0.01091443,0.09596583,0.27543561,0,0,0,0,0,0,0.01561306,0,0,0
1975-01-01,0.00100412,0.27081646,0.13311153,0.01140557,0.09031282,0.2876826,0,0,0,0,0,0,0.01978011,0,0,0
1976-01-01,0.00111248,0.38683428,0.14026081,0.01263564,0.08549444,0.32390374,0,0,0,0,0,0,0.02181786,0,0,0
1977-01-01,0.00117819,0.41493415,0.14186493,0.01338375,0.08875327,0.34393587,0,0,0,0,0,0,0.02205402,0,0,0
1978-01-01,0.00112478,0.4438789,0.13667859,0.01277975,0.07448219,0.31577062,0,0,0,0,0,0,0.01777381,0,0,0
1979-01-01,0.00117575,0.45230245,0.14050878,0.01335388,0.07357679,0.35322912,0,0,0,0,0,0,0.01380628,0,0,0
1980-01-01,0.00131147,0.45646755,0.14408958,0.01489857,0.08417983,0.34292514,0,0,0,0,0,0,0.01801502,0,0,0
1981-01-01,0.00147221,0.43191213,0.15444539,0.01672452,0.08786199,0.38091009,0,0,0,0,0,0,0.02509602,0,0,0
1982-01-01,0.00140308,0.52708764,0.16753448,0.01594005,0.09064907,0.4413284,0,0,0,0,0,0,0.02763562,0,0,0
1983-01-01,0.00201869,0.52314222,0.1943159,0.02292896,0.10878978,0.41265937,0,0,0,0,0,0,0.0368018,0,0,0
1984-01-01,0.00184329,0.53858821,0.19867647,0.02093687,0.16850825,0.39164035,0,0,0,0,0,0,0.04126136,0,0,0
1985-01-01,0.00194598,0.55138312,0.20392875,0.02210144,0.18550674,0.44404459,0,0,0,0,0,0,0.05272992,0,0,0
1986-01-01,0.00237054,0.53395168,0.23512273,0.02692563,0.1982237,0.51864502,0,0,0,0,0,0,0.04718453,0,0,0
1987-01-01,0.00207434,0.55714072,0.21681635,0.02356524,0.20700094,0.53120849,0,0,0,0,0,0,0.06561582,0,0,0
1988-01-01,0.00221359,0.57866928,0.21218996,0.02514265,0.23151273,0.52239983,0,0,0,0,0,0,0.09054503,0,0,0
1989-01-01,0.00261004,0.72679938,0.28973098,0.02964428,0.22749479,0.50039693,0,0,0,0,0,0,0.08311371,0,0,0
1990-01-01,0.00259627,0.6808718,0.24476948,0.02948981,0.22426878,0.47054352,0,0,0,0,0,0,0.08433138,0,0,0
1991-01-01,0.0027354,0.95473978,0.24931466,0.03106868,0.22251762,0.45054057,0,0,0,0,0,0,0.08273126,0,0,0
