Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0.003083,0.019001,0.022115,0.006433,0,0.00011,0,0,0,0,0,0,0,0,0
1951-01-01,0,0.003234,0.019926,0.0232,0.006749,0,0.00011,0,0,0,0,0,0,0,0,0
1952-01-01,0,0.003475,0.021411,0.024918,0.00725,0,0.000147,0,0,0,0,0,0,0,0,0
1953-01-01,0,0.003069,0.018892,0.022002,0.006403,0,0.00011,0,0,0,0,0,0,0,0,0
1954-01-01,0,0.00309,0.019043,0.022159,0.006448,0,0.00011,0,0,0,0,0,0,0,0,0
1955-01-01,0,0.003683,0.022684,0.026411,0.007687,0,0.000147,0,0,0,0,0,0,0,0,0
1956-01-01,0,0.004156,0.025614,0.029805,0.008674,0,0.000147,0,0,0,0,0,0,0,0,0
1957-01-01,0,0.004076,0.025096,0.029226,0.008503,0,0.000147,0,0,0,0,0,0,0,0,0
1958-01-01,0,0.003953,0.024345,0.028343,0.008249,0,0.000147,0,0,0,0,0,0,0,0,0
1959-01-01,0,0.003942,0.033535,0.028271,0.008224,0,0.000147,0,0,0,0,0,0,0,0,0
1960-01-01,0,0.00385,0.032758,0.027609,0.008034,0,0.000147,0,0,0,0,0,0,0,0,0
1961-01-01,0,0.008373,0.032047,0.027609,0.008034,0,0.000147,0,0,0,0,0,0,0,0,0
1962-01-01,0,0.011108,0.033925,0.028496,0.008288,0,0.000147,0,0,0,0,0,0,0,0,0
1963-01-01,0,0.012994,0.039224,0.033905,0.009863,0,0.000184,0,0,0,0,0,0,0,0,0
1964-01-01,0,0.01375,0.03489,0.030384,0.008838,0,0.000147,0,0,0,0,0,0,0,0,0
1965-01-01,0,0.014192,0.043294,0.040539,0.011792,0,0.000221,0,0,0,0,0,0,0,0,0
1966-01-01,0,0.015224,0.034638,0.030045,0.008739,0,0.000147,0,0,0,0,0,0,0,0,0
1967-01-01,0,0.016388,0.052011,0.050146,0.01459,0,0.000257,0,0,0,0,0,0,0,0,0
