Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0.002726,0.004181,0,0,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0,0.002857,0.004386,0,0,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0,0.003071,0.004711,0,0,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0,0.002711,0.00416,0,0,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0,0.002732,0.004191,0,0,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0,0.003255,0.004994,0,0,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0,0.003675,0.005635,0,0,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0,0.003599,0.005525,0,0,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0,0.003494,0.00536,0,0,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0,0.003484,0.005345,0,0,0,0,0,0,0,0,0,0,0,0
1960-01-01,0,0,0.003402,0.00522,0,0,0,0,0,0,0,0,0,0,0,0
1961-01-01,0,0,0.003402,0.00522,0,0,0,0,0,0,0,0,0,0,0,0
1962-01-01,0,0,0.003511,0.005388,0,0,0,0,0,0,0,0,0,0,0,0
1963-01-01,0,0,0.004176,0.00641,0,0,0,0,0,0,0,0,0,0,0,0
1964-01-01,0,0,0.003745,0.005745,0,0,0,0,0,0,0,0,0,0,0,0
1965-01-01,0,0,0.004994,0.007665,0,0,0,0,0,0,0,0,0,0,0,0
1966-01-01,0,0,0.003704,0.005681,0,0,0,0,0,0,0,0,0,0,0,0
1967-01-01,0,0,0.006178,0.009481,0,0,0,0,0,0,0,0,0,0,0,0
1968-01-01,0,0,0.006144,0.009431,0,0,0,0,0,0,0,0,0,0,0,0
1969-01-01,0,0,0.006929,0.010634,0,0,0,0,0,0,0,0,0,0,0,0
1970-01-01,0,0,0.006653,0.010211,0,0,0,0,0,0,0,0,0,0,0,0
1971-01-01,0,0,0.006014,0.009226,0,0,0,0,0,0,0,0,0,0,0,0
1972-01-01,0,0,0.005468,0.008395,0,0,0,0,0,0,0,0,0,0,0,0
1973-01-01,0,0,0.006903,0.010594,0,0,0,0,0,0,0,0,0,0,0,0
1974-01-01,0,0,0.006762,0.010376,0,0,0,0,0,0,0,0,0,0,0,0
1975-01-01,0,0,0.007023,0.010773,0,0,0,0,0,0,0,0,0,0,0,0
1976-01-01,0,0,0.00772,0.011849,0,0,0,0,0,0,0,0,0,0,0,0
1977-01-01,0,0,0.008113,0.012451,0,0,0,0,0,0,0,0,0,0,0,0
1978-01-01,0,0,0.007679,0.011785,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-01,0,0,0.007947,0.012195,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-01,0,0,0.008772,0.01346,0,0,0,0,0,0,0,0,0,0,0,0
1981-01-01,0,0,0.009731,0.014933,0,0,0,0,0,0,0,0,0,0,0,0
1982-01-01,0,0,0.009156,0.014049,0,0,0,0,0,0,0,0,0,0,0,0
1983-01-01,0,0,0.012981,0.019924,0,0,0,0,0,0,0,0,0,0,0,0
1984-01-01,0,0,0.011675,0.017913,0,0,0,0,0,0,0,0,0,0,0,0
1985-01-01,0,0,0.033158,0.019268,0,0,0,0,0,0,0,0,0,0,0,0
1986-01-01,0,0,0.031531,0.025406,0,0,0,0,0,0,0,0,0,0,0,0
1987-01-01,0,0,0.03252,0.02154,0,0,0,0,0,0,0,0,0,0,0,0
1988-01-01,0,0,0.038205,0.025161,0,0,0,0,0,0,0,0,0,0,0,0
1989-01-01,0,0,0.035394,0.035083,0,0,0,0,0,0,0,0,0,0,0,0
1990-01-01,0,0,0.036219,0.030889,0,0,0,0,0,0,0,0,0,0,0,0
1991-01-01,0,0,0.034515,0.034235,0,0,0,0,0,0,0,0,0,0,0,0
1992-01-01,0,0,0.027823,0.031415,0,0,0,0,0,0,0,0,0,0,0,0
1993-01-01,0,0,0.033761,0.026118,0,0,0,0,0,0,0,0,0,0,0,0
1994-01-01,0,0,0.033073,0.035209,0,0,0,0,0,0,0,0,0,0,0,0
1995-01-01,0,0,0.033772,0.035215,0,0,0,0,0,0,0,0,0,0,0,0
1996-01-01,0,0,0.038354,0.035718,0,0,0,0,0,0,0,0,0,0,0,0
1997-01-01,0,0,0.037416,0.033795,0,0,0,0,0,0,0,0,0,0,0,0
1998-01-01,0,0,0.04025,0.03386,0,0,0,0,0,0,0,0,0,0,0,0
1999-01-01,0,0,0.036627,0.031272,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-01,0,0,0.040374,0.030406,0,0,0,0,0,0,0,0,0,0,0,0
2001-01-01,0,0,0.041825,0.029694,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-01,0,0,0.04013,0.018039,0,0,0,0,0,0,0,0,0,0,0,0
2003-01-01,0,0,0.046942,0.016846,0,0,0,0,0,0,0,0,0,0,0,0
2004-01-01,0,0,0.04513,0.018806,0,0,0,0,0,0,0,0,0,0,0,0
2005-01-01,0,0,0.045854,0.016078,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0.048565,0.020316,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0.053525,0.01725,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0.059552,0.015052,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0.050025,0.015841,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0.07067,0.018868,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0.07017,0.031762,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0.093366,0.030697,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0.096721,0.018842,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,0,0,0.101827,0.013065,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,0,0,0.110484,0.009882,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,0.10684,0.011697,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,0.111931,0.01371,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,0,0.102736,0.014934,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01,0,0,0.096918,0.01396,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,0,0,0.114103,0.016039,0,0,0,0,0,0,0,0,0,0,0,0
