Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0.09469,0.007767,0,0,0.03411,0,0,0,0,0,0,0,0,0,0
1951-01-01,0,0.099334,0.008148,0,0,0.035783,0,0,0,0,0,0,0,0,0,0
1952-01-01,0,0.106692,0.008752,0,0,0.038432,0,0,0,0,0,0,0,0,0,0
1953-01-01,0,0.094221,0.007729,0,0,0.033942,0,0,0,0,0,0,0,0,0,0
1954-01-01,0,0.0949,0.007784,0,0,0.034185,0,0,0,0,0,0,0,0,0,0
1955-01-01,0,0.113112,0.009278,0,0,0.040746,0,0,0,0,0,0,0,0,0,0
1956-01-01,0,0.127646,0.010471,0,0,0.045981,0,0,0,0,0,0,0,0,0,0
1957-01-01,0,0.125141,0.010265,0,0,0.045076,0,0,0,0,0,0,0,0,0,0
1958-01-01,0,0.121383,0.009957,0,0,0.043724,0,0,0,0,0,0,0,0,0,0
1959-01-01,0,0.121048,0.009929,0,0,0.043604,0,0,0,0,0,0,0,0,0,0
1960-01-01,0,0.118226,0.009698,0,0,0.042588,0,0,0,0,0,0,0,0,0,0
1961-01-01,0,0.12769,0.009698,0,0,0.040877,0,0,0,0,0,0,0,0,0,0
1962-01-01,0,0.141094,0.010006,0,0,0.040214,0,0,0,0,0,0,0,0,0,0
1963-01-01,0,0.140582,0.011908,0,0,0.041855,0,0,0,0,0,0,0,0,0,0
1964-01-01,0,0.147335,0.010673,0,0,0.043049,0,0,0,0,0,0,0,0,0,0
1965-01-01,0,0.129276,0.014237,0,0,0.046707,0,0,0,0,0,0,0,0,0,0
1966-01-01,0,0.155264,0.010554,0,0,0.039827,0,0,0,0,0,0,0,0,0,0
1967-01-01,0,0.141656,0.017612,0,0,0.056627,0,0,0,0,0,0,0,0,0,0
1968-01-01,0,0.142833,0.017518,0,0,0.052008,0,0,0,0,0,0,0,0,0,0
1969-01-01,0,0.144982,0.019752,0,0,0.059615,0,0,0,0,0,0,0,0,0,0
1970-01-01,0,0.135517,0.018968,0,0.000787,0.057877,0,0,0,0,0,0,0,0,0,0
1971-01-01,0,0.146056,0.017138,0,0.007026,0.050278,0,0,0,0,0,0,0,0,0,0
1972-01-01,0,0.135824,0.015593,0,0.007066,0.055002,0,0,0,0,0,0,0,0,0,0
1973-01-01,0,0.15199,0.019681,0,0.007354,0.059208,0,0,0,0,0,0,0,0,0,0
1974-01-01,0,0.199004,0.019276,0,0.008967,0.066392,0,0,0,0,0,0,0,0,0,0
1975-01-01,0,0.155827,0.020014,0,0.00818,0.068912,0,0,0,0,0,0,0,0,0,0
1976-01-01,0,0.227909,0.02201,0,0.007459,0.0765,0,0,0,0,0,0,0,0,0,0
1977-01-01,0,0.244433,0.023128,0,0.007669,0.080503,0,0,0,0,0,0,0,0,0,0
1978-01-01,0,0.256148,0.021892,0,0.006253,0.074496,0,0,0,0,0,0,0,0,0,0
1979-01-01,0,0.259473,0.022652,0,0.006122,0.080191,0,0,0,0,0,0,0,0,0,0
1980-01-01,0,0.261366,0.025005,0,0.006922,0.081762,0,0,0,0,0,0,0,0,0,0
1981-01-01,0,0.24167,0.027738,0,0.006922,0.090175,0,0,0,0,0,0,0,0,0,0
1982-01-01,0,0.282801,0.026099,0,0.007131,0.094919,0,0,0,0,0,0,0,0,0,0
1983-01-01,0,0.285871,0.037009,0,0.008049,0.106402,0,0,0,0,0,0,0,0,0,0
1984-01-01,0,0.288019,0.033277,0,0.013778,0.097524,0,0,0,0,0,0,0,0,0,0
1985-01-01,0,0.280908,0.034537,0,0.014866,0.104982,0,0,0,0,0,0,0,0,0,0
1986-01-01,0,0.238726,0.030015,0,0.023387,0.100366,0,0,0,0,0,0,0,0,0,0
1987-01-01,0,0.247437,0.030607,0,0.027838,0.095136,0,0,0,0,0,0,0,0,0,0
1988-01-01,0,0.235649,0.020665,0,0.036146,0.075086,0,0,0,0,0,0,0,0,0,0
1989-01-01,0,0.26119,0.015836,0,0.039508,0.075228,0,0,0,0,0,0,0,0,0,0
1990-01-01,0,0.220901,0.013564,0,0.030583,0.062326,0,0,0,0,0,0,0,0,0,0
1991-01-01,0,0.24365,0.015434,0,0.028548,0.054042,0,0,0,0,0,0,0,0,0,0
1992-01-01,0,0.241519,0.019458,0,0.032477,0.05783,0,0,0,0,0,0,0,0,0,0
1993-01-01,0,0.245898,0.019387,0,0.039792,0.047604,0,0,0,0,0,0,0,0,0,0
1994-01-01,0,0.26145,0.022843,0,0.04023,0.053,0,0,0,0,0,0,0,0,0,0
1995-01-01,0,0.278683,0.029802,0,0.0392,0.04803,0,0,0,0,0,0,0,0,0,0
1996-01-01,0,0.225711,0.027416,0,0.047397,0.062772,0,0,0,0,0,0,0,0,0,0
1997-01-01,0,0.297405,0.032006,0,0.041453,0.075304,0,0,0,0,0,0,0,0,0,0
1998-01-01,0,0.351769,0.041186,0,0.038407,0.080138,0,0,0,0,0,0,0,0,0,0
1999-01-01,0,0.335992,0.048739,0,0.077974,0.100366,0,0,0,0,0,0,0,0,0,0
2000-01-01,0,0.329151,0.053474,0.130311,0.085028,0.122808,0,0,0,0,0,0,0,0,0,0
2001-01-01,0,0.360231,0.037282,0.164114,0.064481,0.111728,0,0,0,0,0,0,0,0,0,0
2002-01-01,0,0.30484,0.029779,0.185773,0.044123,0.092342,0,0,0,0,0,0,0,0,0,0
