Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0.0003676,0.238484,0.04655465,0.03046984,0.01106168,0.1897026,0.00011,0,0,0,0,0,0.00545238,0,0,0
1951-01-01,0.00038572,0.25024752,0.04883632,0.03196655,0.01160728,0.19908099,0.00011,0,0,0,0,0,0.00572268,0,0,0
1952-01-01,0.00041476,0.26886567,0.05247539,0.03433636,0.01247065,0.21391366,0.000147,0,0,0,0,0,0.00614945,0,0,0
1953-01-01,0.00036652,0.23751873,0.0463333,0.03032091,0.01101667,0.18900114,0.00011,0,0,0,0,0,0.00543364,0,0,0
1954-01-01,0.00036893,0.23931427,0.04669433,0.03054142,0.01109704,0.19045497,0.00011,0,0,0,0,0,0.005476,0,0,0
1955-01-01,0.00044009,0.28536325,0.0556549,0.03640396,0.0132329,0.22714137,0.000147,0,0,0,0,0,0.00653174,0,0,0
1956-01-01,0.00049721,0.32218247,0.06284372,0.04108603,0.01493693,0.25649603,0.000147,0,0,0,0,0,0.00737705,0,0,0
1957-01-01,0.00048781,0.31602605,0.06160863,0.04029184,0.01464792,0.25164109,0.000147,0,0,0,0,0,0.00723899,0,0,0
1958-01-01,0.00047408,0.30671703,0.05978744,0.03908227,0.01421573,0.24428746,0.000147,0,0,0,0,0,0.00702821,0,0,0
1959-01-01,0.00047296,0.30607126,0.1503657,0.03898721,0.01417985,0.24383624,0.000147,0,0,0,0,0,0.00701705,0,0,0
1960-01-01,0.0004626,0.29915937,0.14699264,0.03808108,0.01385943,0.23839918,0.000147,0,0,0,0,0,0.0068619,0,0,0
1961-01-01,0.00046326,0.33616134,0.14014773,0.03808856,0.0139204,0.22516947,0.000147,0,0,0,0,0,0.00716026,0,0,0
1962-01-01,0.00047882,0.37760925,0.1532123,0.03932097,0.01461271,0.21708079,0.000147,0,0,0,0,0,0.00873273,0,0,0
1963-01-01,0.00057053,0.38133038,0.171385,0.04679549,0.01786956,0.21118154,0.000184,0,0,0,0,0,0.01297758,0,0,0
1964-01-01,0.00051207,0.40142747,0.15115875,0.04194785,0.01656724,0.23351563,0.000147,0,0,0,0,0,0.01462849,0,0,0
1965-01-01,0.00068518,0.35649211,0.16990882,0.05598503,0.02105785,0.2268626,0.000221,0,0,0,0,0,0.01367157,0,0,0
1966-01-01,0.00050891,0.42673725,0.15105696,0.04150693,0.01672307,0.20993702,0.000147,0,0,0,0,0,0.01621299,0,0,0
1967-01-01,0.00085161,0.39329547,0.19531875,0.06930176,0.02574434,0.27257224,0.000257,0,0,0,0,0,0.01497058,0,0,0
1968-01-01,0.00084977,0.40420023,0.2044841,0.06896184,0.02645926,0.23723528,0.000257,0,0,0,0,0,0.01947492,0,0,0
1969-01-01,0.00096122,0.4125996,0.20800866,0.07780112,0.02946962,0.27602456,0.000294,0,0,0,0,0,0.0197767,0,0,0
1970-01-01,0.00092669,0.39145128,0.22203903,0.07474324,0.03698416,0.27094699,0.000294,0,0,0,0,0,0.02268832,0,0,0
1971-01-01,0.00084097,0.4150959,0.20218281,0.06757192,0.09774122,0.22932033,0.000257,0,0,0,0,0,0.02035278,0,0,0
1972-01-01,0.00076901,0.38846097,0.19102105,0.06152667,0.09587635,0.28458564,0.000221,0,0,0,0,0,0.01716948,0,0,0
1973-01-01,0.0009753,0.43235497,0.21789603,0.07770719,0.10240669,0.27740629,0.000294,0,0,0,0,0,0.00503402,0,0,0
1974-01-01,0.00096096,0.55707674,0.21152004,0.07616943,0.12089683,0.34182761,0.000294,0,0,0,0,0,0.01561306,0,0,0
1975-01-01,0.00100412,0.44597346,0.21842053,0.07915657,0.11506882,0.3565946,0.000294,0,0,0,0,0,0.01978011,0,0,0
