Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1950-01-01,0,0,0.0614,0.407,0.4756,0.1404,1.2101,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1951-01-01,0,0,0.0614,0.407,0.4756,0.1404,1.2101,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1952-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.2101,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1953-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.2101,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1954-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1955-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1956-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1957-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1958-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1959-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1960-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1961-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1962-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1963-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1964-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1965-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1966-01-01,0,0,0.0614,0.407,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.0111,0,0.0771,0.056
1967-01-01,0,0,0.0614,1.1177,0.4756,0.1514,1.259,0.0175,0.0352,0,0,0,0.1378,0,0.0771,0.056
1968-01-01,0,0,0.0614,1.1177,0.5009,1.9245,1.401,0.0175,0.0352,0,0,0,0.1378,0,0.0771,0.056
1969-01-01,0,0,0.0614,1.1177,0.5009,1.9245,1.401,0.0175,0.0352,0,0,0,0.1378,0,0.0771,0.056
1970-01-01,0,0,0.0614,1.1177,0.5009,1.9245,1.401,0.0175,0.0352,0,0,0,0.1378,0,0.0771,0.056
1971-01-01,0,0,0.0614,1.1177,0.5009,1.9245,1.401,0.0175,0.0352,0,0,0,0.1378,0,0.0771,0.056
1972-01-01,0,0,0.0614,1.1177,0.5009,1.9245,1.401,0.0175,0.0352,0,0,0,0.1378,0,0.0771,0.056
1973-01-01,0,0,0.0614,1.1177,0.5009,1.9245,1.401,0.0175,0.0352,0,0,0,0.1378,0,0.0771,0.056
1974-01-01,0,0,0.0614,1.1177,0.5009,1.9245,1.401,0.0175,0.0352,0,0,0,0.1378,0,0.0771,0.056
1975-01-01,0,0.0352,0.0614,1.1177,0.5868,1.9245,1.401,0.0175,0.0352,0,0,0,0.1378,0,0.0771,0.056
1976-01-01,0,0.0352,0.0614,1.1177,0.5868,1.9245,1.401,0.0175,0.0352,0,0,0,0.1843,0,0.0771,0.056
1977-01-01,0,0.0352,0.0614,1.1177,0.5868,1.9245,1.401,0.0175,0.0352,0,0,0,0.1843,0,0.0771,0.056
1978-01-01,0,0.0352,0.0614,1.1177,0.5868,1.9245,1.401,0.0175,0.0352,0,0,0,0.1843,0,0.0771,0.056
1979-01-01,0,0.0353,0.0613,1.1329,0.5903,1.8933,1.366,0.0174,0.035,0,0,0,0.1798,0,0.0773,0.0548
1980-01-01,0,0.0353,0.0602,1.1154,0.5944,1.9447,1.3662,0.0173,0.0352,0,0,0,0.1784,0,0.0773,0.0559
1981-01-01,0,0.0345,0.0606,1.1248,0.5901,1.9404,1.3676,0.0173,0.0347,0,0,0,0.1819,0,0.0747,0.0551
1982-01-01,0,0.0353,0.061,1.101,0.5776,1.8763,1.3456,0.0172,0.0348,0,0,0,0.1763,0,0.0754,0.0552
1983-01-01,0,0.0352,0.0594,1.1058,0.5869,1.9356,1.3922,0.018,0.0359,0,0,0,0.1817,0,0.0773,0.0569
1984-01-01,0,0.0333,0.0596,1.0987,0.5799,1.892,1.3315,0.0169,0.0347,0,0,0,0.1759,0,0.0728,0.0547
1985-01-01,0,0.0335,0.0603,1.1042,0.5828,1.8955,2.6033,0.0175,0.0353,0,0,0,0.1821,0,0.0733,0.0554
1986-01-01,0,0.0339,0.0606,1.1068,0.5836,1.9012,2.58,0.0171,0.0341,0,0,0,0.1804,0,0.0741,0.0548
1987-01-01,0,0.0341,0.0595,1.1069,0.5913,1.9387,2.6862,0.0179,0.0355,0,0,0,0.3525,0,0.0766,0.0568
1988-01-01,0,0.0351,0.0609,1.1109,0.5922,1.9508,2.6663,0.0176,0.0353,0,0,0,0.3554,0,0.0762,0.0564
1989-01-01,0,0.0343,0.06,1.0972,0.5891,1.9482,2.7439,0.0181,0.0357,0,0,0,0.3591,0,0.0749,0.0575
1990-01-01,0,0.0348,0.1502,1.1596,0.5948,1.9263,2.6669,0.0177,0.0351,0,0,0,0.3549,0,0.0766,0.0564
1991-01-01,0,0.0349,0.1475,1.1152,0.584,1.9045,2.588,0.017,0.0344,0,0,0,0.3507,0,0.0761,0.0548
1992-01-01,0,0.0345,0.1472,1.1092,0.587,2.4736,2.5919,0.0171,0.0343,0,0,0,0.4307,0,0.0762,0.0551
1993-01-01,0,0.0347,0.1483,1.1131,0.5919,2.5123,2.618,0.0173,0.0345,0,0,0,0.4378,0,0.0748,0.0556
1994-01-01,0,0.0352,0.15,1.1367,0.5995,2.535,2.6844,0.0174,0.0349,0,0,0,0.4444,0,0.0761,0.0559
1995-01-01,0,0.0359,0.279,1.1356,0.5959,2.5231,2.7106,0.0179,0.0354,0,0,0,0.443,0,0.0791,0.0568
1996-01-01,0,0.0354,0.2783,1.1258,0.5988,2.5545,2.6908,0.0393,0.0352,0,0,0,0.4495,0,0.0773,0.0567
1997-01-01,0,0.0351,0.2757,1.1094,0.5966,2.5038,2.614,0.038,0.0343,0,0,0,0.4388,0,0.0773,0.0551
1998-01-01,0,0.0362,0.2774,1.1199,0.598,2.5744,2.7468,0.0408,0.0358,0,0,0,0.449,0,0.08,0.0572
1999-01-01,0,0.0348,0.2731,1.0867,0.5733,2.4473,2.6455,0.0397,0.0358,0,0,0,0.4279,0,0.0767,0.0565
2000-01-01,0,0.0347,0.2762,1.2926,0.5817,2.4732,2.5963,0.0375,0.034,0,0,0,0.4331,0,0.0763,0.0547
2001-01-01,0,0.0343,0.2764,1.2699,0.5747,2.4661,2.6915,0.0397,0.0354,0,0,0,0.4313,0,0.0764,0.0563
2002-01-01,0,0.0351,0.2785,1.2834,0.5811,2.4532,2.5318,0.0369,0.0339,0,0,0,0.4268,0,0.0777,0.0541
2003-01-01,0,0.0362,0.2814,1.3022,0.5854,2.5082,2.6916,0.0393,0.0349,0,0,0,0.4406,0,0.0789,0.0564
2004-01-01,0,0.0355,0.2774,1.3436,0.577,2.4532,2.6436,0.3728,0.0939,0,0,0,0.4291,0,0.0773,0.056
2005-01-01,0,0.0348,0.2758,1.334,0.5685,2.4446,2.6105,0.3703,0.0934,0,0,0,0.4237,0,0.077,0.0559
2006-01-01,0,0.0354,0.2826,1.3727,0.5793,2.4626,2.6651,0.3699,0.0934,0,0,0,0.4352,0,0.0774,0.0556
2007-01-01,0,0.0355,0.2788,1.3544,0.5711,2.4358,2.5644,0.3625,0.092,0,0,0,0.4238,0,0.0782,0.0546
2008-01-01,0,0.0352,0.2797,1.3559,0.5811,2.5158,2.7362,0.3923,0.099,0,0,0,0.4358,0,0.0772,0.0582
2009-01-01,0,0.0358,0.2808,1.3772,0.5842,2.485,2.6242,0.3681,0.0925,0,0,0,0.4324,0,0.0778,0.0553
2010-01-01,0,0.0361,0.2781,1.3543,0.5744,2.4623,2.5885,0.3641,0.0919,0,0,0,0.4297,0,0.0795,0.0551
2011-01-01,0,0.035,0.2768,1.3963,0.5825,2.4754,2.6227,0.3747,0.0945,0,0,0,0.4362,0,0.0767,0.0559
2012-01-01,0,0.0353,0.2818,1.4056,0.5836,2.4667,2.6198,0.3703,0.0935,0,0,0,0.4335,0,0.0773,0.055
2013-01-01,0,0.0357,0.2825,1.4067,0.5848,2.492,2.6725,0.3831,0.0967,0,0,0,0.4357,0,0.0782,0.0565
2014-01-01,0,0.0359,0.2805,1.4057,0.5834,2.4748,2.5962,0.4222,0.0931,0,0,0,0.4325,0,0.0798,0.0559
2015-01-01,0,0.0358,0.28,1.4012,0.5872,2.5031,2.6455,0.4381,0.0961,0,0,0,0.4363,0,0.0791,0.057
2016-01-01,0,0.0363,0.2843,1.4362,0.6028,2.5726,2.7413,0.4489,0.0988,0,0,0,0.4438,0,0.0802,0.0583
2017-01-01,0,0.0353,0.2781,1.4048,0.5918,2.5108,2.638,0.4239,0.0939,0,0,0,0.4365,0,0.0785,0.0564
2018-01-01,0,0.0355,0.2825,1.4235,0.5918,2.5055,2.6292,0.427,0.0937,0,0,0,0.4384,0,0.0774,0.0554
